,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
99,2827,7.5,39.57,117.978,23,1976-07-27T19:42:54.600023Z,0,10,0,18,0.1,-999,0.835070728,-999,-999,-999,2,2,1,0,3,0,0,0,0,0,7.4,0,0,101.1089032,248.307437,-1,2
100,2832,7.2,39.243,25.227,10,1981-12-19T14:10:50.720020Z,0,4,0,7,0.7,-999,0.516709435,-999,-999,-999,0,1,2,0,4,0,0,0,0,0,6.8,0,0,114.9623279,156.1879214,-1,2
101,2836,7.1,30.013,57.794,33,1981-07-28T17:22:24.620018Z,0,1,1,3,2,-999,inf,-999,-999,-999,2,-1,1,0,2,1,6.7,0,0,0,5.1,0,13.47866783,76.23108174,133.823798,-1,3
102,2838,7.9,-1.679,136.04,5,1979-09-12T05:17:51.399976Z,0,9,0,34,2,-999,0.537472498,-999,-999,-999,1,1,1,0,2,0,0,0,0,0,6,0,0,436.589397,460.7295875,1,2
103,2840,8,-28.427,-177.657,33,1976-01-14T16:47:33.499999Z,2,2,2,37,2.2,-999,1.00466927,1.8,-999,0.210596207,1,1,0,1,1,1,6.2,0,6.2,0,6.5,0,52.45467131,13545.14496,537.7249613,1,3
104,2841,7.1,-29.934,-177.741,33,1981-12-26T17:05:32.519966Z,9,7,11,26,1.6,-999,0.381686883,0.3,-999,7.382880791,5,2,6,6,19,8,6.8,0,6.8,0,6.5,0,70.27281187,125.5177954,133.823798,1,3
105,2843,7.4,22.282,121.512,17,1978-07-23T14:42:36.899975Z,0,10,3,33,1.9,-999,0.487357473,-999,-999,-999,2,1,4,0,8,3,5.7,0,0,0,7,0,238.3878073,231.3104864,212.7529709,1,3
106,2847,7.7,-9.284,107.419,20,2006-07-17T08:19:26.679996Z,0,92,0,104,1.6,1.617615074,3.54766196,-999,-999,-999,1,1,9,0,13,0,0,0,0,0,6.1,0,0,324.5422117,338.2345089,1,3
107,2848,7.7,54.4434,168.857,10,2017-07-17T23:34:13.739980Z,2,14,8,18,2.2,-999,0.638683761,1.4,-999,161.1173812,1,1,0,1,1,4,6.8,0,6.3,0,6.2,0,292.5469865,312.5012587,338.2345089,1,1
108,2855,7.7,-22.247,-69.89,40,2007-11-14T15:40:50.530019Z,0,38,0,47,0.9,1.012465663,1.326847075,-999,-999,-999,1,1,9,0,13,0,0,0,0,0,6.8,0,0,273.6360261,338.2345089,1,3
109,2870,7.3,39.121,44.029,36,1976-11-24T12:22:18.799970Z,0,4,0,9,1.8,-999,4.504322511,-999,-999,-999,1,1,1,0,2,0,0,0,0,0,5.5,0,0,57.16887339,182.289452,-1,2
110,2871,7.9,-12.525,165.916,33,1980-07-17T19:42:23.200012Z,17,20,17,57,1.2,-999,0.75258043,0.4,-999,2.006969464,2,2,2,4,6,4,7.5,0,7.5,0,6.9,0,105.9673919,459.5344792,460.7295875,1,3
111,2874,7.6,-16.696,-172.095,33,1977-04-02T07:15:22.700011Z,0,6,0,52,2.3,-999,0.217130426,-999,-999,-999,1,1,0,0,9,0,0,0,0,0,6.3,0,0,279.247189,289.8036301,-1,2
112,2875,7.1,19.066,122.096,15,1979-08-26T14:31:22.099984Z,0,0,0,2,-999,-999,-999,-999,-999,-999,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,133.823798,-1,2
113,2886,7.1,42.839,78.606,33,1978-03-24T21:05:48.200032Z,0,1,0,1,2.1,-999,inf,-999,-999,-999,-1,-1,0,0,0,0,0,0,0,0,5,0,0,14.76405342,133.823798,-1,2
114,2900,7.1,-10.615,161.284,22,1979-10-23T09:51:06.700003Z,4,10,27,14,1.3,-999,2.578221725,1.2,-999,0.474208335,3,1,9,3,12,23,7.1,0,5.9,0,5.9,0,196.112912,75.38994696,133.823798,1,3
115,2911,8.3,-11.164,118.378,25,1977-08-19T06:08:55.509960Z,1,94,2,186,2.2,1.091542281,3.27396398,2.2,-999,inf,1,1,0,0,1,0,6.3,0,6.1,0,6.7,0,129.0553567,564.8525898,641.1560465,-1,2
