,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
184,3309,7.2,14.717,-92.645,34.1,1993-09-10T19:12:54.620006Z,5,8,6,14,0.8,-999,0.889034832,0.4,-999,0.653189878,0,0,7,5,11,6,6.8,0,6.8,0,6.4,0,36.37117264,143.0804357,156.1879214,1,3
185,3315,7,-2.174,136.543,18,2010-06-16T03:16:27.550015Z,1,4,1,4,0.4,-999,34.63061192,0.8,-999,inf,0,0,4,1,4,1,6.2,0,6.2,0,6.6,0,25.70217831,55.05930929,114.6619326,-1,2
186,3323,7.1,-10.972,164.181,20.4,1993-03-06T03:05:49.869979Z,0,9,10,18,0.4,-999,0.459668151,-999,-999,-999,3,2,8,0,16,9,7,0,0,0,6.7,0,148.2420744,137.0812763,133.823798,-1,1
187,3324,7,1.015,127.733,19.9,1994-01-21T02:24:29.959974Z,0,4,0,4,1.6,-999,1.124750446,-999,-999,-999,1,1,4,0,4,0,0,0,0,0,5.4,0,0,31.62571976,114.6619326,-1,1
188,3325,7.5,7.881,91.936,35,2010-06-12T19:26:50.460000Z,0,10,2,13,2,-999,0.345624431,-999,-999,-999,1,1,1,0,3,1,6,0,0,0,5.8,0,22.72564699,233.9449355,248.307437,-1,0
189,3335,7.7,-5.799,154.178,30.1,1995-08-16T10:27:28.629960Z,2,23,23,85,0.5,-999,1.663319646,1.9,-999,6.428798632,1,1,8,1,32,10,6.7,0,5.8,0,7.2,0,167.0825475,305.59921,338.2345089,1,3
190,3337,8,-10.799,165.114,24,2013-02-06T01:12:25.829968Z,21,184,28,212,0.9,1.203466637,7.479111393,1.6,-999,2.461384254,1,1,11,7,12,9,6.4,0,6.4,0,7.1,0,344.4093254,398.3959928,537.7249613,1,3
191,3339,7.7,-2.071,124.891,33,1998-11-29T14:10:31.959983Z,1,11,5,26,1.1,-999,0.40859928,2.2,-999,inf,1,1,4,0,9,1,6.6,0,5.5,0,6.6,0,455.9826419,445.1511821,338.2345089,-1,0
192,3340,7.4,-15.199,-173.529,21.2,1995-04-07T22:06:56.889960Z,0,8,27,32,1.3,-999,0.288361636,-999,-999,-999,1,1,5,0,19,14,6.7,0,0,0,6.7,0,12425.69184,184.0847815,212.7529709,-1,3
193,3343,7,-2.961,141.926,10,1998-07-17T08:49:13.280012Z,0,3,1,6,1.1,-999,0.408998684,-999,-999,-999,1,1,3,0,6,1,5.7,0,0,0,5.9,0,13.82825229,59.01164028,114.6619326,1,3
194,3362,7,1.241,122.536,24,1997-11-25T12:14:33.629973Z,0,0,0,1,-999,-999,-999,-999,-999,-999,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,114.6619326,1,3
195,3365,7.8,-8.48,121.896,27.7,1992-12-12T05:29:26.349998Z,0,27,1,41,1.7,-999,1.693320139,-999,-999,-999,1,1,1,0,4,1,6.2,0,0,0,6.2,0,131.9973604,350.5082197,394.7589718,1,3
196,3371,7.9,51.564,-177.632,33,1996-06-10T04:03:35.479989Z,2,50,6,125,0.6,1.024279438,2.402768697,1.4,-999,4.491334294,1,1,6,1,14,1,6.5,0,6.5,0,7.3,0,1534.740683,3476.834152,460.7295875,1,3
197,3384,7,51.934,158.647,34,1993-11-13T01:18:04.179974Z,0,5,55,15,1,-999,0.171657052,-999,-999,-999,4,1,5,0,15,55,6.9,0,0,0,6,0,8274.663414,2243.452484,114.6619326,-1,3
198,3385,7.2,12.059,125.58,20.7,1995-04-21T00:34:46.089982Z,5,40,10,66,0.1,0.859989073,1.386456272,0.3,-999,31.42590691,4,4,26,4,46,7,6.9,0,6.9,0,7.1,0,226.845509,181.3121524,156.1879214,1,3
199,3386,7.2,32.2861667,-115.2953333,9.987,2010-04-04T22:40:42.359984Z,0,7,0,10,1.5,-999,1.866179502,-999,-999,-999,1,1,6,0,7,0,0,0,0,0,5.7,0,0,74.22911832,156.1879214,1,1
200,3389,7.1,-30.933,-71.22,58,1997-10-15T01:03:33.460044Z,0,8,13,12,0.9,-999,0.310136004,-999,-999,-999,5,1,6,0,10,13,6.8,0,0,0,6.6,0,134.5501235,118.9158028,133.823798,-1,2
201,3391,7,-43.522,171.83,12,2010-09-03T16:35:47.770021Z,0,3,0,23,1.9,-999,5.974997682,-999,-999,-999,1,1,3,0,23,0,0,0,0,0,6.1,0,0,88.17484328,114.6619326,1,1
202,3397,7,-4.963,133.76,26,2010-09-29T17:11:25.940027Z,2,4,2,9,1.1,-999,0.318616047,0.8,-999,0.623625511,1,1,4,2,9,2,6.2,0,6.2,0,6,0,42.74066173,60.44767679,114.6619326,-1,2
203,3400,7.7,-12.584,166.676,33,1997-04-21T12:02:26.430024Z,0,34,4,53,1.5,1.039860027,3.531386842,-999,-999,-999,1,1,7,0,10,2,6.2,0,0,0,6.2,0,176.9259792,299.0313959,338.2345089,1,3
204,3403,8.3,43.773,147.321,14,1994-10-04T13:22:55.840019Z,0,144,21,449,1,1.289451658,4.816064884,-999,-999,-999,5,1,1,0,14,3,6.6,0,0,0,7.9,0,463.0785652,734.4961857,641.1560465,1,3
205,3404,7,-20.23,169.789,33,1993-12-29T07:48:14.200009Z,0,5,0,28,0.5,-999,173.817882,-999,-999,-999,2,1,5,0,28,0,0,0,0,0,7,0,0,151.0867652,114.6619326,-1,1
206,3409,7.1,-8.783,157.354,10,2010-01-03T22:36:25.640003Z,1,30,2,34,0.3,-999,1.453134186,0.5,-999,inf,5,5,24,1,26,2,6.6,0,6.6,0,6.8,0,71.80914422,103.2533616,133.823798,1,3
207,3414,7.1,38.721,43.508,18,2011-10-23T10:41:23.249986Z,0,13,0,15,1.2,-999,0.578492564,-999,-999,-999,1,1,11,0,12,0,0,0,0,0,5.9,0,0,113.5337044,133.823798,1,3
208,3415,7.6,8.337,126.729,24.4,1989-12-15T18:43:45.030028Z,3,50,6,125,1.1,1.30028288,2.122821572,1.4,-999,2.555017903,5,1,9,1,22,1,6.2,0,6.2,0,7.3,0,211.914133,289.4295237,289.8036301,1,3
209,3416,7.8,2.383,97.048,31,2010-04-06T22:15:01.579969Z,1,4,1,33,2.5,-999,0.677695374,2,-999,inf,1,1,0,1,6,1,5.8,0,5.8,0,7.2,0,118.6938939,391.8099336,394.7589718,1,3
210,3418,7.6,-29.539,-176.34,17,2011-07-06T19:03:18.260036Z,0,61,0,107,1.6,1.484143608,2.04597328,-999,-999,-999,2,1,8,0,15,0,0,0,0,0,7.4,0,0,275.5988325,289.8036301,-1,2
211,3421,7.8,-3.487,100.082,20.1,2010-10-25T14:42:22.460021Z,0,18,6,40,1.5,-999,0.847784584,-999,-999,-999,1,1,2,0,4,2,6.8,0,0,0,6.3,0,129.0088705,336.1455963,394.7589718,1,3
212,3422,7.7,42.851,139.197,16.7,1993-07-12T13:17:11.959990Z,0,24,0,36,1.2,-999,0.914117014,-999,-999,-999,1,1,3,0,3,0,0,0,0,0,6.5,0,0,336.3853945,338.2345089,-1,3
213,3426,7.2,-16.62,167.518,33,1994-07-13T02:35:56.020043Z,1,23,9,37,0.5,-999,0.807742514,1.8,-999,inf,1,1,19,1,32,7,6.2,0,5.4,0,6.7,0,117.4453819,158.7795846,156.1879214,-1,3
214,3428,7.3,-17.541,168.069,25,2010-08-10T05:23:44.979963Z,0,23,0,238,1.4,-999,0.832638598,-999,-999,-999,4,1,6,0,75,0,0,0,0,0,7.3,0,0,394.0263875,182.289452,1,3
215,3430,7.8,12.982,144.801,59.3,1993-08-08T08:34:24.929992Z,1,15,1,27,1.6,-999,0.558448642,2.7,-999,inf,1,1,2,0,3,0,5.1,0,5.1,0,6.2,0,15.63280447,341.1798851,394.7589718,-1,3
216,3433,7.3,-5.931,150.59,35,2010-07-18T13:34:59.360014Z,2,22,3,59,0.3,-999,0.807056089,0.4,-999,0.082258216,5,3,7,2,25,3,6.9,0,6.9,0,7,0,132.6364886,179.6926672,182.289452,1,3
217,3435,8.8,-36.122,-72.898,22.9,2010-02-27T06:34:11.529981Z,0,310,1,458,1.4,1.280982773,10.46515733,-999,-999,-999,1,1,3,0,5,0,5.1,0,0,0,7.4,0,29.42425924,8935.602814,1388.462683,1,3
218,3440,7.8,54.841,162.035,33,1997-12-05T11:26:54.689998Z,0,62,0,83,1.4,1.276125966,2.266638563,-999,-999,-999,1,1,5,0,10,0,0,0,0,0,6.9,0,0,360.0161847,394.7589718,1,3
219,3441,7.8,-10.477,112.835,18.4,1994-06-02T18:17:34.020042Z,0,84,3,97,1.2,1.173014035,3.295015072,-999,-999,-999,1,1,8,0,8,1,5.8,0,0,0,6.6,0,128.4793828,324.2797566,394.7589718,1,3
220,3469,7.6,-60.532,-43.411,10,2003-08-04T04:37:20.129980Z,0,9,0,9,2,-999,0.35454618,-999,-999,-999,1,1,1,0,1,0,0,0,0,0,5.6,0,0,91.62160958,289.8036301,1,2
221,3470,7.8,0.3819,-79.9218,20.59,2016-04-16T23:58:36.979971Z,0,11,0,22,1.6,-999,1.111652615,-999,-999,-999,1,1,5,0,9,0,0,0,0,0,6.9,0,0,330.8751111,394.7589718,1,3
222,3473,7,-2.823,118.806,33,1984-01-08T15:24:13.559989Z,0,0,0,2,-999,-999,-999,-999,-999,-999,-1,-1,0,0,2,0,0,0,0,0,0,0,0,0,114.6619326,-1,2
223,3476,7.6,-2.598,68.382,10,2003-07-15T20:27:50.529979Z,0,6,0,9,1.9,-999,0.488349004,-999,-999,-999,1,1,2,0,2,0,0,0,0,0,5.7,0,0,226.3694597,289.8036301,1,1
224,3482,7.1,0.197,98.027,33,1984-11-17T06:49:30.019960Z,0,2,0,2,1.8,-999,11.13747953,-999,-999,-999,-1,-1,1,0,1,0,0,0,0,0,5.3,0,0,17.8335007,133.823798,1,3
225,3490,7,-16.0429,167.3786,24,2016-04-28T19:33:24.069975Z,0,6,0,11,1.2,-999,1.48531166,-999,-999,-999,1,1,6,0,11,0,0,0,0,0,6,0,0,51.35530362,114.6619326,1,3
226,3535,7.2,-5.599,151.045,26.7,1985-05-10T15:35:50.590005Z,0,7,1,17,1.4,-999,0.288669156,-999,-999,-999,1,1,3,0,10,1,6.2,0,0,0,6.5,0,133.9280466,169.9508164,156.1879214,-1,1
227,3558,7.3,-10.491,160.77,33,2003-01-20T08:43:06.069994Z,2,1,20,6,2.1,-999,inf,1.6,-999,0.126022078,1,1,0,1,2,16,6.3,0,5.7,0,5.3,0,92.48600318,168.4610697,182.289452,-1,0
228,3559,7,39.431,75.224,6.8,1985-08-23T12:41:56.159979Z,1,6,1,9,0.8,-999,0.28546596,1.9,-999,inf,1,1,6,1,9,1,5.1,0,5.1,0,6.2,0,11.25791921,52.90632939,114.6619326,-1,3
229,3563,7.1,-47.6165,85.0913,35,2015-12-04T22:25:00.110005Z,0,1,0,1,2.1,-999,inf,-999,-999,-999,-1,-1,0,0,0,0,0,0,0,0,5,0,0,5.533875684,133.823798,-1,2
230,3568,8,-33.135,-71.871,33,1985-03-03T22:47:07.280014Z,6,59,6,85,0.6,0.759211094,2.778644302,2.3,-999,0.5904155,1,1,11,0,15,0,5.7,0,5.7,0,7.4,0,13.50636636,380.6962228,537.7249613,1,3
231,3571,7,2.354,128.855,31,2003-05-26T19:23:27.939956Z,0,4,0,5,1.7,-999,0.528802111,-999,-999,-999,1,1,4,0,5,0,0,0,0,0,5.3,0,0,99.58113174,114.6619326,1,3
232,3575,7.1,-1.639,134.911,10,1985-11-17T09:40:21.290015Z,0,7,0,10,1.1,-999,0.361403234,-999,-999,-999,1,1,5,0,8,0,0,0,0,0,6,0,0,107.7717805,133.823798,1,1
233,3587,7.1,55.867,161.287,62.6,1983-08-17T10:55:54.130023Z,0,0,0,7,-999,-999,-999,-999,-999,-999,1,-1,0,0,6,0,0,0,0,0,0,0,0,0,133.823798,-1,3
234,3603,7.4,-26.535,-70.563,14.8,1983-10-04T18:52:13.299973Z,0,9,0,13,0.7,-999,0.734995424,-999,-999,-999,1,1,3,0,6,0,0,0,0,0,6.7,0,0,142.5337405,212.7529709,-1,2
235,3618,7.8,-10.6812,161.3273,40,2016-12-08T17:38:46.279973Z,0,73,0,99,0.9,1.212370829,2.69004662,-999,-999,-999,1,1,8,0,11,0,0,0,0,0,6.9,0,0,366.1493457,394.7589718,1,3
236,3642,7,38.026,20.228,14.3,1983-01-17T12:41:29.699984Z,0,6,0,16,1.4,-999,0.430416569,-999,-999,-999,1,1,6,0,16,0,0,0,0,0,6.4,0,0,83.27798343,114.6619326,1,3
237,3646,7,-12.597,165.931,30.7,1982-08-05T20:32:52.950024Z,0,2,0,5,1.4,-999,0.557693776,-999,-999,-999,1,-1,2,0,5,0,0,0,0,0,5.6,0,0,104.9579201,114.6619326,1,3
238,3652,7,-37.3586,179.1461,19,2016-09-01T16:37:57.300036Z,0,0,0,4,-999,-999,-999,-999,-999,-999,1,-1,0,0,4,0,0,0,0,0,0,0,0,0,114.6619326,-1,2
239,3659,7.2,-24.133,-175.864,33,1982-12-19T17:43:54.849964Z,6,51,8,62,0.9,1.004490638,2.042564724,1.4,-999,0.219693553,1,1,39,6,46,8,6.4,0,5.8,0,6.3,0,92.02453405,149.7692723,156.1879214,-1,2
240,3661,7.2,35.49,81.467,10,2008-03-20T22:32:57.930004Z,0,15,0,16,1.6,-999,0.53224298,-999,-999,-999,1,1,7,0,7,0,0,0,0,0,5.6,0,0,64.88808785,156.1879214,-1,2
241,3669,7,-58.227,-22.099,8,2008-06-30T06:17:43.019984Z,0,4,0,5,1.4,-999,0.556996217,-999,-999,-999,1,1,4,0,5,0,0,0,0,0,5.6,0,0,46.58866592,114.6619326,-1,1
242,3677,7,1.622,126.411,50.7,1985-04-13T03:00:06.779977Z,2,6,9,14,1.4,-999,0.264081477,1.7,-999,2.169078135,1,1,6,2,14,9,6.4,0,5.3,0,5.6,0,44.61438869,98.00158178,114.6619326,1,3
243,3691,7.2,38.2107,72.7797,22,2015-12-07T07:50:05.950037Z,0,4,0,16,1.8,-999,1.61867198,-999,-999,-999,1,1,3,0,9,0,0,0,0,0,6.6,0,0,175.2707336,156.1879214,-1,1
244,3692,7.2,-22.4765,173.1167,16.37,2016-08-12T01:26:36.280033Z,0,12,1,14,1.7,-999,0.709461899,-999,-999,-999,1,1,8,0,9,1,5.8,0,0,0,5.7,0,13.95258333,76.06820317,156.1879214,1,1
245,3707,7.2,-45.104,167.144,28,2003-08-21T12:12:49.789961Z,0,13,0,18,1.3,-999,0.612417184,-999,-999,-999,1,1,5,0,8,0,0,0,0,0,6.4,0,0,48.72373892,156.1879214,1,3
246,3723,7.4,-55.2852,-31.8766,10,2016-08-19T07:32:22.709988Z,0,40,0,51,1.3,1.670363392,1.358985559,-999,-999,-999,1,1,7,0,8,0,0,0,0,0,6.1,0,0,123.8928514,212.7529709,1,3
247,3725,7.3,-20.071,168.892,33,2008-04-09T12:46:12.720024Z,6,28,60,45,0.9,-999,1.037592475,0.9,-999,2.201716192,5,1,17,3,22,31,7.1,0,6.4,0,6.4,0,192.5188306,162.7763189,182.289452,1,3
248,3732,7.4,40.462,139.102,23.7,1983-05-26T02:59:59.599972Z,1,42,1,50,0.7,1.119040996,1.516429231,2.3,-999,inf,1,1,18,0,18,0,5.1,0,5.1,0,6.7,0,4.236926462,126.7455162,212.7529709,1,2
249,3734,7.8,-42.7373,173.054,15.11,2016-11-13T11:02:56.340035Z,0,38,0,41,1.3,0.965098849,1.838515818,-999,-999,-999,1,1,5,0,5,0,0,0,0,0,6.5,0,0,169.1292724,394.7589718,-1,3
250,3735,7.6,-10.012,160.469,18.1,1984-02-07T21:33:21.490039Z,0,5,0,8,1.2,-999,0.261483363,-999,-999,-999,1,1,1,0,1,0,0,0,0,0,6.4,0,0,228.0983071,289.8036301,-1,3
251,3736,8,-13.386,-76.603,39,2007-08-15T23:40:57.889981Z,0,34,2,44,1.6,1.011370711,1.662162393,-999,-999,-999,1,1,3,0,3,2,6.7,0,0,0,6.4,0,11.2457553,356.072508,537.7249613,1,3
252,3738,7.3,-6.852,72.11,10,1983-11-30T17:46:00.669962Z,0,30,0,39,1,-999,1.053647165,-999,-999,-999,1,1,11,0,15,0,0,0,0,0,6.3,0,0,139.2618408,182.289452,-1,2
253,3741,7.2,51.36,-179.509,34,2007-12-19T09:30:27.929977Z,3,29,18,92,0.6,-999,0.966822324,2,-999,0.457973445,1,1,23,1,57,8,6.7,0,5.2,0,6.6,0,801.8953211,8394.252435,156.1879214,1,3
254,3746,7.1,8.717,-83.123,37,1983-04-03T02:50:01.180003Z,0,9,0,18,1.5,-999,1.898601125,-999,-999,-999,1,1,9,0,16,0,0,0,0,0,6.5,0,0,121.0980654,133.823798,-1,2
255,3751,7.1,-0.0456,-17.8255,10,2016-08-29T04:29:57.859959Z,0,1,1,3,2.1,-999,inf,-999,-999,-999,1,-1,0,0,0,1,5.9,0,0,0,5,0,94.33667283,89.10899129,133.823798,-1,1
256,3759,8.2,41.815,143.91,27,2003-09-25T19:50:06.360003Z,1,46,5,101,0.8,0.808807537,2.079869305,3.2,-999,inf,1,1,3,0,7,0,6,0,5,0,7.4,0,425.6243005,511.0175485,549.3506571,1,3
257,3760,8.1,-8.466,157.043,24,2007-04-01T20:39:58.710036Z,0,93,9,129,1.2,0.951457876,3.18409309,-999,-999,-999,1,1,8,0,10,1,6.8,0,0,0,6.9,0,321.8696063,352.7283269,470.6906315,1,3
258,3761,7,40.32,63.35,14.5,1984-03-19T20:28:38.239969Z,0,3,0,5,1.8,-999,7.517379581,-999,-999,-999,1,1,3,0,5,0,0,0,0,0,5.2,0,0,13.02109291,114.6619326,-1,3
259,3762,7.5,1.065,126.282,22,2007-01-21T11:27:45.059992Z,0,52,9,110,0.8,1.247696854,1.742269556,-999,-999,-999,1,1,13,0,28,6,6.3,0,0,0,6.9,0,220.2455864,281.5940674,248.307437,1,3
260,3769,7.3,-22.015,169.766,10,2003-12-27T16:00:59.449966Z,14,43,14,71,0.2,0.870613647,1.527813227,0.5,-999,9.670020156,5,5,25,9,38,9,6.8,0,6.8,0,7.1,0,54.69973026,168.966913,182.289452,1,3
261,3770,7.2,44.117,148.192,44.4,1984-03-24T09:44:02.599990Z,0,14,1,49,1.6,-999,0.504977595,-999,-999,-999,1,1,4,0,25,1,6.1,0,0,0,6.4,0,49.97656707,137.2453784,156.1879214,1,3
262,3777,7.3,37.89,143.949,31,2012-12-07T08:18:23.130029Z,0,12,1,30,1.1,-999,1.132292042,-999,-999,-999,2,1,2,0,11,1,5.6,0,0,0,7.1,0,31.74876707,187.5177289,182.289452,1,3
263,3780,7.6,-10.366,160.819,34,1988-08-10T04:38:26.169996Z,0,12,0,22,1,-999,3.453400971,-999,-999,-999,1,1,4,0,10,0,0,0,0,0,6.6,0,0,266.5283826,289.8036301,1,3
264,3791,7.3,16.731,-86.217,19,2009-05-28T08:24:46.560005Z,0,4,0,6,1.9,-999,0.2987984,-999,-999,-999,1,1,1,0,1,0,0,0,0,0,5.4,0,0,165.1542638,182.289452,1,1
265,3794,7.3,13.477,124.616,24.9,1988-02-24T03:52:03.290020Z,0,2,0,8,1.7,-999,5.612886245,-999,-999,-999,1,-1,2,0,5,0,0,0,0,0,6.6,0,0,120.7974979,182.289452,1,3
266,3803,7.7,-60.2738,-46.4011,10,2013-11-17T09:04:55.529990Z,8,18,8,21,1.9,-999,14.07164087,0.8,-999,3.036045396,1,1,2,2,3,2,6.9,0,6.9,0,5.8,0,45.234022,299.5135498,338.2345089,-1,3
267,3804,7,-6.081,133.667,27.7,1988-07-25T06:46:06.690002Z,0,0,0,1,-999,-999,-999,-999,-999,-999,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,114.6619326,-1,2
268,3811,7.3,-60.857,-25.07,11,2013-07-15T14:03:39.880022Z,0,2,0,8,2.2,-999,0.403427886,-999,-999,-999,1,-1,0,0,2,0,0,0,0,0,5.5,0,0,145.2546627,182.289452,1,1
269,3818,7.1,-5.577,130.791,67.3,1987-06-17T01:32:53.719989Z,0,1,1,5,1.6,-999,inf,-999,-999,-999,1,-1,1,0,4,1,5.3,0,0,0,5.5,0,2.800507044,131.2725949,133.823798,-1,3
270,3822,7,-32.1082,-110.8112,16.54,2014-10-09T02:14:31.439966Z,0,10,0,11,0.4,-999,0.428216818,-999,-999,-999,2,2,10,0,11,0,0,0,0,0,6.6,0,0,108.8110328,114.6619326,1,2
271,3834,7,37.552,142.214,22,2008-07-19T02:39:28.700040Z,1,4,14,19,1,-999,1.23095155,1.9,-999,inf,2,1,4,1,19,14,6.9,0,5.1,0,6.3,0,168.5672023,185.4648597,114.6619326,-1,3
272,3841,7.1,-17.192,-72.305,33.1,1988-04-12T23:19:55.569992Z,0,8,0,14,0.9,-999,0.954294195,-999,-999,-999,1,1,7,0,13,0,0,0,0,0,6.2,0,0,128.8335839,133.823798,1,3
273,3858,7.6,-1.105,123.573,26,2000-05-04T04:21:16.210023Z,0,9,1,16,1.9,-999,0.711877191,-999,-999,-999,1,1,3,0,4,1,5.8,0,0,0,5.7,0,202.8189015,271.3513402,289.8036301,1,1
274,3867,7.8,-12.517,166.382,35,2009-10-07T22:18:51.239978Z,3,87,45,142,0.4,1.084178477,3.685061888,0.1,-999,284.4444457,5,3,12,2,19,11,7.7,0,7.7,0,7.4,0,284.8548115,353.3399448,394.7589718,1,3
275,3868,7.7,22.789,99.611,17.8,1988-11-06T13:03:19.340034Z,0,12,0,19,1.3,-999,0.504411084,-999,-999,-999,1,1,3,0,6,0,0,0,0,0,6.4,0,0,294.739526,338.2345089,-1,2
276,3869,7.6,10.085,-85.315,35,2012-09-05T14:42:07.800022Z,6,2,7,22,1.9,-999,0.270635045,0.3,-999,5.093466182,2,2,1,1,5,2,7.3,0,7.3,0,6.5,0,449.7907453,605.9710726,289.8036301,1,3
277,3880,8.1,-15.489,-172.095,18,2009-09-29T17:48:10.990025Z,0,94,17,155,1.8,1.329761606,3.142303008,-999,-999,-999,1,1,2,0,5,2,6.6,0,0,0,6.3,0,178.425617,462.0463266,470.6906315,-1,2
278,3882,7.4,39.837,142.76,28.6,1989-11-01T18:25:34.939975Z,12,16,12,26,1.4,-999,0.731123368,0.5,-999,1.862456041,1,1,7,6,13,6,6.9,0,6.9,0,6,0,95.5322153,107.9827949,212.7529709,1,3
279,3910,7.1,2.305,126.76,44,1989-02-10T11:15:24.679991Z,0,34,5,42,0.7,0.946539255,1.14040853,-999,-999,-999,1,1,31,0,37,4,6,0,0,0,6.4,0,96.85355972,154.766703,133.823798,1,3
280,3911,7.5,6.898,126.579,33,2001-01-01T06:57:04.169981Z,0,12,0,18,0.7,-999,1.71332483,-999,-999,-999,1,1,4,0,5,0,0,0,0,0,6.8,0,0,179.0003956,248.307437,1,3
281,3918,8.4,-16.265,-73.641,33,2001-06-23T20:33:14.130024Z,0,63,40,93,0.8,1.07507082,2.593636721,-999,-999,-999,1,1,3,0,4,3,7.5,0,0,0,7.6,0,12567.74622,12530.49775,748.3036029,1,3
282,3926,8,-52.341,160.568,10,1989-05-23T10:54:46.320021Z,0,22,0,28,2,-999,0.761282005,-999,-999,-999,1,1,2,0,4,0,0,0,0,0,6.4,0,0,291.41359,537.7249613,1,1
283,3927,7.5,14.099,92.902,24,2009-08-10T19:55:38.729996Z,0,2,0,12,1.6,-999,1.399256565,-999,-999,-999,1,-1,1,0,3,0,0,0,0,0,6.6,0,0,102.3025906,248.307437,-1,2
284,3934,8,-3.98,152.169,33,2000-11-16T04:54:56.740031Z,4,170,24,256,0.2,1.021162682,6.170492575,1,-999,0.202062252,3,3,14,2,28,6,7,0,7,0,7.8,0,252.0267076,584.9416277,537.7249613,1,3
285,3936,7.7,13.049,-88.66,60,2001-01-13T17:33:32.379955Z,0,11,0,26,1.8,-999,0.468338534,-999,-999,-999,1,1,6,0,11,0,0,0,0,0,6.6,0,0,337.1432555,338.2345089,-1,2
286,3937,7,-30.523,-178.414,43.8,1989-05-14T00:59:50.449978Z,1,3,13,20,0.7,-999,5.025680995,1.2,-999,inf,5,1,3,1,20,13,6.8,0,5.8,0,6.3,0,126.9708875,128.4500868,114.6619326,-1,3
287,3938,7.2,17.397,-100.9723,24,2014-04-18T14:27:24.919979Z,0,3,0,4,0.8,-999,0.14497741,-999,-999,-999,1,1,2,0,2,0,0,0,0,0,6.4,0,0,101.370345,156.1879214,1,3
288,3942,7.8,-45.762,166.562,12,2009-07-15T09:22:29.029989Z,0,21,0,29,1.7,-999,1.002327561,-999,-999,-999,1,1,1,0,1,0,0,0,0,0,6.1,0,0,359.9307043,394.7589718,1,3
289,3952,7.1,-13.966,166.516,43,1985-12-21T01:13:22.409957Z,20,23,21,37,0.6,-999,1.073068583,0.1,-999,1.073365908,4,4,23,17,34,18,7,0,7,0,6.5,0,72.53265162,131.7423109,133.823798,1,3
290,3958,7,-29.756,-177.683,36,2008-09-29T15:19:31.589964Z,0,9,5,25,0.9,-999,0.759989716,-999,-999,-999,1,1,9,0,25,5,6.5,0,0,0,6.4,0,35.83633167,96.34889354,114.6619326,-1,3
291,3962,7.6,-1.757,134.297,10,2002-10-10T10:50:20.570034Z,5,18,6,71,0.9,-999,10.80529085,1.2,-999,3.480879656,5,1,4,2,24,2,6.4,0,6.4,0,7.3,0,31.61291572,331.3199632,289.8036301,1,1
292,3964,7,12.686,144.98,37,2001-10-12T15:02:16.839974Z,0,0,0,1,-999,-999,-999,-999,-999,-999,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,114.6619326,1,3
293,3966,7.3,12.5262,-88.1225,40,2014-10-14T03:51:34.459981Z,0,0,0,3,-999,-999,-999,-999,-999,-999,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,182.289452,-1,2
294,3974,7.6,-3.302,142.945,13,2002-09-08T18:44:23.710014Z,1,18,7,31,1.3,-999,2.071895383,2.1,-999,inf,1,1,3,0,6,2,6.7,0,5.5,0,6.3,0,85.51240359,255.0129954,289.8036301,1,3
295,3988,7.4,2.824,96.085,30,2002-11-02T01:26:10.700017Z,0,6,0,10,1.1,-999,0.213497704,-999,-999,-999,1,1,2,0,3,0,0,0,0,0,6.3,0,0,115.9600341,212.7529709,1,3
296,3990,9.1,38.297,142.373,29,2011-03-11T05:46:24.119965Z,35,569,121,872,1.2,0.988651971,19.42381668,1.8,1.059254834,1.197560896,1,1,3,1,3,2,7.4,0,7.3,0,7.9,0,1550.681316,2121.048023,1471.584602,1,3
297,3992,7,-2.6286,138.5277,48,2015-07-27T21:41:21.709965Z,0,0,0,2,-999,-999,-999,-999,-999,-999,-1,-1,0,0,2,0,0,0,0,0,0,0,0,0,114.6619326,1,3
298,3994,8.3,-31.5729,-71.6744,22.44,2015-09-16T22:54:32.860026Z,0,90,1,141,1.3,0.851557808,3.572975617,-999,-999,-999,1,1,6,0,9,0,5.5,0,0,0,7,0,14.62525324,595.2860807,641.1560465,1,3
299,3995,8,18.19,-102.533,27.9,1985-09-19T13:17:47.350031Z,0,4,0,11,0.4,-999,0.476692252,-999,-999,-999,2,2,1,0,2,0,0,0,0,0,7.6,0,0,340.5473131,537.7249613,1,3
300,3997,7.4,1.271,122.091,30,2008-11-16T17:02:32.699960Z,0,2,0,11,1.8,-999,62.75011021,-999,-999,-999,1,-1,2,0,5,0,0,0,0,0,5.8,0,0,153.0987351,212.7529709,1,3
301,4005,7,38.849,141.568,68,2003-05-26T09:24:33.400025Z,0,0,4,5,-999,-999,-999,-999,-999,-999,1,-1,0,0,5,4,0,0,0,0,0,0,0,0,114.6619326,-1,3
