,Unnamed: 0.1,Unnamed: 0,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60,nf_all_apr,na_all_apr,nf_apr,na_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle,rates_bg,rates_fs,rates_as,time_fs,time_as
15,15,142,-999.0,-999.0,143,33.0,-999.0,-999.0,-999.0,-999.0,-9.965,160.731,7.5,26,16,27,16,1977-04-21T04:24:08.000000,-999.0,-999.0,3,3,10,5,10,5,7.5,-44942.0,7.5,-44942.0,6.0,82012.000001,292.74890015840646,87.25504914171088,248.30743700128235,1.0,3.0,0.03867731808394305,74.08757168915456,0.03295690579410838,0.21596064812503754,819.2516666666784
16,16,173,-999.0,-999.0,174,33.0,2.2,-999.0,2.2,-999.0,-8.031,155.538,7.2,2,0,2,0,1977-07-29T11:15:44.000001,-999.0,-999.0,-1,-1,0,0,0,0,0.0,0.0,0.0,0.0,5.0,16899.000001,0.0,31.506700234117933,156.1879214416901,-1.0,1.0,0.0003682954651904071,,0.2695249622548542,0.0,7.4204629629401975
17,17,176,-999.0,-999.0,177,25.0,2.2,2.2,2.2,2.2,-11.164,118.378,8.3,87,1,91,1,1977-08-19T06:08:53.999999,-999.0,-999.0,1,1,0,0,0,0,6.1,-300924.0,6.1,-300924.0,6.1,133656.999998,2.378492064552155,225.22091532884048,641.1560464814495,-1.0,2.0,0.02154152554522692,23.907028223574986,0.14947535337277354,0.0418287037037037,608.7960185185644
18,18,180,-999.0,-999.0,181,33.0,1.7,-999.0,1.7,-999.0,-59.426,-20.508,7.1,2,0,2,0,1977-08-26T19:50:00.000002,-999.0,-999.0,-1,-1,0,2,0,2,0.0,0.0,0.0,0.0,5.4,232957.999996,0.0,45.40340795875565,133.82379803431266,-1.0,1.0,0.00016100819725343844,,0.20910249289403887,0.0,9.564687499988272
19,19,195,-999.0,-999.0,196,33.0,1.8,-999.0,1.8,-999.0,-25.856,-175.406,7.2,1,0,1,0,1977-10-10T11:53:52.000000,-999.0,-999.0,-1,-1,0,1,0,1,0.0,0.0,0.0,0.0,5.4,4486.999999,0.0,16.36272151832894,156.1879214416901,-1.0,2.0,0.0,,19.255627372172377,0.0,0.05193287035898754
20,20,205,-999.0,-999.0,206,13.0,1.1,-999.0,1.1,-999.0,-31.028,-67.767,7.4,58,0,59,0,1977-11-23T09:26:23.000001,-999.0,-999.0,1,1,0,24,0,23,0.0,0.0,0.0,0.0,6.3,59766.999996,0.0,101.39942376853259,212.75297086326285,-1.0,3.0,0.006379820759364225,,0.4455458395399642,0.0,132.42184027780124
21,21,221,-999.0,-999.0,222,33.0,0.6,-999.0,0.6,-999.0,-30.683,-177.358,7.2,14,0,14,0,1978-02-09T21:35:11.000003,-999.0,-999.0,1,1,0,10,0,10,0.0,0.0,0.0,0.0,6.6,95410.999995,0.0,89.51654176925099,156.1879214416901,-1.0,2.0,0.03477801763982937,,0.9419966497484745,0.0,14.862048611041434
22,22,235,-999.0,-999.0,236,33.0,1.9,0.1,1.9,0.1,44.244,148.862,7.6,52,39,53,39,1978-03-24T19:47:48.999999,-999.0,-999.0,2,2,13,4,13,4,7.5,-44038.000004,7.5,-44038.000004,5.7,12475.000003,86.03236504392095,154.71047720502906,289.8036300972396,1.0,3.0,0.044910685843296,13.979538495887244,0.3515053158347804,2.7897916666901224,150.7800810184954
23,23,237,-999.0,-999.0,238,33.0,2.1,-999.0,2.1,-999.0,42.839,78.606,7.1,1,0,1,0,1978-03-24T21:05:46.999999,-999.0,-999.0,-1,-1,0,0,0,0,0.0,0.0,0.0,0.0,5.0,128734.999999,0.0,14.764053419484457,133.82379803431266,-1.0,2.0,0.0,,0.6711461529551408,0.0,1.4899884259141982
24,24,258,-999.0,-999.0,259,44.0,1.4,2.0,1.4,2.0,38.19,142.028,7.7,8,1,8,1,1978-06-12T08:14:25.000003,-999.0,-999.0,1,1,1,2,1,2,5.7,-400194.999999,5.7,-400194.999999,6.3,184793.999996,2.152499143767465,110.57014350040583,338.2345089289617,1.0,3.0,0.02962324081425023,174.19354698458895,0.874403212217356,0.005740740786961935,9.149097222222222
25,25,261,-999.0,-999.0,262,33.0,2.0,-999.0,2.0,-999.0,-17.098,-172.264,7.0,1,0,1,0,1978-06-17T15:11:31.999998,-999.0,-999.0,-1,-1,0,1,0,1,0.0,0.0,0.0,0.0,5.0,0.0,0.0,56.41281637978721,114.66193259390072,-1.0,2.0,0.0030247929016812016,,0.37057688182938064,0.0,2.6984953704165915
26,26,268,-999.0,-999.0,269,17.0,1.9,-999.0,1.9,-999.0,22.282,121.512,7.4,9,0,9,0,1978-07-23T14:42:34.999997,-999.0,-999.0,1,1,0,3,0,3,0.0,0.0,0.0,0.0,5.5,75557.000006,0.0,58.51671325882055,212.75297086326285,1.0,3.0,0.003900830328305667,,0.4381499209731313,0.0,20.540914351898074
27,27,279,-999.0,-999.0,280,33.0,2.4,-999.0,1.9,-999.0,33.386,57.434,7.4,1,0,2,0,1978-09-16T15:35:55.000000,-999.0,-999.0,-1,-1,0,1,0,0,0.0,0.0,0.0,0.0,5.5,60087.999996,0.0,50.67195291345048,212.75297086326285,-1.0,3.0,0.000969396203916831,,0.013351856974414622,0.0,149.79189814813643
