,Unnamed: 0,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60,nf_all_apr,na_all_apr,nf_apr,na_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
20,20,-999,-999,206,13,1.1,-999.0,1.1,-999.0,-31.028,-67.767,7.4,58,0,59,0,1977-11-23T09:26:23.000001,-999,-999,1,1,0,24,0,23,0.0,0.0,0.0,0.0,6.3,59766.999996,0.0,101.39942376853259,212.75297086326285,-1.0,3.0
21,21,-999,-999,222,33,0.6,-999.0,0.6,-999.0,-30.683,-177.358,7.2,14,0,14,0,1978-02-09T21:35:11.000003,-999,-999,1,1,0,10,0,10,0.0,0.0,0.0,0.0,6.6,95410.999995,0.0,89.51654176925099,156.1879214416901,-1.0,2.0
22,22,-999,-999,236,33,1.9,0.1,1.9,0.1,44.244,148.862,7.6,52,39,53,39,1978-03-24T19:47:48.999999,-999,-999,2,2,13,4,13,4,7.5,-44038.000004,7.5,-44038.000004,5.7,12475.000003,86.03236504392095,154.71047720502906,289.8036300972396,1.0,3.0
23,23,-999,-999,238,33,2.1,-999.0,2.1,-999.0,42.839,78.606,7.1,1,0,1,0,1978-03-24T21:05:46.999999,-999,-999,-1,-1,0,0,0,0,0.0,0.0,0.0,0.0,5.0,128734.999999,0.0,14.764053419484457,133.82379803431266,-1.0,2.0
24,24,-999,-999,259,44,1.4,2.0,1.4,2.0,38.19,142.028,7.7,8,1,8,1,1978-06-12T08:14:25.000003,-999,-999,1,1,1,2,1,2,5.7,-400194.999999,5.7,-400194.999999,6.3,184793.999996,2.152499143767465,110.57014350040583,338.2345089289617,1.0,3.0
25,25,-999,-999,262,33,2.0,-999.0,2.0,-999.0,-17.098,-172.264,7.0,1,0,1,0,1978-06-17T15:11:31.999998,-999,-999,-1,-1,0,1,0,1,0.0,0.0,0.0,0.0,5.0,0.0,0.0,56.41281637978721,114.66193259390072,-1.0,2.0
26,26,-999,-999,269,17,1.9,-999.0,1.9,-999.0,22.282,121.512,7.4,9,0,9,0,1978-07-23T14:42:34.999997,-999,-999,1,1,0,3,0,3,0.0,0.0,0.0,0.0,5.5,75557.000006,0.0,58.51671325882055,212.75297086326285,1.0,3.0
27,27,-999,-999,280,33,2.4,-999.0,1.9,-999.0,33.386,57.434,7.4,1,0,2,0,1978-09-16T15:35:55.000000,-999,-999,-1,-1,0,1,0,0,0.0,0.0,0.0,0.0,5.5,60087.999996,0.0,50.67195291345048,212.75297086326285,-1.0,3.0
28,28,-999,-999,293,33,1.0,0.2,1.0,0.2,-11.132,162.136,7.1,2,5,2,5,1978-11-05T22:02:06.000001,-999,-999,2,2,5,2,5,2,6.9,83413.0,6.9,83413.0,6.1,-65103.000003,18.272083645390452,17.74627158692553,133.82379803431266,1.0,3.0
29,29,-999,-999,300,18,2.0,-999.0,2.0,-999.0,16.01,-96.591,7.7,6,0,7,0,1978-11-29T19:52:46.000003,-999,-999,1,1,0,1,0,1,0.0,0.0,0.0,0.0,5.7,3421.0,0.0,44.79921874804254,338.2345089289617,1.0,3.0
