,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr
0,7.3,34.2,-116.437,-0.1,1992-06-28T11:57:34.130021Z,0,17,0,17,1,1,10,0,10,0
1,7.2,32.286,-115.295,10.0,2010-04-04T22:40:42.359984Z,0,6,0,6,1,1,5,0,5,0
2,7.1,34.603,-116.265,13.7,1999-10-16T09:46:44.460015Z,0,6,0,6,1,1,3,0,3,0
3,7.1,35.77,-117.599,8.0,2019-07-06T03:19:53.039968Z,3,3,3,3,1,1,2,2,2,2
