,Unnamed: 0,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
41,41,1906,7.0,-2.961,141.926,10.0,1998-07-17T08:49:13.280012Z,0,3,1,4,1.0999999999999996,-999.0,0.4089986842908115,-999.0,-999.0,-999.0,1,1,3,0,4,1,5.7,-0.0,0.0,0.0,5.9,0.0,13.828252286588015,48.269423108166116,114.66193259390072,1.0,3.0
42,42,1926,7.5,22.306,125.308,33.0,1998-05-03T23:30:21.910037Z,0,2,0,2,2.3,-999.0,1.813155957637797,-999.0,-999.0,-999.0,-1,-1,0,0,0,0,0.0,0.0,0.0,0.0,5.2,-0.0,0.0,16.098103749559957,248.30743700128235,-1.0,1.0
43,43,1963,7.0,-4.766,153.945,50.0,2000-10-29T08:37:08.769960Z,0,1,0,1,1.7999999999999998,-999.0,inf,-999.0,-999.0,-999.0,-1,-1,1,0,1,0,0.0,0.0,0.0,0.0,5.2,-0.0,0.0,9.14079278373337,114.66193259390072,-1.0,3.0
44,44,1984,7.0,-6.351,148.763,33.0,1999-11-19T13:56:46.449977Z,2,2,2,2,1.5999999999999996,-999.0,100.40149028971982,1.0999999999999996,-999.0,1.4991476203198617,1,1,2,2,2,2,5.9,0.0,5.9,0.0,5.4,-0.0,26.972042364802835,32.183982115571254,114.66193259390072,1.0,3.0
45,45,1993,7.1,-42.813,124.688,10.0,2001-12-12T14:02:35.040019Z,0,2,0,2,1.6999999999999993,-999.0,3.531566338005322,-999.0,-999.0,-999.0,-1,-1,2,0,2,0,0.0,0.0,0.0,0.0,5.4,-0.0,0.0,22.5363099295249,133.82379803431266,-1.0,1.0
46,46,2033,7.0,1.241,122.536,24.0,1997-11-25T12:14:33.629973Z,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-1,-1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.66193259390072,1.0,3.0
47,47,2053,7.0,10.598,-63.486,19.9,1997-07-09T19:24:13.170006Z,0,1,0,2,1.7999999999999998,-999.0,inf,-999.0,-999.0,-999.0,-1,-1,1,0,2,0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,11.992550813501722,114.66193259390072,1.0,1.0
48,48,2156,7.9,-1.679,136.04,5.0,1979-09-12T05:17:51.399976Z,0,6,0,7,2.3000000000000007,-999.0,0.3583149988375713,-999.0,-999.0,-999.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,53.05518792924058,460.72958753073897,1.0,1.0
49,49,2168,7.3,-17.94,-172.225,16.0,1987-10-06T04:19:06.079960Z,0,1,0,3,2.2,-999.0,inf,-999.0,-999.0,-999.0,1,-1,0,0,2,0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,27.084131947770434,182.28945197042378,-1.0,2.0
50,50,2210,7.2,-60.665,-25.451,24.0,1983-10-22T04:21:35.009971Z,0,6,0,6,0.7000000000000002,-999.0,0.9966469098844324,-999.0,-999.0,-999.0,1,1,5,0,5,0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,51.078066832387314,156.1879214416901,-1.0,2.0
