,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr
0,1,8.2,55.3635,-157.8876,35.0,2021-07-29T06:15:50.400005Z,0,13,0,13,1.299999999999999,-999,0.8007440760317821,-999.0,-999,-999.0,1,1,1,0,1,0
1,2,7.9,56.0464,-149.0728,25.0,2018-01-23T09:31:40.800000Z,0,9,0,9,2.3000000000000007,-999,1.0705746606808808,-999.0,-999,-999.0,1,1,0,0,0,0
2,3,7.8,55.0298,-158.5217,28.0,2020-07-22T06:12:40.319996Z,2,21,2,21,1.7000000000000002,-999,0.7135624435086283,2.3,-999,0.7473562273344244,1,1,3,0,3,0
3,4,7.6,54.6093,-159.6519,31.08,2020-10-19T20:54:40.320000Z,1,12,1,12,1.6999999999999993,-999,0.7202837918148767,2.0,-999,inf,1,1,4,1,4,1
4,5,7.5,55.2347,-134.8008,3.1,2013-01-05T08:58:16.319995Z,0,3,0,3,1.5999999999999996,-999,0.11586366708525078,-999.0,-999,-999.0,1,1,2,0,2,0
5,6,7.3,51.9805,-171.8201,49.8,2011-06-24T03:09:38.880002Z,0,5,0,5,1.5,-999,7.157171485794452,-999.0,-999,-999.0,1,1,4,0,4,0
