,Unnamed: 0.1,Unnamed: 0,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,fstyle_m,na_apr,nf_apr,na_all_apr,nf_all_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
18,18,18,19,8.1,-15.49,-172.1,18.0,2009-09-29T17:48:11.519997Z,0,38,0,45,1.9,1.1460548828002497,1.3264914301673372,-999.0,-999,-999.0,1,1,2.0,2,0,2,0,0.0,0.0,0.0,0.0,6.2,1260645.12,0.0,436.5003789353946,470.69063154972355,-1.0,2.0
19,19,19,20,8.1,-62.88,149.53,10.0,1998-03-25T03:12:23.039995Z,0,5,0,5,1.6999999999999993,-999.0,0.2091385166230413,-999.0,-999,-999.0,1,1,1.0,1,0,1,0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,190.42712866376687,470.69063154972355,-1.0,1.0
20,20,20,21,8.1,-19.61,-70.77,25.0,2014-04-01T23:46:45.120003Z,20,32,20,38,0.3999999999999994,0.7896263307331853,1.077455588629835,1.3999999999999997,-999,2.4618111544616563,2,2,0.0,6,4,6,4,6.7,-0.0,6.7,-0.0,7.7,94305.599998,64.54720532072446,206.65235078586278,470.69063154972355,1.0,3.0
21,21,21,22,8.1,1.6,-79.36,24.0,1979-12-12T07:59:05.280002Z,0,4,0,5,1.7999999999999998,-999.0,0.1605800150144883,-999.0,-999,-999.0,1,1,0.0,1,0,1,0,0.0,0.0,0.0,0.0,6.3,67469.760002,0.0,453.2530106040888,470.69063154972355,1.0,3.0
22,22,22,23,8.0,-22.88,-175.9,65.0,1977-06-22T12:08:29.759999Z,1,3,1,3,2.3,-999.0,0.1913729092511233,2.3,-999,inf,1,1,0.0,0,0,0,0,5.7,784779.840004,5.7,784779.840004,5.7,-784779.840004,520.322977046481,94.46827880141468,537.7249613305888,-1.0,2.0
23,23,23,24,8.0,-3.98,152.17,33.0,2000-11-16T04:54:54.719996Z,2,49,2,56,0.2000000000000001,0.5806392800343614,1.7853434235573575,1.0999999999999996,-999,0.1802207704432643,3,3,0.0,10,1,12,1,6.9,1541868.479996,6.9,1541868.479996,7.8,-2500692.479999,216.08410029910368,496.05642696746895,537.7249613305888,1.0,3.0
24,24,24,25,8.0,19.15,-104.22,49.0,1995-10-09T15:36:00.000002Z,1,2,1,3,2.1,-999.0,0.3196726552033868,2.2,-999,inf,1,1,0.0,0,0,0,0,5.8,296550.719999,5.8,296550.719999,5.9,-296550.719999,31.147300358809165,120.23271935617936,537.7249613305888,1.0,3.0
25,25,25,26,8.0,-20.19,-174.12,55.0,2006-05-03T15:26:38.400001Z,5,25,5,32,2.1,-999.0,0.8675886241771746,2.0,-999,0.1841959845274109,1,1,3.0,0,1,0,1,6.0,244399.679997,6.0,244399.679997,5.9,-2589727.679998,536.6757929049044,522.1917851776885,537.7249613305888,-1.0,3.0
26,26,26,27,8.0,-52.24,160.2,10.0,1989-05-23T10:54:46.080000Z,1,9,1,9,2.1,-999.0,0.5149595756727718,2.5,-999,inf,1,1,1.0,0,0,0,0,5.5,1192838.399998,5.5,1192838.399998,5.9,-1192838.399998,84.08871733030735,270.47570115294536,537.7249613305888,1.0,1.0
27,27,27,28,8.0,6.26,124.02,33.0,1976-08-16T16:11:08.160002Z,0,2,0,3,0.9000000000000004,-999.0,15.290519886298473,-999.0,-999,-999.0,1,-1,3.0,2,0,2,0,0.0,0.0,0.0,0.0,7.1,32400.0,0.0,469.17685001901134,537.7249613305888,1.0,3.0
28,28,28,29,8.0,-13.39,-76.6,39.0,2007-08-15T23:40:59.519996Z,1,12,1,14,1.5999999999999996,-999.0,2.1136435692663462,3.0,-999,inf,1,1,3.0,3,0,3,0,5.0,1589345.279992,5.0,1589345.279992,6.4,-1589345.279992,302.2412082339724,426.0791609877844,537.7249613305888,1.0,3.0
29,29,29,30,8.0,-23.36,-70.31,47.0,1995-07-30T05:11:19.680002Z,0,12,0,12,1.7000000000000002,-999.0,1.103113537962708,-999.0,-999,-999.0,1,1,3.0,3,0,3,0,0.0,0.0,0.0,0.0,6.3,299773.439996,0.0,182.18039989675157,537.7249613305888,1.0,3.0
30,30,30,31,8.0,18.18,-102.57,33.0,1985-09-19T13:17:45.600000Z,0,3,0,4,0.5,-999.0,0.4228806630738708,-999.0,-999,-999.0,1,1,3.0,1,0,1,0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,187.99076896818505,537.7249613305888,1.0,3.0
31,31,31,32,7.9,-4.72,102.09,33.0,2000-06-04T16:28:24.960001Z,0,17,0,23,1.2000000000000002,-999.0,1.103007967608336,-999.0,-999,-999.0,1,1,0.0,3,0,3,0,0.0,0.0,0.0,0.0,6.7,149385.600004,0.0,432.77344261882246,460.72958753073897,-1.0,0.0
32,32,32,33,7.9,36.13,140.23,30.2,2011-03-11T06:15:41.759999Z,0,0,0,0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-1,-1,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.72958753073897,1.0,3.0
33,33,33,34,7.9,63.52,-147.44,4.9,2002-11-03T22:12:43.200001Z,1,4,1,4,2.7,-999.0,0.1729019429861272,1.3000000000000007,-999,inf,1,1,1.0,0,1,0,1,6.6,989124.479999,6.6,989124.479999,5.2,415333.439998,23.34055543038831,319.4868381204831,460.72958753073897,-1.0,1.0
34,34,34,35,7.9,-2.62,100.84,35.0,2007-09-12T23:49:03.359999Z,0,0,0,0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-1,-1,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.72958753073897,1.0,3.0
35,35,35,36,7.9,-13.8,97.45,10.0,2000-06-18T14:44:09.599995Z,0,2,0,2,2.2,-999.0,1.316049220287454,-999.0,-999,-999.0,-1,-1,1.0,0,0,0,0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,65.86821515642993,460.72958753073897,-1.0,1.0
36,36,36,37,7.9,28.15,84.71,15.0,2015-04-25T06:11:22.559997Z,1,9,1,9,0.7000000000000002,-999.0,0.4245162872752502,2.9000000000000004,-999,inf,1,1,0.0,4,0,4,0,5.0,317347.199996,5.0,317347.199996,7.2,123284.160007,241.58190269471066,360.2853555559243,460.72958753073897,1.0,3.0
