,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60,fstyle_m,nf_all_apr,na_all_apr,nf_apr,na_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
20,20,20,20,-999,-999,70,22,1.5,0.9,1.5,0.9,-10.62,161.28,7.0,1,1,1,1,1979-10-23T09:51:06.000000,-999,-999,-1,-1,3,1,1,1,1,6.1,5529.999999,6.1,5529.999999,5.5,-5529.999999,3.963106425010002,12.912526774835763,114.66193259390072,1.0,3.0
21,21,21,21,-999,-999,73,10,0.9,0.5,0.9,0.5,33.96,59.73,7.0,1,1,1,1,1979-11-27T17:10:35.000001,-999,-999,-1,-1,1,1,1,1,1,6.5,1176552.000003,6.5,1176552.000003,6.1,-1176552.000003,4.543881468264305,11.380181882562681,114.66193259390072,-1.0,1.0
22,22,22,22,-999,-999,74,24,1.8,-999.0,1.8,-999.0,1.6,-79.36,8.1,2,0,2,0,1979-12-12T07:59:04.000002,-999,-999,-1,-1,0,0,1,0,1,0.0,0.0,0.0,0.0,6.3,-0.0,0.0,113.41478630045295,470.69063154972355,1.0,3.0
23,23,23,23,-999,-999,80,44,1.0,-999.0,1.0,-999.0,43.53,146.75,7.1,3,0,3,0,1980-02-23T05:51:02.999999,-999,-999,1,1,0,0,3,0,3,0.0,0.0,0.0,0.0,6.1,-0.0,0.0,65.43919672562005,133.82379803431266,-1.0,3.0
24,24,24,24,-999,-999,82,38,-999.0,0.9,-999.0,0.9,-22.67,171.36,7.2,0,1,0,1,1980-03-08T22:12:06.999999,-999,-999,-1,-1,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.1879214416901,1.0,3.0
25,25,25,25,-999,-999,93,33,0.9,-999.0,0.9,-999.0,-12.41,166.38,7.5,4,0,4,0,1980-07-08T23:19:22.000003,-999,-999,1,1,3,0,4,0,4,0.0,0.0,0.0,0.0,6.6,43527.999997,0.0,53.88199024755986,248.30743700128235,1.0,3.0
26,26,26,26,-999,-999,100,10,0.9,-999.0,0.9,-999.0,36.2,1.35,7.1,3,0,3,0,1980-10-10T12:25:18.999999,-999,-999,1,1,3,0,3,0,3,0.0,0.0,0.0,0.0,6.2,-0.0,0.0,23.439910119391463,133.82379803431266,-1.0,3.0
27,27,27,27,-999,-999,101,33,0.8,0.3,0.8,0.3,-21.89,169.85,7.4,6,2,6,2,1980-10-25T11:00:04.000002,-999,-999,5,5,3,2,6,2,6,7.1,14394.000002,7.1,14394.000002,6.6,-113668.000002,34.83901305299494,85.68429601666307,212.75297086326285,1.0,3.0
28,28,28,28,-999,-999,107,33,0.6,1.1,0.6,1.1,38.64,142.75,7.0,3,2,3,2,1981-01-18T18:11:30.000002,-999,-999,1,1,0,2,3,2,3,5.9,23078.0,5.9,23078.0,6.4,-23078.0,25.386302745030005,54.56532770822461,114.66193259390072,1.0,3.0
29,29,29,29,-999,-999,110,33,1.2,-999.0,1.2,-999.0,51.74,176.27,7.0,3,0,3,0,1981-01-30T08:52:47.000003,-999,-999,1,1,3,0,3,0,3,0.0,0.0,0.0,0.0,5.8,0.0,0.0,56.783396864616314,114.66193259390072,1.0,3.0
30,30,30,30,-999,-999,117,33,1.9,-999.0,1.9,-999.0,-48.79,164.36,7.6,3,0,3,0,1981-05-25T05:25:16.000003,-999,-999,1,1,1,0,2,0,2,0.0,0.0,0.0,0.0,5.7,221520.999998,0.0,48.71630947527686,289.8036300972396,1.0,1.0
31,31,31,31,-999,-999,119,30,1.3,-999.0,1.3,-999.0,-17.3,167.59,7.1,1,0,1,0,1981-07-15T07:59:03.999997,-999,-999,-1,-1,3,0,1,0,1,0.0,0.0,0.0,0.0,5.8,-0.0,0.0,33.38581692184923,133.82379803431266,1.0,3.0
32,32,32,32,-999,-999,121,15,1.6,-999.0,1.6,-999.0,-14.99,-173.17,7.5,3,0,3,0,1981-09-01T09:29:29.999997,-999,-999,1,1,2,0,3,0,3,0.0,0.0,0.0,0.0,5.9,51969.000001,0.0,57.1518491746961,248.30743700128235,-1.0,2.0
33,33,33,33,-999,-999,125,33,1.6,0.2,1.6,0.2,-29.81,-177.85,7.0,2,4,2,4,1981-12-26T17:05:33.000002,-999,-999,2,2,3,4,2,4,2,6.8,214332.999999,6.8,214332.999999,5.4,-214332.999999,78.12618609274591,47.20045350302497,114.66193259390072,-1.0,3.0
34,34,34,34,-999,-999,129,10,1.3,-999.0,1.3,-999.0,-0.97,-21.86,7.1,1,0,1,0,1982-01-03T14:09:51.999998,-999,-999,-1,-1,0,0,1,0,1,0.0,0.0,0.0,0.0,5.8,0.0,0.0,11.01045832498317,133.82379803431266,-1.0,1.0
35,35,35,35,-999,-999,134,26,0.5,-999.0,0.5,-999.0,13.74,124.32,7.1,1,0,1,0,1982-01-11T06:10:02.999998,-999,-999,-1,-1,0,0,1,0,1,0.0,0.0,0.0,0.0,6.6,0.0,0.0,7.950677387046698,133.82379803431266,1.0,3.0
36,36,36,36,-999,-999,144,34,1.0,1.7,1.0,1.7,36.21,141.76,7.0,2,1,2,1,1982-07-23T14:23:50.000001,-999,-999,1,1,0,1,2,1,2,5.3,75082.000003,5.3,75082.000003,6.0,-75082.000003,6.319947612273428,19.100202164659475,114.66193259390072,1.0,3.0
