,M0,T0Z,T0M,T0G,Lat0,Lon0,Dep0,Cid_Z,Cid_G,Cid_M,N_AS_allZ,N_FS_allZ,N_AS_Z,N_FS_Z,N_AS_allG,N_FS_allG,N_AS_G,N_FS_G,N_AS_M,N_FS_M,c_typeM,c_typeZ,c_typeallZ,c_typeG,c_typeallG
11,7.7,1978-06-12T08:14:25.000003,1978-06-12T08:14:26.399991Z,1978-06-12T08:14:26.399991Z,38.19,142.028,44.0,275,2826,81,4,1,4,1,30,3,10,1,10,6,1,1,1,1,1
12,7.4,1978-07-23T14:42:34.999997,1978-07-23T14:42:36.899975Z,1978-07-23T14:42:36.899975Z,22.282,121.512,17.0,284,2843,176,9,0,9,0,33,3,10,0,10,0,1,1,1,1,2
13,7.4,1978-09-16T15:35:55.000000,1978-09-16T15:35:56.599990Z,1978-09-16T15:35:56.599990Z,33.386,57.434,33.0,295,2934,181,2,0,1,0,15,0,1,0,1,0,-1,-1,-1,-1,5
14,7.7,1978-11-29T19:52:46.000003,1978-11-29T19:52:47.600025Z,1978-11-29T19:52:47.600025Z,16.01,-96.591,18.0,316,2553,89,7,0,6,0,8,0,5,0,5,0,1,1,1,1,1
15,7.6,1979-03-14T11:07:15.000003,1979-03-14T11:07:16.300011Z,1979-03-14T11:07:16.300011Z,17.813,-101.276,49.0,338,2588,108,2,0,2,0,4,6,3,1,3,3,1,-1,-1,1,1
16,7.9,1979-09-12T05:17:49.999997,1979-09-12T05:17:51.399976Z,1979-09-12T05:17:51.399976Z,-1.679,136.04,5.0,372,2838,43,6,0,6,0,34,0,9,0,9,1,1,1,1,1,1
17,7.4,1979-10-12T10:25:21.000001,1979-10-12T10:25:22.300028Z,1979-10-12T10:25:22.300028Z,-46.675,165.707,33.0,377,1361,162,3,0,2,0,2,0,2,0,2,0,-1,-1,1,-1,-1
18,7.7,1979-12-12T07:59:01.999997,1979-12-12T07:59:03.299969Z,1979-12-12T07:59:03.299969Z,1.598,-79.358,24.0,387,2945,88,10,0,10,0,25,0,20,0,20,0,1,1,1,1,1
19,7.9,1980-07-17T19:42:22.000003,1980-07-17T19:42:23.200012Z,1980-07-17T19:42:23.200012Z,-12.525,165.916,33.0,449,2871,46,3,0,3,0,57,17,20,17,20,18,2,1,1,2,2
20,7.3,1980-10-10T12:25:21.999997,1980-10-10T12:25:23.500014Z,1980-10-10T12:25:23.500014Z,36.195,1.354,10.0,464,2746,192,10,0,9,0,14,0,9,0,9,0,1,1,1,1,1
21,7.2,1980-10-25T11:00:04.000002,1980-10-25T11:00:05.099986Z,1980-10-25T11:00:05.099986Z,-21.89,169.853,33.0,467,2933,235,5,0,5,0,83,10,32,7,32,7,1,1,1,1,4
22,7.2,1980-11-08T10:27:31.999999,1980-11-08T10:27:33.999987Z,1980-11-08T10:27:33.999987Z,41.117,-124.253,19.0,471,2723,222,2,0,2,0,4,0,3,0,3,0,1,-1,-1,1,1
23,7.6,1981-05-25T05:25:12.999999,1981-05-25T05:25:14.460035Z,1981-05-25T05:25:14.460035Z,-48.786,164.357,33.0,510,1834,119,1,0,1,0,5,0,5,0,5,0,1,-1,-1,1,1
24,7.7,1981-09-01T09:29:29.999997,1981-09-01T09:29:31.539989Z,1981-09-01T09:29:31.539989Z,-14.96,-173.085,25.0,526,2740,71,1,0,1,0,33,21,7,1,7,1,1,-1,-1,1,1
25,7.2,1981-10-16T03:25:40.999998,1981-10-16T03:25:42.220040Z,1981-10-16T03:25:42.220040Z,-33.134,-73.074,33.0,535,1881,244,1,0,1,0,2,0,1,0,1,0,-1,-1,-1,-1,-1
26,7.3,1981-10-25T03:22:14.000001,1981-10-25T03:22:15.569994Z,1981-10-25T03:22:15.569994Z,18.048,-102.084,33.0,537,2488,198,2,0,2,0,3,0,2,0,2,0,-1,-1,-1,-1,1
27,7.2,1981-12-19T14:10:49.000002,1981-12-19T14:10:50.720020Z,1981-12-19T14:10:50.720020Z,39.243,25.227,10.0,546,2832,253,2,0,2,0,7,0,4,0,4,0,1,-1,-1,1,0
28,7.2,1982-12-19T17:43:52.999997,1982-12-19T17:43:54.849964Z,1982-12-19T17:43:54.849964Z,-24.133,-175.864,33.0,647,3659,233,26,0,24,0,62,8,51,6,51,8,1,1,1,1,1
