,Unnamed: 0.1,Unnamed: 0,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
0,0,0,1,9.1,38.297,142.373,29.0,2011-03-11T05:46:24.119965Z,41,568,41,622,1.1999999999999993,0.9882983402285552,19.3896799227266,1.7999999999999998,1.1377682912481355,1.4028570500475637,1,1,3,1,3,1,7.3,-434559.130065,7.3,-434559.130065,7.9,3510.870044,1245.1834350622375,1340.8702697054239,1471.5846019280557,1.0,3.0
1,1,1,2,9.1,3.295,95.982,30.0,2004-12-26T00:58:53.449996Z,3,310,3,479,1.9,1.050166063884617,10.439121058213376,3.6999999999999993,-999.0,0.2181510089445137,1,1,1,0,1,0,5.4,2427378.129963,5.4,2427378.129963,7.2,13278.009974,703.9764951088036,1314.6510293462154,1471.5846019280557,1.0,3.0
2,2,2,3,8.8,-36.122,-72.898,22.9,2010-02-27T06:34:11.529981Z,2,310,2,326,1.4000000000000004,1.280982772502456,10.465157332222448,3.500000000000001,-999.0,0.1000968494925395,1,1,3,0,3,0,5.3,2421842.230016,5.3,2421842.230016,7.4,5942.970008,1359.915647131394,1303.007695522244,1388.4626834569187,1.0,3.0
3,3,3,4,8.6,2.085,97.108,30.0,2005-03-28T16:09:36.530032Z,11,140,11,166,1.9,1.208771917822173,4.7497580955197805,2.8,-999.0,0.4970095545982851,1,1,1,0,3,0,5.8,-27308.259996,5.8,-27308.259996,6.9,3932035.819948,987.6317502417086,1000.9112560620206,1019.3093880125635,1.0,3.0
4,4,4,5,8.6,2.327,93.063,20.0,2012-04-11T08:38:36.719976Z,2,75,2,79,0.4000000000000003,1.1822898781395226,3.2173560550046254,3.3999999999999995,-999.0,0.123599684596021,2,2,1,0,1,0,5.2,988584.759932,5.2,988584.759932,8.2,10524.610023,917.1437541683518,974.4730273328084,1019.3093880125635,-1.0,1.0
5,5,5,6,8.4,-4.438,101.367,34.0,2007-09-12T11:10:26.829987Z,6,90,6,106,0.5,1.1010282639800764,3.045945967941502,3.2,-999.0,0.2592764048690578,1,1,5,0,6,0,5.2,-154369.700027,5.2,-154369.700027,7.9,47123.460031,729.3422649478887,650.0954666418021,748.3036028766184,1.0,3.0
6,6,6,7,8.4,-16.265,-73.641,33.0,2001-06-23T20:33:14.130024Z,0,62,0,71,0.8000000000000007,1.0727592780080335,4.421401454998629,-999.0,-999.0,-999.0,1,1,3,0,4,0,0.0,0.0,0.0,0.0,7.6,1171511.309954,0.0,583.8565860732807,748.3036028766184,1.0,3.0
7,7,7,8,8.3,43.773,147.321,14.0,1994-10-04T13:22:55.840019Z,3,144,3,160,1.0000000000000009,1.2894516576096555,4.816064883725273,3.1000000000000005,-999.0,0.1954358431874701,1,1,1,0,1,0,5.2,1077997.129974,5.2,1077997.129974,7.3,415559.28995,395.90134442107455,445.5620119904788,641.1560464814495,1.0,3.0
8,8,8,9,8.3,-11.164,118.378,25.0,1977-08-19T06:08:55.509960Z,1,94,1,144,2.200000000000001,1.0915422807194033,3.273963980460283,2.200000000000001,-999.0,inf,1,1,0,0,0,0,6.1,-300923.690033,6.1,-300923.690033,6.3,4264181.090011,2.378492064552155,534.710884928263,641.1560464814495,-1.0,2.0
9,9,9,10,8.3,-31.5729,-71.6744,22.44,2015-09-16T22:54:32.860026Z,3,90,3,101,1.3000000000000007,0.8515578076534353,3.5729756169710045,2.6000000000000005,-999.0,0.1548179276377686,1,1,6,0,9,0,5.7,2072668.440046,5.7,2072668.440046,7.0,2219.94,588.4275294814745,242.12336364794984,641.1560464814495,1.0,3.0
