,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr
179,7.5,-9.593,-79.587,10.0,1996-02-21T12:51:01.300002Z,0,2,0,5,1,-1,0,0,0,0
180,7.2,28.826,34.799,10.0,1995-11-22T04:15:11.940021Z,0,4,0,7,1,1,2,0,3,0
181,7.9,0.729,119.931,24.0,1996-01-01T08:05:10.830021Z,0,8,0,34,1,1,0,0,4,0
182,8.1,-0.891,136.952,33.0,1996-02-17T05:59:30.550039Z,0,36,0,52,1,1,4,0,5,0
183,7.4,16.779,-98.597,23.0,1995-09-14T14:04:31.429974Z,0,1,0,15,2,-1,0,0,8,0
184,7.2,14.717,-92.645,34.1,1993-09-10T19:12:54.620006Z,5,8,6,14,0,0,7,5,11,6
185,7.0,-2.174,136.543,18.0,2010-06-16T03:16:27.550015Z,1,4,1,4,0,0,4,1,4,1
186,7.1,-10.972,164.181,20.4,1993-03-06T03:05:49.869979Z,0,9,10,18,3,2,8,0,16,9
187,7.0,1.015,127.733,19.9,1994-01-21T02:24:29.959974Z,0,4,0,4,1,1,4,0,4,0
188,7.5,7.881,91.936,35.0,2010-06-12T19:26:50.460000Z,0,10,2,13,1,1,1,0,3,1
189,7.7,-5.799,154.178,30.1,1995-08-16T10:27:28.629960Z,2,23,23,85,1,1,8,1,32,10
190,8.0,-10.799,165.114,24.0,2013-02-06T01:12:25.829968Z,21,184,28,212,1,1,11,7,12,9
191,7.7,-2.071,124.891,33.0,1998-11-29T14:10:31.959983Z,1,11,5,26,1,1,4,0,9,1
192,7.4,-15.199,-173.529,21.2,1995-04-07T22:06:56.889960Z,0,8,27,32,1,1,5,0,19,14
193,7.0,-2.961,141.926,10.0,1998-07-17T08:49:13.280012Z,0,3,1,6,1,1,3,0,6,1
194,7.0,1.241,122.536,24.0,1997-11-25T12:14:33.629973Z,0,0,0,1,-1,-1,0,0,1,0
195,7.8,-8.48,121.896,27.7,1992-12-12T05:29:26.349998Z,0,27,1,41,1,1,1,0,4,1
196,7.9,51.564,-177.632,33.0,1996-06-10T04:03:35.479989Z,2,50,6,125,1,1,6,1,14,1
197,7.0,51.934,158.647,34.0,1993-11-13T01:18:04.179974Z,0,5,55,15,4,1,5,0,15,55
198,7.2,12.059,125.58,20.7,1995-04-21T00:34:46.089982Z,5,40,10,66,4,4,26,4,46,7
199,7.2,32.2861667,-115.2953333,9.987,2010-04-04T22:40:42.359984Z,0,7,0,10,1,1,6,0,7,0
200,7.1,-30.933,-71.22,58.0,1997-10-15T01:03:33.460044Z,0,8,13,12,5,1,6,0,10,13
201,7.0,-43.522,171.83,12.0,2010-09-03T16:35:47.770021Z,0,3,0,23,1,1,3,0,23,0
202,7.0,-4.963,133.76,26.0,2010-09-29T17:11:25.940027Z,2,4,2,9,1,1,4,2,9,2
203,7.7,-12.584,166.676,33.0,1997-04-21T12:02:26.430024Z,0,34,4,53,1,1,7,0,10,2
204,8.3,43.773,147.321,14.0,1994-10-04T13:22:55.840019Z,0,144,21,449,5,1,1,0,14,3
205,7.0,-20.23,169.789,33.0,1993-12-29T07:48:14.200009Z,0,5,0,28,2,1,5,0,28,0
206,7.1,-8.783,157.354,10.0,2010-01-03T22:36:25.640003Z,1,30,2,34,5,5,24,1,26,2
207,7.1,38.721,43.508,18.0,2011-10-23T10:41:23.249986Z,0,13,0,15,1,1,11,0,12,0
208,7.6,8.337,126.729,24.4,1989-12-15T18:43:45.030028Z,3,50,6,125,5,1,9,1,22,1
209,7.8,2.383,97.048,31.0,2010-04-06T22:15:01.579969Z,1,4,1,33,1,1,0,1,6,1
210,7.6,-29.539,-176.34,17.0,2011-07-06T19:03:18.260036Z,0,61,0,107,2,1,8,0,15,0
211,7.8,-3.487,100.082,20.1,2010-10-25T14:42:22.460021Z,0,18,6,40,1,1,2,0,4,2
212,7.7,42.851,139.197,16.7,1993-07-12T13:17:11.959990Z,0,24,0,36,1,1,3,0,3,0
213,7.2,-16.62,167.518,33.0,1994-07-13T02:35:56.020043Z,1,23,9,37,1,1,19,1,32,7
214,7.3,-17.541,168.069,25.0,2010-08-10T05:23:44.979963Z,0,23,0,238,4,1,6,0,75,0
215,7.8,12.982,144.801,59.3,1993-08-08T08:34:24.929992Z,1,15,1,27,1,1,2,0,3,0
216,7.3,-5.931,150.59,35.0,2010-07-18T13:34:59.360014Z,2,22,3,59,5,3,7,2,25,3
217,8.8,-36.122,-72.898,22.9,2010-02-27T06:34:11.529981Z,0,310,1,458,1,1,3,0,5,0
218,7.8,54.841,162.035,33.0,1997-12-05T11:26:54.689998Z,0,62,0,83,1,1,5,0,10,0
219,7.8,-10.477,112.835,18.4,1994-06-02T18:17:34.020042Z,0,84,3,97,1,1,8,0,8,1
220,7.6,-60.532,-43.411,10.0,2003-08-04T04:37:20.129980Z,0,9,0,9,1,1,1,0,1,0
221,7.8,0.3819,-79.9218,20.59,2016-04-16T23:58:36.979971Z,0,11,0,22,1,1,5,0,9,0
222,7.0,-2.823,118.806,33.0,1984-01-08T15:24:13.559989Z,0,0,0,2,-1,-1,0,0,2,0
223,7.6,-2.598,68.382,10.0,2003-07-15T20:27:50.529979Z,0,6,0,9,1,1,2,0,2,0
224,7.1,0.197,98.027,33.0,1984-11-17T06:49:30.019960Z,0,2,0,2,-1,-1,1,0,1,0
225,7.0,-16.0429,167.3786,24.0,2016-04-28T19:33:24.069975Z,0,6,0,11,1,1,6,0,11,0
226,7.2,-5.599,151.045,26.7,1985-05-10T15:35:50.590005Z,0,7,1,17,1,1,3,0,10,1
227,7.3,-10.491,160.77,33.0,2003-01-20T08:43:06.069994Z,2,1,20,6,1,1,0,1,2,16
228,7.0,39.431,75.224,6.8,1985-08-23T12:41:56.159979Z,1,6,1,9,1,1,6,1,9,1
229,7.1,-47.6165,85.0913,35.0,2015-12-04T22:25:00.110005Z,0,1,0,1,-1,-1,0,0,0,0
230,8.0,-33.135,-71.871,33.0,1985-03-03T22:47:07.280014Z,6,59,6,85,1,1,11,0,15,0
231,7.0,2.354,128.855,31.0,2003-05-26T19:23:27.939956Z,0,4,0,5,1,1,4,0,5,0
232,7.1,-1.639,134.911,10.0,1985-11-17T09:40:21.290015Z,0,7,0,10,1,1,5,0,8,0
233,7.1,55.867,161.287,62.6,1983-08-17T10:55:54.130023Z,0,0,0,7,1,-1,0,0,6,0
234,7.4,-26.535,-70.563,14.8,1983-10-04T18:52:13.299973Z,0,9,0,13,1,1,3,0,6,0
235,7.8,-10.6812,161.3273,40.0,2016-12-08T17:38:46.279973Z,0,73,0,99,1,1,8,0,11,0
236,7.0,38.026,20.228,14.3,1983-01-17T12:41:29.699984Z,0,6,0,16,1,1,6,0,16,0
237,7.0,-12.597,165.931,30.7,1982-08-05T20:32:52.950024Z,0,2,0,5,1,-1,2,0,5,0
238,7.0,-37.3586,179.1461,19.0,2016-09-01T16:37:57.300036Z,0,0,0,4,1,-1,0,0,4,0
239,7.2,-24.133,-175.864,33.0,1982-12-19T17:43:54.849964Z,6,51,8,62,1,1,39,6,46,8
240,7.2,35.49,81.467,10.0,2008-03-20T22:32:57.930004Z,0,15,0,16,1,1,7,0,7,0
241,7.0,-58.227,-22.099,8.0,2008-06-30T06:17:43.019984Z,0,4,0,5,1,1,4,0,5,0
242,7.0,1.622,126.411,50.7,1985-04-13T03:00:06.779977Z,2,6,9,14,1,1,6,2,14,9
243,7.2,38.2107,72.7797,22.0,2015-12-07T07:50:05.950037Z,0,4,0,16,1,1,3,0,9,0
244,7.2,-22.4765,173.1167,16.37,2016-08-12T01:26:36.280033Z,0,12,1,14,1,1,8,0,9,1
245,7.2,-45.104,167.144,28.0,2003-08-21T12:12:49.789961Z,0,13,0,18,1,1,5,0,8,0
246,7.4,-55.2852,-31.8766,10.0,2016-08-19T07:32:22.709988Z,0,40,0,51,1,1,7,0,8,0
247,7.3,-20.071,168.892,33.0,2008-04-09T12:46:12.720024Z,6,28,60,45,5,1,17,3,22,31
248,7.4,40.462,139.102,23.7,1983-05-26T02:59:59.599972Z,1,42,1,50,1,1,18,0,18,0
249,7.8,-42.7373,173.054,15.11,2016-11-13T11:02:56.340035Z,0,38,0,41,1,1,5,0,5,0
250,7.6,-10.012,160.469,18.1,1984-02-07T21:33:21.490039Z,0,5,0,8,1,1,1,0,1,0
251,8.0,-13.386,-76.603,39.0,2007-08-15T23:40:57.889981Z,0,34,2,44,1,1,3,0,3,2
252,7.3,-6.852,72.11,10.0,1983-11-30T17:46:00.669962Z,0,30,0,39,1,1,11,0,15,0
253,7.2,51.36,-179.509,34.0,2007-12-19T09:30:27.929977Z,3,29,18,92,1,1,23,1,57,8
254,7.1,8.717,-83.123,37.0,1983-04-03T02:50:01.180003Z,0,9,0,18,1,1,9,0,16,0
255,7.1,-0.0456,-17.8255,10.0,2016-08-29T04:29:57.859959Z,0,1,1,3,1,-1,0,0,0,1
256,8.2,41.815,143.91,27.0,2003-09-25T19:50:06.360003Z,1,46,5,101,1,1,3,0,7,0
257,8.1,-8.466,157.043,24.0,2007-04-01T20:39:58.710036Z,0,93,9,129,1,1,8,0,10,1
258,7.0,40.32,63.35,14.5,1984-03-19T20:28:38.239969Z,0,3,0,5,1,1,3,0,5,0
259,7.5,1.065,126.282,22.0,2007-01-21T11:27:45.059992Z,0,52,9,110,1,1,13,0,28,6
260,7.3,-22.015,169.766,10.0,2003-12-27T16:00:59.449966Z,14,43,14,71,5,5,25,9,38,9
261,7.2,44.117,148.192,44.4,1984-03-24T09:44:02.599990Z,0,14,1,49,1,1,4,0,25,1
262,7.3,37.89,143.949,31.0,2012-12-07T08:18:23.130029Z,0,12,1,30,2,1,2,0,11,1
263,7.6,-10.366,160.819,34.0,1988-08-10T04:38:26.169996Z,0,12,0,22,1,1,4,0,10,0
264,7.3,16.731,-86.217,19.0,2009-05-28T08:24:46.560005Z,0,4,0,6,1,1,1,0,1,0
265,7.3,13.477,124.616,24.9,1988-02-24T03:52:03.290020Z,0,2,0,8,1,-1,2,0,5,0
266,7.7,-60.2738,-46.4011,10.0,2013-11-17T09:04:55.529990Z,8,18,8,21,1,1,2,2,3,2
267,7.0,-6.081,133.667,27.7,1988-07-25T06:46:06.690002Z,0,0,0,1,-1,-1,0,0,1,0
268,7.3,-60.857,-25.07,11.0,2013-07-15T14:03:39.880022Z,0,2,0,8,1,-1,0,0,2,0
269,7.1,-5.577,130.791,67.3,1987-06-17T01:32:53.719989Z,0,1,1,5,1,-1,1,0,4,1
270,7.0,-32.1082,-110.8112,16.54,2014-10-09T02:14:31.439966Z,0,10,0,11,2,2,10,0,11,0
271,7.0,37.552,142.214,22.0,2008-07-19T02:39:28.700040Z,1,4,14,19,2,1,4,1,19,14
272,7.1,-17.192,-72.305,33.1,1988-04-12T23:19:55.569992Z,0,8,0,14,1,1,7,0,13,0
273,7.6,-1.105,123.573,26.0,2000-05-04T04:21:16.210023Z,0,9,1,16,1,1,3,0,4,1
274,7.8,-12.517,166.382,35.0,2009-10-07T22:18:51.239978Z,3,87,45,142,5,3,12,2,19,11
275,7.7,22.789,99.611,17.8,1988-11-06T13:03:19.340034Z,0,12,0,19,1,1,3,0,6,0
276,7.6,10.085,-85.315,35.0,2012-09-05T14:42:07.800022Z,6,2,7,22,2,2,1,1,5,2
277,8.1,-15.489,-172.095,18.0,2009-09-29T17:48:10.990025Z,0,94,17,155,1,1,2,0,5,2
278,7.4,39.837,142.76,28.6,1989-11-01T18:25:34.939975Z,12,16,12,26,1,1,7,6,13,6
279,7.1,2.305,126.76,44.0,1989-02-10T11:15:24.679991Z,0,34,5,42,1,1,31,0,37,4
280,7.5,6.898,126.579,33.0,2001-01-01T06:57:04.169981Z,0,12,0,18,1,1,4,0,5,0
281,8.4,-16.265,-73.641,33.0,2001-06-23T20:33:14.130024Z,0,63,40,93,1,1,3,0,4,3
282,8.0,-52.341,160.568,10.0,1989-05-23T10:54:46.320021Z,0,22,0,28,1,1,2,0,4,0
283,7.5,14.099,92.902,24.0,2009-08-10T19:55:38.729996Z,0,2,0,12,1,-1,1,0,3,0
284,8.0,-3.98,152.169,33.0,2000-11-16T04:54:56.740031Z,4,170,24,256,3,3,14,2,28,6
285,7.7,13.049,-88.66,60.0,2001-01-13T17:33:32.379955Z,0,11,0,26,1,1,6,0,11,0
286,7.0,-30.523,-178.414,43.8,1989-05-14T00:59:50.449978Z,1,3,13,20,5,1,3,1,20,13
287,7.2,17.397,-100.9723,24.0,2014-04-18T14:27:24.919979Z,0,3,0,4,1,1,2,0,2,0
