,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr
0,7.1,40.402,-125.68,10.0,1994-09-01T15:15:53.080045Z,0,0,0,1,-1,-1,0,0,1,0
1,7.0,41.679,-125.856,1.303,1991-08-17T22:17:09.970019Z,1,0,1,0,-1,-1,0,1,0,1
2,7.0,28.696,-113.104,13.0,2012-04-12T07:15:48.500002Z,1,0,1,0,-1,-1,0,1,0,1
3,7.0,-28.683,-177.624,30.0,1997-09-20T16:11:32.149994Z,0,0,1,2,1,-1,0,0,2,1
4,8.0,18.19,-102.533,27.9,1985-09-19T13:17:47.350031Z,0,1,0,3,1,-1,0,0,0,0
5,7.1,11.76,121.899,18.1,1990-06-14T07:40:56.209989Z,0,1,0,1,-1,-1,1,0,1,0
6,7.0,-53.9451,-55.0033,11.78,2013-11-25T06:27:33.300025Z,1,0,1,0,-1,-1,0,1,0,1
7,8.0,-3.98,152.169,33.0,2000-11-16T04:54:56.740031Z,0,1,0,3,1,-1,0,0,2,0
8,7.6,18.77,-104.104,24.0,2003-01-22T02:06:34.610024Z,0,2,2,2,1,-1,1,0,1,2
9,7.3,-60.857,-25.07,11.0,2013-07-15T14:03:39.880022Z,0,0,0,1,-1,-1,0,0,1,0
10,7.2,18.219,-102.756,33.0,1997-01-11T20:28:26.019979Z,0,1,0,1,-1,-1,1,0,1,0
11,7.5,-9.593,-79.587,10.0,1996-02-21T12:51:01.300002Z,0,0,0,1,-1,-1,0,0,0,0
12,7.1,60.642,-141.593,15.0,1979-02-28T21:27:06.100011Z,0,1,0,1,-1,-1,1,0,1,0
13,7.1,-18.771,-172.415,35.2,1988-10-08T04:46:24.529985Z,0,1,0,1,-1,-1,1,0,1,0
14,7.2,-0.593,-80.393,33.0,1998-08-04T18:59:20.099992Z,1,0,1,0,-1,-1,0,1,0,1
15,7.9,-13.802,97.453,10.0,2000-06-18T14:44:13.310013Z,0,2,0,2,-1,-1,0,0,0,0
16,7.1,13.525,121.067,31.5,1994-11-14T19:15:30.659966Z,0,0,0,1,-1,-1,0,0,1,0
17,7.3,33.825,59.809,10.0,1997-05-10T07:57:29.719960Z,0,1,0,2,-1,-1,1,0,2,0
18,7.0,12.686,144.98,37.0,2001-10-12T15:02:16.839974Z,0,0,0,1,-1,-1,0,0,1,0
19,7.3,12.5262,-88.1225,40.0,2014-10-14T03:51:34.459981Z,0,0,0,1,-1,-1,0,0,1,0
20,7.0,-1.339,88.976,10.0,1999-11-15T05:42:43.219957Z,0,4,0,5,1,1,4,0,5,0
21,7.2,40.3353333,-124.2286667,9.856,1992-04-25T18:06:05.179965Z,0,2,2,2,1,-1,2,0,2,2
22,7.1,13.752,124.358,45.7,1982-01-11T06:10:06.489981Z,0,3,0,3,1,1,3,0,3,0
23,7.0,5.8983,126.9209,60.21,2018-12-29T03:39:09.740021Z,0,2,0,2,-1,-1,2,0,2,0
24,7.6,-48.786,164.357,33.0,1981-05-25T05:25:14.460035Z,0,2,0,2,-1,-1,0,0,0,0
25,7.0,-51.225,160.513,10.0,1982-07-07T10:43:03.740016Z,0,1,0,1,-1,-1,1,0,1,0
26,7.4,33.386,57.434,33.0,1978-09-16T15:35:56.599990Z,0,0,0,3,1,-1,0,0,2,0
27,7.1,21.799,120.547,10.0,2006-12-26T12:26:21.139955Z,0,5,1,6,2,2,5,0,6,1
28,7.5,15.324,-89.101,5.0,1976-02-04T09:01:43.399982Z,0,1,0,1,-1,-1,0,0,0,0
29,7.2,-29.211,-177.589,35.3,1995-07-03T19:50:50.620042Z,0,4,0,6,1,1,4,0,6,0
30,7.1,-59.426,-20.508,33.0,1977-08-26T19:50:01.400032Z,0,1,0,1,-1,-1,1,0,1,0
31,7.3,34.9109,45.9592,19.0,2017-11-12T18:18:17.180037Z,0,2,0,6,1,-1,2,0,5,0
32,7.0,-45.277,166.927,28.1,1993-08-10T00:51:53.249991Z,0,2,0,2,-1,-1,2,0,2,0
33,7.2,0.151,-77.821,10.0,1987-03-06T04:10:41.959973Z,1,3,1,3,1,1,3,1,3,1
34,7.1,52.6487,-31.9016,16.68,2015-02-13T18:59:12.229988Z,1,1,1,2,1,-1,1,1,2,1
35,7.0,-2.823,118.806,33.0,1984-01-08T15:24:13.559989Z,0,0,0,1,-1,-1,0,0,1,0
36,7.0,14.066,-91.924,67.1,1983-12-02T03:09:05.659975Z,0,1,2,2,1,-1,1,0,2,2
37,7.8,0.3819,-79.9218,20.59,2016-04-16T23:58:36.979971Z,0,4,0,12,1,1,2,0,6,0
38,7.5,55.228,-134.8591,8.7,2013-01-05T08:58:14.957037Z,0,3,0,3,1,1,2,0,2,0
39,7.4,-46.675,165.707,33.0,1979-10-12T10:25:22.300028Z,0,2,0,2,-1,-1,1,0,1,0
40,7.0,-6.526,152.779,16.6,1988-07-23T15:17:08.179959Z,0,9,0,9,1,1,9,0,9,0
41,7.0,-2.961,141.926,10.0,1998-07-17T08:49:13.280012Z,0,3,1,4,1,1,3,0,4,1
42,7.5,22.306,125.308,33.0,1998-05-03T23:30:21.910037Z,0,2,0,2,-1,-1,0,0,0,0
43,7.0,-4.766,153.945,50.0,2000-10-29T08:37:08.769960Z,0,1,0,1,-1,-1,1,0,1,0
44,7.0,-6.351,148.763,33.0,1999-11-19T13:56:46.449977Z,2,2,2,2,1,1,2,2,2,2
45,7.1,-42.813,124.688,10.0,2001-12-12T14:02:35.040019Z,0,2,0,2,-1,-1,2,0,2,0
46,7.0,1.241,122.536,24.0,1997-11-25T12:14:33.629973Z,0,0,0,1,-1,-1,0,0,1,0
47,7.0,10.598,-63.486,19.9,1997-07-09T19:24:13.170006Z,0,1,0,2,-1,-1,1,0,2,0
48,7.9,-1.679,136.04,5.0,1979-09-12T05:17:51.399976Z,0,6,0,7,1,1,0,0,0,0
49,7.3,-17.94,-172.225,16.0,1987-10-06T04:19:06.079960Z,0,1,0,3,1,-1,0,0,2,0
50,7.2,-60.665,-25.451,24.0,1983-10-22T04:21:35.009971Z,0,6,0,6,1,1,5,0,5,0
51,7.1,8.717,-83.123,37.0,1983-04-03T02:50:01.180003Z,0,5,0,8,1,1,5,0,8,0
52,7.1,-5.577,130.791,67.3,1987-06-17T01:32:53.719989Z,0,0,1,1,-1,-1,0,0,1,1
53,7.4,33.184,137.071,10.0,2004-09-05T14:57:18.609988Z,3,8,3,8,2,2,7,1,7,1
54,7.0,-6.081,133.667,27.7,1988-07-25T06:46:06.690002Z,0,0,0,1,-1,-1,0,0,1,0
55,8.1,-15.489,-172.095,18.0,2009-09-29T17:48:10.990025Z,0,4,4,6,1,1,0,0,0,2
56,7.3,13.477,124.616,24.9,1988-02-24T03:52:03.290020Z,0,2,0,5,1,-1,2,0,3,0
57,7.7,13.049,-88.66,60.0,2001-01-13T17:33:32.379955Z,0,10,0,17,1,1,5,0,8,0
58,7.0,32.7906,130.7543,10.0,2016-04-15T16:25:06.220040Z,4,10,4,10,1,1,10,4,10,4
59,7.3,18.048,-102.084,33.0,1981-10-25T03:22:15.569994Z,0,1,1,1,-1,-1,0,0,0,1
60,7.0,37.812,142.619,10.0,2003-10-31T01:06:28.279987Z,0,1,0,2,-1,-1,1,0,2,0
61,7.2,-33.134,-73.074,33.0,1981-10-16T03:25:42.220040Z,0,1,0,2,-1,-1,0,0,1,0
62,7.1,30.013,57.794,33.0,1981-07-28T17:22:24.620018Z,0,1,1,2,2,-1,1,0,2,1
63,7.8,-4.9521,94.3299,24.0,2016-03-02T12:49:48.110044Z,0,2,0,2,-1,-1,0,0,0,0
64,7.0,37.552,142.214,22.0,2008-07-19T02:39:28.700040Z,0,2,0,3,1,-1,2,0,3,0
65,7.0,-32.1082,-110.8112,16.54,2014-10-09T02:14:31.439966Z,0,7,0,8,2,2,7,0,8,0
66,7.0,51.934,158.647,34.0,1993-11-13T01:18:04.179974Z,0,4,1,9,1,1,4,0,9,1
67,7.0,-20.553,169.361,27.7,1994-02-12T17:58:23.989990Z,0,11,1,14,1,1,11,0,14,1
68,7.0,-6.92,128.946,33.0,1998-11-09T05:38:44.220016Z,1,3,1,5,2,2,3,1,5,1
69,8.2,0.802,92.463,25.1,2012-04-11T10:43:10.849955Z,0,4,0,6,1,1,0,0,0,0
70,7.2,-56.032,-25.266,10.0,1991-12-27T04:05:58.240007Z,0,0,0,7,1,-1,0,0,6,0
71,7.1,29.976,68.208,33.0,1997-02-27T21:08:02.359967Z,0,3,0,6,1,1,3,0,6,0
72,7.4,16.779,-98.597,23.0,1995-09-14T14:04:31.429974Z,0,1,1,2,1,-1,0,0,0,1
73,7.7,-14.993,-75.675,33.0,1996-11-12T16:59:44.029963Z,0,19,0,20,1,1,4,0,4,0
74,7.2,45.324,149.892,42.6,1996-02-07T21:36:46.300033Z,0,3,3,7,1,1,2,0,5,3
75,7.1,15.978,-98.07,21.1,1996-02-25T03:08:15.869992Z,0,5,0,10,2,1,5,0,10,0
76,7.0,-20.23,169.789,33.0,1993-12-29T07:48:14.200009Z,0,4,0,5,1,1,4,0,5,0
77,7.0,-7.782,107.297,46.0,2009-09-02T07:55:01.050006Z,0,2,0,4,1,-1,2,0,4,0
78,7.1,-55.664,158.453,16.0,2008-04-12T00:30:12.600026Z,0,3,0,4,1,1,3,0,4,0
79,7.7,38.19,142.028,44.0,1978-06-12T08:14:26.399991Z,1,4,3,6,1,1,2,1,2,2
80,7.2,4.554,-77.442,21.3,1991-11-19T22:28:51.090034Z,0,2,0,2,-1,-1,1,0,1,0
81,7.0,54.567,-161.606,28.4,1991-05-30T13:17:41.969986Z,0,3,0,6,1,1,3,0,6,0
82,7.7,26.951,65.5009,15.0,2013-09-24T11:29:47.970038Z,0,6,0,8,1,1,2,0,2,0
83,7.2,40.758,31.161,10.0,1999-11-12T16:57:19.549988Z,0,3,0,3,1,1,2,0,2,0
84,7.2,38.276,142.039,36.0,2005-08-16T02:46:28.399956Z,0,0,1,6,1,-1,0,0,5,1
85,7.0,16.558,-98.358,33.8,1982-06-07T10:59:40.160028Z,1,1,1,8,2,-1,1,1,8,1
86,7.0,-22.293,171.742,33.0,1981-07-06T03:08:24.180025Z,0,0,0,3,1,-1,0,0,3,0
87,7.0,23.247,122.075,33.0,1978-12-23T11:23:11.999957Z,0,2,0,2,-1,-1,2,0,2,0
88,7.4,22.282,121.512,17.0,1978-07-23T14:42:36.899975Z,0,8,0,10,1,1,3,0,3,0
89,8.1,-49.312,161.345,10.0,2004-12-23T14:59:04.409978Z,0,4,0,4,1,1,0,0,0,0
90,7.2,-25.856,-175.406,33.0,1977-10-10T11:53:53.599976Z,0,1,0,3,1,-1,1,0,2,0
91,7.5,-8.152,124.868,10.0,2004-11-11T21:26:41.150026Z,1,18,1,22,1,1,3,1,5,1
92,7.2,16.3855,-97.9787,22.0,2018-02-16T23:39:39.279977Z,0,3,0,4,1,1,3,0,3,0
93,7.0,40.381,63.472,10.0,1976-05-17T02:58:40.599958Z,2,1,5,5,2,1,1,2,5,5
94,7.6,34.539,73.588,26.0,2005-10-08T03:50:40.799962Z,0,40,0,44,1,1,11,0,11,0
95,7.0,3.397,96.318,33.0,1976-06-20T20:53:13.400043Z,0,11,0,17,1,1,11,0,17,0
96,7.0,7.409,-78.127,3.0,1976-07-11T20:41:47.499991Z,2,16,2,18,2,2,16,2,18,2
97,7.1,36.194,141.702,36.6,1982-07-23T14:23:53.570029Z,3,6,3,8,1,1,3,2,5,2
98,7.0,44.915,149.123,41.0,1976-01-21T10:05:24.099989Z,0,42,0,47,1,1,42,0,47,0
99,8.0,-28.427,-177.657,33.0,1976-01-14T16:47:33.499999Z,10,34,10,42,1,1,3,1,3,1
100,7.2,-8.031,155.538,33.0,1977-07-29T11:15:45.300036Z,0,2,0,2,-1,-1,0,0,0,0
101,7.1,-15.7675,-74.7092,39.0,2018-01-14T09:18:45.539972Z,0,2,0,2,-1,-1,1,0,1,0
102,7.7,-22.247,-69.89,40.0,2007-11-14T15:40:50.530019Z,0,2,0,3,1,-1,0,0,0,0
