,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,fstyle_m,na_apr,nf_apr,na_all_apr,nf_all_apr
91,7.0,38.64,142.75,33.0,1981-01-18T18:11:31.200003Z,2,3,2,6,1,1,2.0,3,2,6,2
92,7.0,22.81,99.77,10.0,1988-11-06T13:03:12.960004Z,0,4,0,5,1,1,3.0,4,0,5,0
93,7.8,16.01,-96.59,18.0,1978-11-29T19:52:45.120004Z,0,2,0,3,1,-1,0.0,0,0,0,0
94,7.0,-10.62,161.28,22.0,1979-10-23T09:51:07.200000Z,1,1,9,2,3,-1,2.0,1,1,2,9
95,8.3,-11.08,118.46,33.0,1977-08-19T06:08:55.679995Z,1,14,2,38,1,1,0.0,1,0,3,0
96,8.0,-22.88,-175.9,65.0,1977-06-22T12:08:29.759999Z,0,3,0,16,1,1,3.0,0,0,5,0
97,7.5,-14.99,-173.17,15.0,1981-09-01T09:29:31.199999Z,0,4,9,21,1,1,1.0,3,0,18,9
98,7.3,-16.7,-172.1,33.0,1977-04-02T07:15:18.719998Z,0,0,0,12,1,-1,1.0,0,0,11,0
99,7.0,-6.35,148.76,33.0,1999-11-19T13:56:47.039996Z,5,1,5,1,2,2,1.0,1,5,1,5
100,7.2,-17.9,-172.29,33.0,1987-10-06T04:19:12.000004Z,0,0,0,3,1,-1,2.0,0,0,3,0
101,7.6,38.19,142.03,44.0,1978-06-12T08:14:29.760001Z,0,5,0,10,1,1,3.0,5,0,6,0
102,7.6,-26.62,-70.77,18.0,1983-10-04T18:52:16.320003Z,0,2,2,5,1,-1,0.0,1,0,2,2
103,7.0,-7.29,154.39,20.0,1987-10-12T13:57:04.319997Z,0,2,0,2,-1,-1,1.0,2,0,2,0
104,7.2,-45.1,167.14,28.0,2003-08-21T12:12:48.960001Z,0,2,0,5,1,-1,0.0,2,0,5,0
105,7.4,-58.9,158.3,33.0,1987-09-03T06:40:10.559999Z,0,2,0,3,1,-1,2.0,1,0,2,0
106,7.6,-60.53,-43.41,10.0,2003-08-04T04:37:20.639996Z,0,3,0,3,1,1,1.0,0,0,0,0
107,7.7,-14.99,-75.68,33.0,1996-11-12T16:59:39.840004Z,0,8,0,9,1,1,3.0,4,0,5,0
108,7.0,-60.62,-25.44,33.0,1983-10-22T04:21:38.879996Z,0,3,0,4,1,1,1.0,3,0,4,0
109,7.1,2.26,126.82,33.0,1989-02-10T11:15:21.600003Z,0,11,0,14,1,1,3.0,11,0,14,0
110,7.9,-28.43,-177.66,33.0,1976-01-14T16:47:34.080000Z,2,3,2,13,2,2,3.0,2,2,9,2
111,7.5,-24.19,-175.77,33.0,1982-12-19T17:43:52.320004Z,5,12,5,18,1,1,0.0,6,4,11,4
112,8.1,-62.88,149.53,10.0,1998-03-25T03:12:23.039995Z,0,5,0,7,1,1,2.0,1,0,2,0
113,7.3,23.96,121.82,33.0,1986-11-14T21:20:00.960002Z,0,1,2,4,1,-1,1.0,1,0,2,2
114,7.9,28.15,84.71,15.0,2015-04-25T06:11:22.559997Z,0,9,0,10,1,1,2.0,4,0,4,0
115,7.5,-10.21,160.77,38.0,1988-08-10T04:38:29.759999Z,0,3,0,11,1,1,3.0,1,0,6,0
116,8.0,-52.24,160.2,10.0,1989-05-23T10:54:46.080000Z,0,9,0,11,1,1,0.0,0,0,1,0
117,7.5,-24.49,-70.17,27.0,1987-03-05T09:16:59.519998Z,0,5,0,14,5,1,0.0,5,0,12,0
118,7.0,32.79,130.75,10.0,2016-04-15T16:25:06.239996Z,4,5,4,6,1,1,3.0,5,4,6,4
119,7.0,40.29,63.33,26.0,1984-03-19T20:28:36.480001Z,0,1,0,2,-1,-1,2.0,1,0,2,0
120,7.1,-5.59,130.89,61.0,1987-06-17T01:32:52.799998Z,0,1,0,4,1,-1,3.0,1,0,4,0
121,8.0,6.26,124.02,33.0,1976-08-16T16:11:08.160002Z,0,1,0,9,1,-1,0.0,1,0,4,0
122,7.1,-17.32,-72.4,54.0,1988-04-12T23:19:58.079997Z,0,3,0,6,1,1,3.0,3,0,6,0
123,7.1,44.16,148.29,43.0,1984-03-24T09:44:03.840005Z,0,1,0,15,1,-1,1.0,1,0,15,0
124,7.0,51.74,176.27,33.0,1981-01-30T08:52:48.000000Z,0,3,0,4,1,1,1.0,3,0,4,0
125,7.1,-15.77,-74.71,39.0,2018-01-14T09:18:43.200003Z,0,2,0,4,1,-1,1.0,2,0,4,0
126,7.5,60.64,-141.59,15.0,1979-02-28T21:27:04.319997Z,0,1,0,2,-1,-1,3.0,0,0,0,0
127,7.4,39.8,142.84,38.0,1989-11-01T18:25:37.920003Z,7,8,7,14,1,1,3.0,3,6,8,6
128,7.3,1.27,122.09,30.0,2008-11-16T17:02:32.640002Z,0,0,0,7,1,-1,3.0,0,0,3,0
129,7.0,-58.22,-22.1,19.0,2008-06-30T06:17:42.719995Z,0,4,0,5,1,1,3.0,4,0,5,0
130,7.0,18.45,-72.55,13.0,2010-01-12T21:53:08.159996Z,0,10,0,10,1,1,2.0,10,0,10,0
131,7.4,-60.93,-21.58,10.0,2006-01-02T06:10:47.999996Z,0,0,0,1,-1,-1,2.0,0,0,0,0
132,7.1,-20.62,169.36,34.0,2007-03-25T00:40:01.920003Z,1,10,1,28,5,5,0.0,10,1,28,1
133,7.7,-22.25,-69.89,40.0,2007-11-14T15:40:53.759996Z,0,18,0,24,1,1,2.0,8,0,11,0
134,7.1,-55.66,158.45,16.0,2008-04-12T00:30:14.399996Z,0,2,0,2,-1,-1,1.0,2,0,2,0
135,7.0,10.45,145.72,14.0,2007-09-30T02:08:26.880004Z,0,3,0,4,1,1,2.0,3,0,4,0
136,7.0,40.89,144.94,12.0,2012-03-14T09:08:38.400004Z,0,2,0,2,-1,-1,1.0,2,0,2,0
137,7.0,-14.44,-75.97,24.0,2011-10-28T18:54:34.560000Z,0,1,0,6,1,-1,3.0,1,0,6,0
138,7.0,-7.78,107.3,46.0,2009-09-02T07:55:03.360001Z,0,0,0,3,1,-1,1.0,0,0,3,0
139,7.2,-17.6,167.86,21.0,2002-01-02T17:22:50.880005Z,1,14,7,17,1,1,3.0,13,1,16,7
140,7.4,16.06,-96.93,60.6,1999-09-30T16:31:17.759999Z,0,0,0,1,-1,-1,3.0,0,0,0,0
141,7.5,-1.11,123.57,26.0,2000-05-04T04:21:12.960000Z,0,4,0,8,1,1,1.0,3,0,5,0
142,7.4,6.9,126.58,33.0,2001-01-01T06:57:01.440002Z,0,6,0,8,1,1,0.0,4,0,5,0
143,7.7,13.05,-88.66,60.0,2001-01-13T17:33:30.240005Z,0,10,0,22,1,1,3.0,3,0,7,0
144,7.8,35.95,90.54,10.0,2001-11-14T09:26:12.480004Z,0,5,0,6,1,1,3.0,0,0,0,0
145,7.1,24.28,122.18,32.8,2002-03-31T06:52:50.880005Z,0,2,4,13,2,-1,0.0,2,0,13,4
146,7.2,2.82,96.08,30.0,2002-11-02T01:26:06.720004Z,0,3,0,6,1,1,3.0,3,0,5,0
147,7.8,-10.47,112.98,39.0,1994-06-02T18:17:34.080000Z,0,19,0,22,1,1,3.0,5,0,5,0
148,7.7,12.96,144.78,61.0,1993-08-08T08:34:22.079997Z,0,6,0,10,1,1,2.0,2,0,2,0
149,7.2,-16.62,167.51,33.0,1994-07-13T02:35:57.119997Z,1,12,4,21,1,1,2.0,11,1,20,4
150,7.3,-15.19,-173.59,31.0,1995-04-07T22:06:57.600005Z,0,4,15,13,1,1,0.0,4,0,12,14
151,7.3,16.84,-98.6,21.0,1995-09-14T14:04:33.599998Z,0,0,0,10,2,-1,0.0,0,0,9,0
152,8.0,-23.36,-70.31,47.0,1995-07-30T05:11:19.680002Z,0,12,1,19,1,1,0.0,3,0,4,1
