  1.4523260e+001 -9.3244257e+000
  1.4815690e+001 -9.2815504e+000
  1.5178770e+001 -9.1614056e+000
  1.5530720e+001 -9.1418343e+000
  1.5822130e+001 -9.1445379e+000
  1.6113251e+001 -9.1655140e+000
  1.6251600e+001 -9.1942492e+000
             NaN             NaN
  1.4905890e+001 -9.6764898e+000
  1.4979470e+001 -1.0218100e+001
  1.5030620e+001 -1.0952400e+001
  1.5104760e+001 -1.1444150e+001
             NaN             NaN
  1.4813450e+001 -1.0165980e+001
  1.4883260e+001 -1.0643560e+001
  1.4901780e+001 -1.0886840e+001
             NaN             NaN
  1.5198680e+001 -1.1399230e+001
  1.5481960e+001 -1.1672990e+001
  1.5896280e+001 -1.1929730e+001
  1.6458191e+001 -1.2307310e+001
  1.6985491e+001 -1.2574190e+001
             NaN             NaN
  1.7742889e+001 -1.0977500e+001
  1.7803900e+001 -1.1303990e+001
  1.7833191e+001 -1.1566010e+001
             NaN             NaN
  1.5187290e+001 -5.7931290e+000
  1.5025320e+001 -6.2078681e+000
  1.4942670e+001 -6.5227060e+000
  1.4923730e+001 -6.8793130e+000
             NaN             NaN
  1.4512070e+001 -4.2793102e+000
  1.4258380e+001 -4.3640432e+000
  1.4073860e+001 -4.4219050e+000
  1.3966970e+001 -4.5169392e+000
             NaN             NaN
  1.3529410e+001 -4.2346792e+000
  1.3624380e+001 -4.3542070e+000
  1.3732900e+001 -4.4921341e+000
             NaN             NaN
  1.3294280e+001 -4.2920570e+000
  1.3507280e+001 -4.5221910e+000
  1.3701760e+001 -4.7613502e+000
             NaN             NaN
  1.3787260e+001 -4.8991222e+000
  1.3927430e+001 -5.0739279e+000
  1.4089730e+001 -5.3129268e+000
             NaN             NaN
  1.3916790e+001 -5.5079031e+000
  1.3966090e+001 -5.5997319e+000
  1.4002240e+001 -5.6457510e+000
             NaN             NaN
  1.4002240e+001 -5.6457510e+000
  1.4078560e+001 -5.7789650e+000
  1.4208850e+001 -5.9995208e+000
             NaN             NaN
  1.4083420e+001 -5.4362540e+000
  1.4119520e+001 -5.4868369e+000
  1.4146610e+001 -5.5236311e+000
             NaN             NaN
  1.4146610e+001 -5.5236311e+000
  1.4240720e+001 -5.7026982e+000
  1.4357640e+001 -5.8957071e+000
             NaN             NaN
  1.4146610e+001 -5.5236311e+000
  1.4062770e+001 -5.5960159e+000
  1.4002240e+001 -5.6457510e+000
             NaN             NaN
  2.0837030e+001 -7.6374998e+000
  2.0910980e+001 -7.5967031e+000
