,c_type,c_type60,depth0,fstyle_m,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
50,-1,-1,25.1,3.0,0.8,92.46,8.2,1,1,0,0,0,0,0,0,2012-04-11T10:43:14.879997Z
51,1,-1,20.0,1.0,2.33,93.06,8.6,2,2,0,0,0,1,1,0,2012-04-11T08:38:32.640004Z
52,5,5,10.0,3.0,-22.01,169.77,7.3,17,23,23,17,7,8,8,7,2003-12-27T16:01:03.360003Z
53,-1,-1,10.0,1.0,-49.31,161.35,8.1,1,1,0,0,0,0,0,0,2004-12-23T14:59:08.159997Z
54,-1,-1,39.2,3.0,6.91,92.96,7.2,1,1,1,1,0,0,0,0,2004-12-26T04:21:30.240001Z
55,1,1,19.0,2.0,31.0,103.32,7.9,5,5,1,1,0,0,0,0,2008-05-12T06:28:04.800005Z
56,1,1,39.0,3.0,-13.39,-76.6,8.0,5,7,1,0,0,2,2,0,2007-08-15T23:40:59.519996Z
57,1,1,11.0,3.0,54.47,168.82,7.8,1,1,0,0,2,4,2,1,2017-07-17T23:34:13.440002Z
58,1,-1,36.0,3.0,38.28,142.04,7.2,0,3,3,0,0,1,1,0,2005-08-16T02:46:27.840002Z
59,-1,-1,36.0,3.0,46.86,155.15,7.4,0,0,0,0,0,2,1,0,2009-01-15T17:49:37.920001Z
60,1,1,60.0,1.0,13.05,-88.66,7.7,10,13,4,2,0,0,0,0,2001-01-13T17:33:30.240005Z
61,1,1,16.0,3.0,23.42,70.23,7.6,3,3,1,1,0,0,0,0,2001-01-26T03:16:42.239997Z
62,-1,-1,10.0,0.0,35.95,90.54,7.8,0,0,0,0,0,1,0,0,2001-11-14T09:26:12.480004Z
63,-1,-1,33.0,2.0,-10.49,160.77,7.3,0,1,1,0,0,0,0,0,2003-01-20T08:43:09.119997Z
64,-1,-1,31.0,1.0,6.03,124.25,7.5,2,2,1,1,0,0,0,0,2002-03-05T21:16:07.679996Z
65,1,1,15.0,3.0,40.37,-124.32,7.2,3,3,3,3,1,2,2,1,1992-04-25T18:06:02.879997Z
66,-1,-1,21.0,2.0,4.56,-77.49,7.2,1,1,1,1,0,0,0,0,1991-11-19T22:28:50.879997Z
67,1,1,14.0,0.0,52.79,-132.1,7.8,10,10,3,3,0,0,0,0,2012-10-28T03:04:10.559997Z
68,2,2,36.1,3.0,37.89,144.09,7.2,3,3,3,3,1,13,13,1,2012-12-07T08:18:23.039997Z
69,1,1,24.0,3.0,13.96,-91.85,7.4,8,8,4,4,0,4,3,0,2012-11-07T16:35:45.599996Z
70,1,1,17.0,3.0,-29.54,-176.34,7.6,22,31,9,7,0,1,0,0,2011-07-06T19:03:21.600010Z
71,-1,-1,33.0,3.0,-28.99,-176.24,7.4,2,2,0,0,0,0,0,0,2011-10-21T17:57:15.839997Z
72,1,1,28.0,1.0,12.14,-88.59,7.3,3,3,2,2,0,0,0,0,2012-08-27T04:37:20.639996Z
73,1,1,28.0,0.0,10.81,126.64,7.6,11,13,1,1,0,0,0,0,2012-08-31T12:47:31.199995Z
74,1,-1,16.4,3.0,-22.48,173.12,7.2,2,3,3,2,0,2,2,0,2016-08-12T01:26:32.640000Z
75,1,1,15.2,2.0,-42.74,173.05,7.8,4,4,1,1,0,0,0,0,2016-11-13T11:02:58.559998Z
76,1,1,10.0,3.0,-55.28,-31.88,7.5,8,8,3,3,0,0,0,0,2016-08-19T07:32:26.880002Z
77,-1,-1,15.0,0.0,28.15,84.71,7.9,2,2,1,1,0,0,0,0,2015-04-25T06:11:22.559997Z
78,1,1,15.0,3.0,27.81,86.07,7.2,2,2,2,2,2,2,2,2,2015-05-12T07:05:22.559995Z
79,1,1,20.0,3.0,-0.25,119.84,7.6,1,1,0,0,2,2,1,1,2018-09-28T10:02:47.039998Z
80,2,2,22.6,0.0,-11.27,162.15,7.6,11,15,6,5,0,0,0,0,2014-04-12T20:14:38.399996Z
81,1,1,16.6,2.0,55.1,164.7,7.2,3,4,4,3,0,2,2,0,2018-12-20T17:01:58.080001Z
82,-1,-1,14.1,1.0,56.0,-149.17,7.9,1,2,0,0,0,0,0,0,2018-01-23T09:31:40.800000Z
83,1,1,47.4,0.0,15.02,-93.9,8.2,9,10,0,0,0,0,0,0,2017-09-08T04:49:17.760005Z
84,1,1,25.2,3.0,-6.07,142.75,7.5,11,11,6,6,0,0,0,0,2018-02-25T17:44:44.159997Z
85,1,1,24.0,3.0,-10.8,165.11,7.9,41,50,16,13,13,21,7,5,2013-02-06T01:12:25.920000Z
86,1,1,22.0,3.0,16.42,-97.96,7.2,3,3,3,3,0,2,2,0,2018-02-16T23:39:41.759997Z
87,2,2,25.0,3.0,-19.61,-70.77,8.1,23,32,6,6,14,19,4,4,2014-04-01T23:46:45.120003Z
88,1,1,10.0,1.0,-21.95,169.43,7.5,7,12,7,3,8,17,10,5,2018-12-05T04:18:11.519997Z
89,1,1,22.4,3.0,-31.57,-71.67,8.3,13,17,3,3,1,1,0,0,2015-09-16T22:54:28.799999Z
90,1,1,46.0,0.0,-30.64,-178.1,7.3,5,7,5,3,0,18,12,0,2019-06-15T22:55:03.360001Z
91,5,2,43.4,3.0,-6.76,155.02,7.5,17,27,11,7,11,29,18,9,2014-04-19T13:27:59.040004Z
92,1,1,40.0,2.0,-10.68,161.32,7.8,26,30,11,10,0,0,0,0,2016-12-08T17:38:49.919995Z
93,-1,-1,19.4,3.0,-0.59,128.03,7.2,1,2,2,1,0,0,0,0,2019-07-14T09:10:47.999995Z
94,1,1,41.0,0.0,-4.73,152.56,7.5,3,3,3,3,0,1,0,0,2015-03-29T23:48:28.800007Z
95,1,1,55.0,2.0,-5.46,151.88,7.5,8,11,3,3,7,12,5,4,2015-05-05T01:44:06.720000Z
96,1,1,16.0,0.0,50.04,87.81,7.3,3,3,2,2,0,0,0,0,2003-09-27T11:33:21.599999Z
97,1,1,33.0,2.0,0.72,119.98,7.9,5,14,4,1,0,0,0,0,1996-01-01T08:05:08.160000Z
98,1,1,27.0,1.0,41.81,143.91,8.3,18,24,3,3,0,3,0,0,2003-09-25T19:50:09.599997Z
99,1,1,30.0,0.0,2.82,96.08,7.2,3,3,3,3,0,0,0,0,2002-11-02T01:26:06.720004Z
100,-1,-1,10.0,2.0,-2.6,68.38,7.5,0,0,0,0,0,1,0,0,2003-07-15T20:27:53.280004Z
101,-1,-1,10.0,0.0,-60.53,-43.41,7.6,2,2,0,0,0,0,0,0,2003-08-04T04:37:20.639996Z
102,1,1,10.0,1.0,3.3,95.78,9.0,6,19,1,0,0,0,0,0,2004-12-26T00:58:53.760002Z
103,1,1,22.1,3.0,44.62,149.32,7.9,9,14,5,5,6,10,6,4,1995-12-03T18:01:09.120003Z
104,5,0,10.0,0.0,-4.0,135.02,7.3,6,15,13,5,2,4,4,2,2004-02-07T02:42:34.559996Z
105,1,1,16.0,0.0,7.92,92.19,7.2,3,5,5,3,0,3,3,0,2005-07-24T15:42:02.879999Z
106,1,1,10.0,1.0,-8.15,124.87,7.5,6,7,1,0,1,1,1,1,2004-11-11T21:26:38.400001Z
107,1,1,16.0,3.0,-5.81,154.21,7.7,7,24,14,4,1,15,9,0,1995-08-16T10:27:24.480003Z
108,1,1,33.0,3.0,51.56,-177.63,7.9,4,15,3,0,4,13,5,1,1996-06-10T04:03:38.880000Z
109,1,1,33.0,0.0,23.77,120.98,7.6,9,13,6,4,0,1,1,0,1999-09-20T17:47:19.680004Z
