,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr
135,4.2,43.4975,40.928,12.1,2013-04-11T22:31:33.190000Z,0,1,0,1,0,0,0,0,0,0
136,3.9,39.9544,42.937,10.9,2012-03-25T11:37:33.020030Z,0,1,0,1,0,0,0,0,0,0
137,4.1,43.066,45.635,10.0,2002-08-20T01:21:25.599974Z,0,1,0,1,0,0,0,0,0,0
138,3.8,38.9284,44.5074,4.2,2011-08-31T14:09:50.339982Z,1,0,1,0,0,0,0,1,0,1
139,3.9,37.4031,26.8315,5.8,2003-04-09T22:24:58.169983Z,0,1,0,1,0,0,0,0,0,0
140,4.2,43.0759,44.1844,3.1,2011-06-02T00:06:27.979982Z,2,0,2,0,0,0,0,0,0,0
141,3.8,38.5303,44.2791,12.2,2011-09-02T10:03:22.509962Z,0,1,0,1,0,0,1,0,1,0
142,4.0,37.2899,36.2178,5.5,2014-01-10T13:20:47.670025Z,0,1,0,1,0,0,0,0,0,0
143,3.9,38.4184,45.3407,14.9,2011-07-30T21:41:43.760026Z,2,0,2,0,0,0,0,1,0,1
144,4.1,39.4584,43.8687,0.5,2012-04-14T03:13:10.490019Z,0,1,0,1,0,0,0,0,0,0
145,4.3,43.211,45.952,10.0,2008-10-11T10:27:36.600024Z,1,5,1,5,4,4,0,0,0,0
146,4.2,38.4825,44.9121,6.6,2013-11-09T21:21:04.949999Z,3,1,3,1,4,4,1,0,1,0
147,4.0,41.4956,43.6617,6.1,2014-03-09T11:31:34.150019Z,0,1,0,1,0,0,0,0,0,0
148,3.8,35.36,27.94,34.0,1999-07-24T10:08:36.200023Z,0,1,0,1,0,0,1,0,1,0
149,3.9,38.319,44.194,10.0,2013-11-27T02:06:37.899967Z,0,1,0,1,0,0,0,0,0,0
150,5.0,38.6656,45.8127,2.1,2008-09-02T20:00:51.010017Z,0,1,0,1,0,0,0,0,0,0
151,4.3,41.03,43.87,10.0,1996-06-09T19:20:00.000036Z,4,0,4,0,1,1,0,0,0,0
152,3.8,39.8412,43.3634,10.0,2011-07-05T21:49:51.129984Z,0,1,0,1,0,0,1,0,1,0
153,4.1,39.0721,44.3124,7.5,2012-11-14T10:17:31.850045Z,1,0,1,0,0,0,0,0,0,0
154,4.1,35.8127,28.7116,35.0,1997-11-11T22:37:16.170014Z,0,1,0,1,0,0,0,0,0,0
155,4.1,35.3839,27.7783,30.0,1997-11-10T12:02:59.400013Z,1,1,1,1,0,0,0,0,0,0
156,3.9,39.067,26.726,21.1,2001-02-27T06:14:55.950029Z,1,0,1,0,0,0,0,0,0,0
157,4.5,43.026,35.673,33.0,2001-01-03T12:25:30.600016Z,0,0,0,2,0,0,0,0,0,0
158,4.4,42.5688,45.4777,6.5,2013-02-25T21:25:52.160018Z,7,0,7,0,4,4,0,0,0,0
159,3.9,39.1153,42.7342,17.2,2012-02-05T12:43:13.560042Z,0,1,0,1,0,0,0,0,0,0
160,4.9,37.9476,38.2331,5.0,2004-02-26T04:13:57.260010Z,1,1,1,1,0,0,0,0,0,0
161,3.9,35.228,27.896,5.0,2001-07-18T08:16:08.609978Z,1,0,1,0,0,0,0,0,0,0
162,3.8,35.7,27.3,4.0,1998-03-12T01:53:04.100006Z,0,1,0,1,0,0,1,0,1,0
163,4.0,37.57,38.26,10.0,1998-03-15T23:10:38.899978Z,0,1,0,1,0,0,0,0,0,0
164,4.1,35.15,27.788,67.7,2001-04-03T17:01:46.520025Z,1,0,1,0,0,0,0,0,0,0
165,4.0,42.896,45.7946,12.0,1996-02-05T04:45:40.369995Z,1,0,1,0,0,0,0,0,0,0
166,4.7,38.4131,39.3157,9.0,1996-02-07T12:27:06.859985Z,0,1,0,1,0,0,0,0,0,0
167,3.9,41.3569,43.86,5.2,2011-02-22T01:24:36.639965Z,1,0,1,0,0,0,0,0,0,0
168,4.1,38.24,39.18,10.0,1997-08-10T17:31:47.599996Z,1,1,1,1,0,0,0,0,0,0
169,3.9,35.31,25.41,22.0,1997-06-23T16:20:22.299965Z,0,1,0,1,0,0,0,0,0,0
170,4.1,40.8949,44.0463,13.6,2013-10-17T15:04:45.689981Z,0,2,0,2,0,0,0,0,0,0
171,3.9,35.93,27.29,5.0,1995-10-08T20:25:10.900016Z,0,1,0,1,0,0,0,0,0,0
172,4.1,38.3494,44.7045,4.4,2011-10-23T22:19:48.930039Z,1,0,1,0,0,0,0,0,0,0
173,3.8,36.5373,25.3345,12.0,1999-06-12T17:50:36.849987Z,1,0,1,0,0,0,0,1,0,1
174,4.3,38.5738,45.133,3.7,2011-05-15T10:49:20.839992Z,5,0,5,0,4,4,0,0,0,0
175,4.1,42.7445,41.8589,4.8,2008-12-30T14:04:08.190017Z,2,1,2,1,4,4,0,0,0,0
176,4.5,40.0,42.9167,8.0,2013-10-03T22:50:26.900044Z,0,1,0,1,0,0,0,0,0,0
177,4.3,43.532,42.375,10.0,2002-09-21T17:10:42.979960Z,0,1,0,1,0,0,0,0,0,0
178,3.8,35.5,27.67,3.0,1999-06-05T07:27:32.400026Z,1,0,1,0,0,0,0,1,0,1
179,4.2,40.2933,25.8052,11.2,1996-03-22T15:28:30.890036Z,0,1,0,1,0,0,0,0,0,0
180,3.8,39.9379,43.2814,1.4,2009-05-27T09:50:13.410038Z,0,1,0,1,0,0,1,0,1,0
181,4.1,37.7663,27.4349,10.0,1999-01-08T20:49:18.589991Z,0,1,0,1,0,0,0,0,0,0
182,4.3,41.3482,44.0937,10.0,1996-06-09T02:16:59.110006Z,2,1,2,1,4,4,0,0,0,0
183,3.8,40.2553,32.1735,0.9,1999-03-17T20:27:46.049959Z,0,1,0,1,0,0,1,0,1,0
184,3.8,38.9822,44.3726,8.6,2012-07-15T15:09:14.830042Z,0,1,0,1,0,0,1,0,1,0
185,4.1,35.989,27.1056,28.0,1997-08-09T06:47:07.809969Z,1,0,1,0,0,0,0,0,0,0
186,4.0,38.166,41.131,6.0,1999-03-01T14:53:51.699956Z,0,1,0,1,0,0,0,0,0,0
187,3.9,35.55,26.509,0.8,2001-05-20T13:50:18.680032Z,1,0,1,0,0,0,0,0,0,0
188,3.8,38.8122,44.5966,5.7,2009-03-07T03:10:00.990021Z,0,1,0,1,0,0,1,0,1,0
189,4.6,41.9827,42.0614,35.0,1996-05-28T04:50:14.829963Z,0,5,0,5,1,1,0,0,0,0
190,3.9,35.007,26.248,5.0,2001-11-24T16:20:17.139985Z,1,0,1,0,0,0,0,0,0,0
191,5.7,40.4354,42.3783,14.4,1999-12-03T17:06:55.949960Z,0,5,1,5,1,1,0,0,0,0
192,4.3,38.4388,45.3852,10.7,2018-01-13T00:50:17.199979Z,0,1,0,1,0,0,0,0,0,0
193,4.4,42.563,43.478,10.0,2007-11-01T12:17:23.600022Z,3,5,5,5,4,4,0,0,0,0
194,3.9,42.917,45.77,27.0,2007-01-14T01:49:05.299994Z,1,0,1,0,0,0,0,0,0,0
195,4.0,40.82,44.55,6.0,2006-10-09T12:49:34.499970Z,1,0,1,0,0,0,0,0,0,0
196,4.6,40.882,31.6302,10.0,2018-04-07T21:16:32.539960Z,0,2,0,2,0,0,0,0,0,0
197,4.0,40.35,45.08,10.0,1995-09-25T19:05:46.199990Z,0,2,0,2,0,0,0,0,0,0
198,4.1,38.8475,30.1823,5.5,2011-12-10T06:02:40.540016Z,1,0,1,0,0,0,0,0,0,0
199,4.8,35.0523,27.9676,19.2,1995-05-04T16:03:31.239990Z,1,0,2,0,0,0,0,0,0,0
200,3.9,43.084,42.703,13.0,2006-10-29T11:34:03.700043Z,4,1,4,1,4,4,1,0,1,0
201,3.9,43.077,45.887,29.0,2006-11-08T01:55:40.799971Z,1,0,1,0,0,0,0,0,0,0
202,4.1,43.42,45.9,27.0,2006-10-09T20:25:25.299958Z,0,2,0,2,0,0,0,0,0,0
203,4.2,41.3815,43.6619,11.1,2012-01-03T01:50:34.039967Z,1,0,1,0,0,0,0,0,0,0
204,3.9,37.08,33.213,33.0,2000-09-21T03:26:51.710007Z,0,1,0,1,0,0,0,0,0,0
205,3.9,35.92,27.57,5.0,1995-02-03T18:08:05.999999Z,0,1,0,1,0,0,0,0,0,0
206,4.2,38.737,44.1056,3.6,2018-04-06T19:14:12.589961Z,0,2,0,2,0,0,0,0,0,0
207,4.0,40.2561,45.136,1.2,2015-04-06T01:26:31.279980Z,0,1,0,1,0,0,0,0,0,0
208,4.0,38.0143,29.3849,10.5,2016-07-17T20:58:45.380037Z,0,1,0,1,0,0,0,0,0,0
209,4.4,42.9249,44.0127,11.9,2007-09-01T11:36:33.550045Z,1,0,1,0,0,0,0,0,0,0
210,4.1,43.2046,45.1172,2.3,2007-07-17T17:12:44.679974Z,0,1,0,1,0,0,0,0,0,0
211,3.9,43.242,40.965,10.0,2007-07-20T17:39:30.099972Z,0,1,0,1,0,0,0,0,0,0
212,3.9,36.7181,29.5294,17.9,2016-01-23T04:00:45.200013Z,0,1,0,1,0,0,0,0,0,0
213,4.3,43.0131,45.4143,13.6,2007-08-26T15:30:55.720019Z,1,0,1,0,0,0,0,0,0,0
214,3.8,42.9513,45.7841,18.1,2016-01-15T02:06:38.540016Z,0,1,0,1,0,0,1,0,1,0
