,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
52,3,3,21.69,8.3562,-83.1276,5.06,16,16,8,8,2,2,0,0,2014-10-10T06:22:55.000015Z
53,-1,-1,22.24,8.3161,-83.0922,5.05,1,1,1,1,1,1,1,1,2014-10-12T06:25:24.000012Z
54,1,1,17.56,9.5214,-84.8718,5.05,2,2,1,1,2,2,2,2,2017-09-02T10:38:15.000031Z
55,-1,-1,18.73,8.1889,-82.7173,5.04,1,1,0,0,1,1,0,0,2014-04-19T13:36:03.999997Z
56,-1,-1,40.65,8.3487,-82.8501,5.01,0,0,0,0,0,0,0,0,2019-06-26T05:47:22.000018Z
57,1,1,16.33,9.4216,-84.6779,5.0,0,0,0,0,3,3,0,0,2019-11-22T09:07:40.999984Z
58,1,1,13.38,8.9855,-83.9944,5.0,2,2,1,1,1,1,0,0,2014-10-14T03:31:08.999971Z
59,-1,-1,34.67,9.0142,-83.9751,4.99,1,1,1,1,0,0,0,0,2018-02-24T10:26:48.000016Z
60,-1,-1,19.17,8.0888,-82.9283,4.99,0,0,0,0,0,0,0,0,2021-01-29T13:23:23.000031Z
61,1,1,38.34,9.4926,-84.4803,4.99,2,2,0,0,5,5,0,0,2018-03-12T21:42:20.999987Z
62,-1,-1,21.88,8.6024,-83.1885,4.99,0,0,0,0,0,0,0,0,2018-08-30T08:02:06.000034Z
63,-1,-1,18.88,8.2078,-83.0067,4.97,0,0,0,0,0,0,0,0,2020-09-03T05:29:50.999995Z
64,1,1,48.48,8.2522,-82.7831,4.97,3,3,0,0,5,5,2,2,2019-12-05T01:03:05.999964Z
65,-1,-1,24.12,8.3388,-83.1197,4.96,0,0,0,0,0,0,0,0,2014-10-10T10:52:32.999984Z
66,-1,-1,0.97,8.8177,-83.8976,4.95,0,0,0,0,0,0,0,0,2015-11-21T23:58:28.999981Z
67,-1,-1,43.29,9.0217,-83.6674,4.93,0,0,0,0,0,0,0,0,2016-08-25T13:34:02.999999Z
68,2,2,29.81,8.4635,-82.9855,4.93,14,14,4,4,1,1,0,0,2020-12-08T14:20:48.000013Z
69,5,5,19.81,7.9623,-82.9021,4.92,8,8,7,7,0,0,0,0,2021-01-29T11:23:23.999972Z
70,1,1,58.9,9.6023,-84.0221,4.92,4,4,2,2,2,2,0,0,2015-04-18T23:33:03.999964Z
71,-1,-1,45.83,9.326,-83.9755,4.92,1,1,0,0,0,0,0,0,2021-05-14T15:33:54.000032Z
72,-1,-1,10.15,9.8556,-84.3748,4.92,0,0,0,0,0,0,0,0,2020-07-05T09:39:45.000029Z
73,1,1,20.56,8.0975,-82.8929,4.92,1,1,1,1,2,2,1,1,2014-04-16T13:37:08.000032Z
74,-1,-1,26.66,9.8853,-85.712,4.92,0,0,0,0,0,0,0,0,2015-12-10T00:03:13.999964Z
75,1,1,2.74,9.9539,-83.7872,4.91,7,7,3,3,0,0,0,0,2016-12-01T00:25:19.000049Z
