,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,nf,nf_all,ot0,rate_a,rate_f
158,-999.0,-999.0,0,0,159,16.257,-999.0,1.4699999999999998,40.30983,-124.637,4.92,0,0,1,1,2009-08-07T10:49:34.719971Z,-999.0,inf
159,-999.0,-999.0,0,0,160,9.476,-999.0,0.8000000000000003,35.92883,-120.477,4.48,0,0,2,2,2005-05-16T07:24:37.510017Z,-999.0,0.09419016219873633
160,-999.0,-999.0,0,0,161,7.751,0.33999999999999986,-999.0,36.10783,-117.86783999999999,3.79,1,1,0,0,1988-10-08T21:14:19.760002Z,inf,-999.0
161,-999.0,-999.0,0,0,162,15.23,0.040000000000000036,-999.0,41.91817,-119.71700000000001,3.48,1,1,0,0,2016-05-17T07:27:42.989981Z,inf,-999.0
162,-999.0,-999.0,1,1,163,6.761,0.5300000000000002,0.5700000000000003,35.72517,-121.09333000000001,4.2,2,2,1,1,2006-04-07T01:06:54.940001Z,2.3657718791738804,inf
163,-999.0,-999.0,0,0,164,8.093,-999.0,0.5500000000000003,37.926829999999995,-122.31033000000001,3.99,0,0,1,1,2012-03-05T13:33:20.449989Z,-999.0,inf
164,-999.0,-999.0,0,0,165,8.749,-999.0,0.1299999999999999,37.06917,-122.27917,3.57,0,0,1,1,2004-11-01T22:02:33.160019Z,-999.0,inf
165,-999.0,-999.0,0,0,166,5.0,0.30000000000000027,-999.0,37.571329999999996,-118.85733,3.74,1,1,0,0,2016-02-15T15:42:52.610035Z,inf,-999.0
166,-999.0,-999.0,0,0,167,11.134,-999.0,-999.0,35.209,-118.06200000000001,5.15,0,0,0,1,1992-07-11T18:14:15.729969Z,-999.0,-999.0
167,-999.0,-999.0,0,0,168,15.06,0.45999999999999996,-999.0,37.202329999999996,-118.4035,4.77,2,2,0,0,2016-02-16T23:04:26.909972Z,0.23997567911615458,-999.0
168,-999.0,-999.0,0,0,169,4.6819999999999995,0.5,-999.0,40.41067,-125.92017,3.94,1,1,0,0,1994-09-01T15:55:59.240037Z,inf,-999.0
169,-999.0,-999.0,0,0,170,20.064,1.56,-999.0,40.28067,-124.43316999999999,5.0,1,1,0,1,2006-07-19T11:41:43.460011Z,inf,-999.0
170,-999.0,-999.0,0,0,171,18.583,-999.0,0.040000000000000036,39.739000000000004,-122.08067,3.48,0,0,1,1,2003-03-29T00:40:33.250019Z,-999.0,inf
171,-999.0,-999.0,0,0,172,17.109,0.9600000000000004,0.10000000000000053,40.9885,-121.6935,4.4,1,1,3,3,2000-12-20T23:39:14.800005Z,inf,159.74559094162578
172,-999.0,-999.0,0,0,173,1.089,-999.0,0.009999999999999787,38.83533,-122.8195,3.44,0,0,1,1,2001-04-13T08:34:08.879988Z,-999.0,inf
173,-999.0,-999.0,0,0,174,1.93,-999.0,0.44999999999999973,39.31633,-119.235,4.17,0,0,2,2,1992-07-20T20:09:32.120034Z,-999.0,31.701186635195352
174,-999.0,-999.0,0,0,175,9.427999999999999,0.77,-999.0,36.29683,-120.4305,4.2,1,1,0,0,1994-04-21T16:37:15.360010Z,inf,-999.0
175,-999.0,-999.0,0,0,176,-0.034,-999.0,0.19999999999999973,40.16,-121.02799999999999,3.63,0,0,1,1,2013-08-19T11:09:55.119970Z,-999.0,inf
176,-999.0,-999.0,0,0,177,17.968,0.2999999999999998,0.46999999999999975,40.39433,-124.42233,3.9,1,1,1,1,1988-07-11T20:40:05.429966Z,inf,inf
177,-999.0,-999.0,0,0,178,6.023,0.1599999999999997,0.3299999999999996,37.624,-118.814,3.76,1,1,1,1,2010-07-22T11:40:08.089969Z,inf,inf
178,-999.0,-999.0,0,0,179,17.435,-999.0,0.39999999999999947,40.36683,-124.47117,4.1,0,0,2,2,2000-08-13T18:17:48.769982Z,-999.0,1.8344893562460922
179,-999.0,-999.0,0,0,180,1.5290000000000001,0.3299999999999996,-999.0,39.81283,-120.78883,3.76,1,1,0,0,2004-12-26T21:13:44.879986Z,inf,-999.0
180,-999.0,-999.0,0,0,181,7.66,0.5800000000000001,-999.0,39.158,-119.75816,4.0,1,1,0,0,1994-11-18T20:50:59.510033Z,inf,-999.0
181,-999.0,-999.0,1,1,182,0.778,0.71,0.5,38.83933,-122.8095,4.13,1,1,2,2,2003-10-03T16:56:34.809998Z,inf,0.35734364872787894
182,-999.0,-999.0,0,0,183,3.55,0.0,-999.0,35.641,-121.0785,3.42,1,1,0,0,2004-11-19T13:44:17.990015Z,inf,-999.0
183,-999.0,-999.0,0,0,184,3.786,0.020000000000000018,-999.0,35.2035,-120.80466000000001,3.44,1,1,0,0,2003-10-18T07:27:18.630034Z,inf,-999.0
184,-999.0,-999.0,0,0,185,7.132999999999999,-999.0,1.2800000000000002,40.352,-124.751,4.7,0,0,1,1,1996-08-08T09:19:04.580032Z,-999.0,inf
185,-999.0,-999.0,4,4,186,6.204,0.10000000000000009,0.44999999999999973,36.97667,-121.47,3.9,3,3,1,1,1995-12-13T05:45:12.760043Z,260.7068845928433,inf
186,-999.0,-999.0,0,0,187,0.503,0.28000000000000025,-999.0,36.16417,-120.6495,3.7,1,1,0,0,2004-09-26T15:54:05.960044Z,inf,-999.0
187,-999.0,-999.0,0,0,188,7.814,0.08999999999999986,-999.0,37.90633,-122.146,3.5,1,1,0,0,2003-10-19T15:32:52.179969Z,inf,-999.0
188,-999.0,-999.0,0,0,189,5.848,-999.0,0.16999999999999993,36.681329999999996,-121.31116000000002,3.58,0,0,1,1,2014-09-09T18:17:57.979971Z,-999.0,inf
189,-999.0,-999.0,0,0,190,12.880999999999998,0.29000000000000004,-999.0,37.45367,-118.62033000000001,3.7,1,1,0,0,1985-12-31T20:08:02.790032Z,inf,-999.0
190,-999.0,-999.0,0,0,191,15.981,-999.0,0.8200000000000003,37.8965,-122.11133999999998,4.23,0,0,1,1,2007-03-02T04:40:00.750000Z,-999.0,inf
191,-999.0,-999.0,2,0,192,2.891,-999.0,0.3299999999999996,38.74917,-122.72633,4.31,0,0,2,3,2004-12-27T10:36:22.969981Z,-999.0,0.05046167777428913
192,-999.0,-999.0,0,0,193,7.617000000000001,-999.0,0.49999999999999956,37.41483,-121.76299999999999,4.1,0,0,2,2,1990-07-01T00:36:41.379983Z,-999.0,0.2821868705389827
193,-999.0,-999.0,0,0,194,23.944000000000003,0.3999999999999999,-999.0,40.8625,-123.78433000000001,3.8,1,1,0,0,1986-03-20T22:41:38.239956Z,inf,-999.0
194,-999.0,-999.0,4,4,195,12.923,0.0,0.10000000000000009,37.492670000000004,-118.7925,3.5,3,3,1,1,1990-12-01T10:39:54.139968Z,0.33125659391653267,inf
195,-999.0,-999.0,0,0,196,8.607999999999999,-999.0,0.6000000000000001,36.8805,-121.62183,4.0,0,0,1,1,1990-08-05T06:52:13.440035Z,-999.0,inf
196,-999.0,-999.0,0,0,197,0.359,0.0,-999.0,37.49767,-118.89633,3.4,1,1,0,0,1990-10-07T10:08:49.200033Z,inf,-999.0
197,-999.0,-999.0,0,0,198,2.742,0.30000000000000027,-999.0,38.34667,-118.37433999999999,3.7,1,1,0,0,1990-06-25T06:43:34.859967Z,inf,-999.0
198,-999.0,-999.0,0,0,199,9.157,-999.0,0.10000000000000009,35.79133,-121.25684,3.5,0,0,1,1,1999-09-21T15:42:48.389982Z,-999.0,inf
199,-999.0,-999.0,0,0,200,-1.026,-999.0,0.6999999999999997,38.84783,-122.77167,4.1,0,0,1,1,1985-11-12T16:06:56.610028Z,-999.0,inf
200,-999.0,-999.0,0,0,201,18.1,-999.0,0.6700000000000004,34.52267,-119.07700000000001,4.07,0,0,1,1,2016-03-12T08:42:40.599965Z,-999.0,inf
201,-999.0,-999.0,0,0,202,9.931000000000001,-999.0,0.5900000000000003,35.9415,-120.49416000000001,3.99,0,0,1,1,2010-04-07T22:40:29.939985Z,-999.0,inf
