,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
27,1578,18,1272,1.0,39.523,-119.932,5.1,48,48,49,51,53,23,28,24,23,24,2008-04-26T06:40:10.950019Z,2008-04-26T06:40:10.950019Z,2008-04-26T06:40:09.000003,1,1,1,1,1
28,1758,16,656,5.0,39.811,-120.617,5.2,7,7,9,8,10,0,0,0,0,0,2001-08-10T20:19:27.059988Z,2001-08-10T20:19:27.059988Z,2001-08-10T20:19:25.999999,1,1,1,1,1
29,447,74,883,2.0,38.836999999999996,-122.76700000000001,4.6,2,2,6,2,48,0,1,0,0,0,2004-02-18T20:37:46.419967Z,2004-02-18T20:37:46.419967Z,2004-02-18T20:37:45.000000,-1,1,1,-1,1
30,117,47,879,23.0,35.092,-119.109,4.8,2,2,3,2,4,0,0,0,0,0,2004-02-14T12:43:05.610035Z,2004-02-14T12:43:05.610035Z,2004-02-14T12:43:03.999999,-1,-1,1,-1,1
31,1760,1,871,8.0,35.7,-121.1,6.5,918,918,1051,1231,1397,0,0,0,0,0,2003-12-22T19:15:56.239982Z,2003-12-22T19:15:56.239982Z,2003-12-22T19:15:54.999999,1,1,1,1,1
32,1694,5,1962,7.0,38.376,-118.90299999999999,5.8,74,74,85,92,99,1,2,1,1,1,2016-12-28T08:22:12.620003Z,2016-12-28T08:22:12.620003Z,2016-12-28T08:22:10.999997,3,3,3,3,3
33,1639,14,1679,11.0,38.052,-118.046,5.3,32,32,36,33,39,0,0,0,0,0,2013-02-13T00:10:13.959957Z,2013-02-13T00:10:13.959957Z,2013-02-13T00:10:11.999998,1,1,1,1,1
34,1539,82,1332,-1.0,39.96,-120.869,4.5,10,10,10,10,11,0,0,0,0,0,2008-12-26T12:19:40.020013Z,2008-12-26T12:19:40.020013Z,2008-12-26T12:19:39.000004,1,1,1,1,1
35,1658,32,34,6.0,36.602,-121.20100000000001,4.9,35,35,39,39,160,1,4,2,1,2,1995-04-23T08:41:36.649970Z,1995-04-23T08:41:36.649970Z,1995-04-23T08:41:35.000000,1,1,1,1,1
36,1540,48,1530,6.0,38.394,-118.73299999999999,4.8,37,32,50,41,57,34,33,36,34,36,2011-04-17T00:45:37.209967Z,2011-04-17T00:45:37.209967Z,2011-04-17T00:45:36.000003,4,4,4,4,4
37,1759,17,648,7.0,36.013000000000005,-117.866,5.2,184,183,202,194,213,25,29,29,25,29,2001-07-17T12:07:25.829970Z,2001-07-17T12:07:25.829970Z,2001-07-17T12:07:24.000001,2,2,2,2,2
38,1752,4,945,8.0,35.818000000000005,-120.366,6.0,108,104,125,142,171,0,0,0,0,0,2004-09-28T17:15:24.249969Z,2004-09-28T17:15:24.249969Z,2004-09-28T17:15:23.000000,1,1,1,1,1
39,1751,10,940,3.0,38.01,-118.678,5.4,128,127,143,149,172,9,9,9,9,9,2004-09-18T23:02:17.750001Z,2004-09-18T23:02:17.750001Z,2004-09-18T23:02:16.000003,2,2,2,2,2
40,1734,31,136,5.0,36.885,-121.613,4.9,7,7,8,8,50,1,1,1,1,1,1996-04-19T00:52:41.440014Z,1996-04-19T00:52:41.440014Z,1996-04-19T00:52:39.999999,1,1,1,1,1
41,1667,15,1650,8.0,36.31,-120.85600000000001,5.3,12,12,17,15,26,0,0,0,0,0,2012-10-21T06:55:09.510011Z,2012-10-21T06:55:09.510011Z,2012-10-21T06:55:08.000003,1,1,1,1,1
42,290,85,1508,7.0,36.771,-121.49600000000001,4.5,4,4,13,4,16,0,1,0,0,0,2011-01-12T08:51:03.680036Z,2011-01-12T08:51:03.680036Z,2011-01-12T08:51:02.000002,1,1,1,1,1
43,22,61,998,4.0,35.056,-119.197,4.7,2,2,6,2,6,0,0,0,0,0,2005-04-16T19:18:12.319982Z,2005-04-16T19:18:12.319982Z,2005-04-16T19:18:10.999998,-1,-1,1,-1,1
44,1372,34,570,9.0,38.379,-122.413,4.9,6,6,6,6,6,0,0,0,0,0,2000-09-03T08:36:30.110031Z,2000-09-03T08:36:30.110031Z,2000-09-03T08:36:29.000003,1,1,1,1,1
45,1445,12,2156,7.0,35.906,-117.789,5.3,59,53,496,59,528,1,1,1,1,1,2019-07-06T03:47:53.489986Z,2019-07-06T03:47:53.489986Z,2019-07-06T03:47:52.000002,1,1,5,1,5
46,1612,29,730,6.0,36.967,-121.598,4.9,4,3,6,4,21,2,2,0,2,0,2002-05-14T05:00:29.500044Z,2002-05-14T05:00:29.500044Z,2002-05-14T05:00:27.999998,1,1,1,1,1
47,617,30,280,1.0,37.256,-117.831,4.9,5,3,8,5,8,1,2,4,1,4,1997-11-15T06:00:19.509983Z,1997-11-15T06:00:19.509983Z,1997-11-15T06:00:17.999998,1,1,1,1,1
48,1262,92,2192,13.0,37.938,-122.057,4.5,2,2,3,2,3,1,1,1,1,1,2019-10-15T05:33:42.809983Z,2019-10-15T05:33:42.809983Z,2019-10-15T05:33:40.999998,1,1,1,1,1
49,1650,45,1182,4.0,39.465,-123.10700000000001,4.8,14,14,17,16,19,2,5,2,2,2,2007-04-18T08:42:22.329998Z,2007-04-18T08:42:22.329998Z,2007-04-18T08:42:21.000003,1,1,1,1,1
50,1515,90,1183,1.0,38.795,-122.796,4.5,8,3,7,9,18,0,1,0,0,0,2007-04-24T21:08:28.530012Z,2007-04-24T21:08:28.530012Z,2007-04-24T21:08:27.000000,1,1,1,1,1
51,1681,19,1367,-1.0,36.393,-117.851,5.1,96,95,114,104,129,33,41,44,33,69,2009-10-03T01:15:59.740044Z,2009-10-03T01:15:59.740044Z,2009-10-03T01:15:57.999998,5,5,5,5,4
