,M0,T0Z,T0M,T0G,Lat0,Lon0,Dep0,Cid_Z,Cid_G,Cid_M,N_AS_allZ,N_FS_allZ,N_AS_Z,N_FS_Z,N_AS_allG,N_FS_allG,N_AS_G,N_FS_G,N_AS_M,N_FS_M,c_typeM,c_typeZ,c_typeallZ,c_typeG,c_typeallG
55,5.5,2004-08-04T03:01:03.999998,2004-08-04T03:01:05.920001Z,2004-08-04T03:01:05.920001Z,36.837,27.768,10.0,1247,1125,73,191,66,154,66,221,55,125,55,111,48,4,4,4,4,4
56,5.1,2000-06-29T14:15:25.000000,2000-06-29T14:15:26.499997Z,2000-06-29T14:15:26.499997Z,38.508,26.033,28.0,648,329,237,3,1,2,1,6,0,1,0,1,1,-1,1,1,-1,1
57,5.9,2013-12-28T15:21:05.000004,2013-12-28T15:21:06.050043Z,2013-12-28T15:21:06.050043Z,36.05,31.318,59.0,3540,930,24,14,0,13,0,11,0,7,0,7,1,1,1,1,1,1
58,5.1,2011-07-25T17:57:21.000001,2011-07-25T17:57:22.619985Z,2011-07-25T17:57:22.619985Z,40.824,27.747,12.0,3044,812,205,12,0,9,0,11,0,9,0,8,0,1,1,1,1,1
59,5.5,2003-07-26T08:36:48.999997,2003-07-26T08:36:50.869957Z,2003-07-26T08:36:50.869957Z,38.057,28.913,21.0,1075,1134,74,85,30,74,30,83,25,72,25,66,31,5,5,5,5,5
60,5.6,2003-07-13T01:48:21.000000,2003-07-13T01:48:22.270032Z,2003-07-13T01:48:22.270032Z,38.272,38.976,12.0,1072,1130,68,11,0,11,0,25,0,13,0,12,0,1,1,1,1,1
61,5.6,2004-08-11T15:48:23.999997,2004-08-11T15:48:25.020030Z,2004-08-11T15:48:25.020030Z,38.34,39.253,7.0,1252,1123,57,68,0,64,0,44,1,39,1,33,3,1,1,1,1,1
62,5.3,2018-09-12T06:21:45.999997,2018-09-12T06:21:47.960005Z,2018-09-12T06:21:47.960005Z,36.155,31.13,51.0,4065,935,110,9,0,9,0,7,0,7,0,6,0,1,1,1,1,1
63,5.2,2011-05-08T06:50:23.000003,2011-05-08T06:50:24.320027Z,2011-05-08T06:50:24.320027Z,36.675,27.216,17.0,2991,446,150,11,0,11,0,5,0,5,0,4,0,1,1,1,1,1
64,6.0,2010-03-08T02:32:33.999999,2010-03-08T02:32:35.039983Z,2010-03-08T02:32:35.039983Z,38.788,40.044,12.0,2784,881,20,148,0,138,0,154,2,131,2,131,12,2,2,2,2,2
65,5.8,2003-07-06T19:10:25.999997,2003-07-06T19:10:27.989972Z,2003-07-06T19:10:27.989972Z,40.45,26.041,17.0,1069,1133,36,67,2,66,2,64,1,59,1,59,2,1,1,1,1,1
66,5.3,2006-04-09T23:27:18.000002,2006-04-09T23:27:19.529996Z,2006-04-09T23:27:19.529996Z,35.175,27.25,30.0,1662,371,117,7,0,7,0,7,0,2,0,2,4,1,1,1,-1,1
67,5.4,2012-01-27T01:33:22.999997,2012-01-27T01:33:24.309996Z,2012-01-27T01:33:24.309996Z,36.056,25.087,18.0,3146,987,84,67,17,63,17,65,16,60,16,60,17,5,5,5,5,5
68,5.1,1999-01-15T19:14:11.000002,1999-01-15T19:14:12.329984Z,1999-01-15T19:14:12.329984Z,35.374,45.184,28.0,449,6,224,0,1,0,1,1,0,0,0,0,0,-1,-1,-1,-1,-1
69,5.3,2004-12-20T23:02:12.999997,2004-12-20T23:02:14.980020Z,2004-12-20T23:02:14.980020Z,36.937,28.363,25.0,1337,1084,112,36,0,36,0,23,0,19,0,15,0,1,1,1,1,1
