,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
27,1071,172,1024,3.0,34.803000000000004,-116.266,4.8,10,10,12,10,14,0,0,0,0,0,2002-10-29T14:16:54.079969Z,2002-10-29T14:16:54.079969Z,2002-10-29T14:16:53.000002,1,1,1,1,1
28,608,144,1027,6.0,32.232,-115.79799999999999,4.8,4,4,3,8,3,0,0,0,0,0,2002-12-10T21:04:00.690014Z,2002-12-10T21:04:00.690014Z,2002-12-10T21:04:00.000001,1,1,1,1,1
29,1009,94,1034,5.0,34.312,-116.845,5.0,50,50,50,51,53,0,0,0,0,0,2003-02-22T12:19:10.919969Z,2003-02-22T12:19:10.919969Z,2003-02-22T12:19:09.000000,5,5,1,5,1
30,862,201,1110,10.0,35.043,-119.014,4.7,11,11,12,11,13,1,1,1,1,1,2005-09-22T20:24:48.620052Z,2005-09-22T20:24:48.620052Z,2005-09-22T20:24:47.000003,5,5,5,5,5
31,1096,4,1691,8.0,35.77,-117.59899999999999,7.1,1720,1720,1805,1837,1891,243,258,262,243,262,2019-07-06T03:19:53.039968Z,2019-07-06T03:19:53.039968Z,2019-07-06T03:19:52.000003,1,1,1,1,1
32,951,66,1272,-1.0,36.391,-117.861,5.2,48,48,51,50,54,28,28,28,28,28,2009-10-03T01:16:00.310016Z,2009-10-03T01:16:00.310016Z,2009-10-03T01:16:00.000003,4,4,4,4,4
33,1065,69,977,1.0,36.016,-117.874,5.2,115,115,112,118,118,20,23,24,20,24,2001-07-17T12:07:26.099964Z,2001-07-17T12:07:26.099964Z,2001-07-17T12:07:25.000000,2,2,1,2,1
34,774,114,866,1.0,34.062,-116.366,4.9,35,35,19,35,20,1,1,1,1,1,1999-05-14T07:54:03.189999Z,1999-05-14T07:54:03.189999Z,1999-05-14T07:54:01.999998,1,1,1,1,1
35,1101,3,885,13.0,34.603,-116.265,7.1,1108,1108,1285,1549,1460,8,18,5,8,5,1999-10-16T09:46:44.460015Z,1999-10-16T09:46:44.460015Z,1999-10-16T09:46:43.000000,1,1,1,1,1
36,1031,49,772,0.0,36.075,-117.65,5.3,71,71,79,84,97,0,0,0,0,0,1996-11-27T20:17:24.110021Z,1996-11-27T20:17:24.110021Z,1996-11-27T20:17:23.000002,1,1,1,1,1
37,1094,11,70,9.0,33.999,-116.60799999999999,6.0,265,264,298,303,317,1,3,0,1,0,1986-07-08T09:20:44.560037Z,1986-07-08T09:20:44.560037Z,1986-07-08T09:20:43.000000,1,1,1,1,1
38,1100,2,1313,10.0,32.286,-115.295,7.2,2299,2299,2444,3597,2946,18,46,10,78,10,2010-04-04T22:40:42.359984Z,2010-04-04T22:40:42.359984Z,2010-04-04T22:40:40.999998,1,1,1,1,1
39,353,84,1079,2.0,35.39,-118.624,5.0,2,2,3,2,3,0,0,0,0,0,2004-09-29T22:54:54.239964Z,2004-09-29T22:54:54.239964Z,2004-09-29T22:54:52.999997,-1,-1,1,-1,1
40,396,153,1670,10.0,32.205999999999996,-115.25399999999999,4.8,7,7,11,7,12,0,0,0,0,0,2018-11-19T20:18:42.509988Z,2018-11-19T20:18:42.509988Z,2018-11-19T20:18:41.000003,1,1,1,1,1
41,989,64,1096,13.0,33.532,-116.56700000000001,5.2,8,8,9,8,9,1,1,0,1,0,2005-06-12T15:41:46.519989Z,2005-06-12T15:41:46.519989Z,2005-06-12T15:41:44.999998,1,1,1,1,1
42,1045,129,1097,10.0,34.058,-117.01100000000001,4.9,5,5,5,6,5,0,0,0,0,0,2005-06-16T20:53:26.019970Z,2005-06-16T20:53:26.019970Z,2005-06-16T20:53:25.000000,1,1,1,1,1
43,871,171,1254,6.0,33.317,-115.728,4.8,21,21,24,21,26,5,5,5,5,5,2009-03-24T11:55:43.930015Z,2009-03-24T11:55:43.930015Z,2009-03-24T11:55:41.999998,1,1,1,1,1
44,836,72,1529,5.0,33.931999999999995,-117.916,5.1,18,18,20,18,20,1,1,1,1,1,2014-03-29T04:09:42.169963Z,2014-03-29T04:09:42.169963Z,2014-03-29T04:09:41.000003,1,1,1,1,1
45,717,192,1263,13.0,33.938,-118.336,4.7,4,4,3,4,3,0,0,0,0,0,2009-05-18T03:39:36.339987Z,2009-05-18T03:39:36.339987Z,2009-05-18T03:39:35.000003,1,1,1,1,1
46,492,184,1264,0.0,36.396,-117.838,4.7,16,16,15,16,15,2,3,2,2,2,2009-05-23T22:58:32.940045Z,2009-05-23T22:58:32.940045Z,2009-05-23T22:58:31.000003,1,1,1,1,1
47,781,35,1336,12.0,33.417,-116.475,5.4,15,15,14,17,14,6,7,0,6,0,2010-07-07T23:53:33.480018Z,2010-07-07T23:53:33.480018Z,2010-07-07T23:53:32.000003,1,1,1,1,1
48,1073,28,447,3.0,34.144,-117.697,5.5,74,74,82,79,84,1,1,1,1,1,1990-02-28T23:43:36.750032Z,1990-02-28T23:43:36.750032Z,1990-02-28T23:43:34.999997,1,1,1,1,1
49,599,83,338,6.0,33.979,-116.681,5.0,2,2,2,3,2,0,2,0,0,0,1988-12-16T05:53:04.999988Z,1988-12-16T05:53:04.999988Z,1988-12-16T05:53:02.999999,-1,1,-1,1,-1
50,1089,41,136,6.0,32.388000000000005,-115.305,5.4,42,42,48,49,50,2,2,2,2,2,1987-02-07T03:45:14.850000Z,1987-02-07T03:45:14.850000Z,1987-02-07T03:45:12.999998,1,1,1,1,1
51,1050,74,320,1.0,33.153,-115.646,5.1,26,25,25,26,34,47,37,47,47,63,2005-09-02T01:27:19.590017Z,2005-09-02T01:27:19.590017Z,2005-09-02T01:27:17.999999,1,1,1,1,1
52,509,146,327,5.0,33.507,-118.071,4.8,1,1,3,1,3,2,2,2,2,2,1988-11-20T05:39:28.669966Z,1988-11-20T05:39:28.669966Z,1988-11-20T05:39:27.000000,1,1,1,1,1
53,1041,50,1648,9.0,33.836999999999996,-119.726,5.3,2,2,3,2,3,0,0,0,0,0,2018-04-05T19:29:16.500015Z,2018-04-05T19:29:16.500015Z,2018-04-05T19:29:14.999998,-1,-1,1,-1,1
54,798,216,281,6.0,34.135999999999996,-117.709,4.7,7,7,7,7,8,0,0,0,0,0,1988-06-26T15:04:58.480035Z,1988-06-26T15:04:58.480035Z,1988-06-26T15:04:57.000002,1,1,1,1,1
55,837,97,1114,9.0,32.455,-118.163,5.0,4,3,4,4,4,0,0,0,0,0,2005-10-16T21:11:35.009980Z,2005-10-16T21:11:35.009980Z,2005-10-16T21:11:34.000001,1,1,1,1,1
56,722,24,562,9.0,35.21,-118.06700000000001,5.7,2,2,3,2,3,0,0,0,0,0,1992-07-11T18:14:16.159981Z,1992-07-11T18:14:16.159981Z,1992-07-11T18:14:14.999998,-1,-1,1,-1,1
57,494,187,1181,12.0,33.732,-117.477,4.7,7,7,8,7,8,0,0,0,0,0,2007-09-02T17:29:14.790013Z,2007-09-02T17:29:14.790013Z,2007-09-02T17:29:12.999998,1,1,1,1,1
58,1047,18,725,4.0,35.760999999999996,-117.63799999999999,5.8,107,107,117,167,189,57,57,65,57,65,1995-09-20T23:27:36.269998Z,1995-09-20T23:27:36.269998Z,1995-09-20T23:27:35.000001,2,2,2,5,5
