,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
51,-1,-1,5.997999999999999,35.8045,-120.34983000000001,4.71,0,0,0,0,0,0,0,0,2004-09-28T17:24:15.280020Z
52,-1,-1,-1.41,36.678000000000004,-118.18417,4.71,0,0,0,0,0,0,0,0,2019-07-11T00:15:49.429984Z
53,1,1,10.1,36.6455,-121.274,4.71,11,11,7,7,2,2,1,1,2019-10-15T19:42:30.540035Z
54,1,1,3.6180000000000003,38.817170000000004,-122.81383999999998,4.71,7,7,3,3,14,14,6,6,2006-05-12T10:37:29.330031Z
55,-1,-1,7.787000000000001,35.64567,-121.05367,4.7,1,1,0,0,0,0,0,0,2003-12-23T18:17:11.209997Z
56,-1,-1,7.518,37.35933,-121.72233999999999,4.7,0,0,0,0,1,1,0,0,1996-05-21T20:50:20.170033Z
57,-1,-1,5.405,37.5115,-118.8295,4.7,0,0,0,0,0,0,0,0,1999-05-15T17:54:08.780028Z
58,-1,-1,-1.081,38.7305,-119.633,4.7,0,0,0,0,0,0,0,0,1995-12-23T05:39:56.649999Z
59,1,1,6.785,38.42933,-119.36066000000001,4.7,16,16,6,6,0,0,0,0,2007-03-09T03:17:32.109994Z
60,-1,-1,4.055,35.0555,-119.197,4.69,2,2,2,2,0,0,0,0,2005-04-16T19:18:12.319982Z
61,-1,-1,-1.33,36.3905,-117.85616,4.68,0,0,0,0,0,0,0,0,2009-10-03T01:09:18.520051Z
62,-1,-1,2.185,38.02767,-118.6425,4.67,0,0,0,0,0,0,0,0,2004-09-20T16:51:04.810028Z
63,1,1,7.5,36.58433,-121.18083,4.64,16,16,8,8,5,5,2,2,2011-08-27T07:18:21.149968Z
64,5,5,4.33,36.111999999999995,-117.89716000000001,4.64,60,60,32,32,47,47,34,34,2019-07-18T03:59:14.720037Z
