,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,nf,nf_all,ot0,rate_a,rate_f
1366,-999.0,-999.0,3,3,1367,6.0,0.020000000000000018,0.10999999999999988,32.438,-115.25299999999999,3.63,2,2,2,2,1986-04-24T02:03:33.670017Z,4.023865620038508,1994.9189774557344
1367,-999.0,-999.0,0,0,1368,22.1,2.25,-999.0,35.542,-119.37299999999999,4.87,1,1,0,0,2016-02-24T00:02:23.629979Z,inf,-999.0
1368,-999.0,-999.0,0,0,1369,1.9,-999.0,0.6399999999999997,34.339,-116.738,3.26,0,0,1,1,2000-04-21T03:32:21.949988Z,-999.0,inf
1369,-999.0,-999.0,0,0,1370,1.1,0.71,-999.0,34.468,-116.508,3.33,1,1,0,0,1993-03-22T13:08:16.910015Z,inf,-999.0
1370,-999.0,-999.0,4,4,1371,4.1,0.33000000000000007,0.20000000000000018,33.16,-115.63799999999999,3.89,10,10,6,6,2000-05-10T23:25:42.639997Z,0.3149741063376705,0.1784954052112074
1371,-999.0,-999.0,0,0,1372,11.9,-999.0,0.6699999999999999,34.043,-116.63600000000001,3.6,0,0,2,2,2000-06-30T09:41:00.619987Z,-999.0,0.3064353335264558
1372,-999.0,-999.0,0,0,1373,5.3,0.8999999999999999,-999.0,35.75,-116.52799999999999,3.52,1,1,0,0,1992-01-26T18:20:23.749981Z,inf,-999.0
1373,-999.0,-999.0,0,0,1374,0.2,-999.0,0.22999999999999998,34.309,-116.339,2.85,0,0,1,1,1987-11-11T06:43:06.410001Z,-999.0,inf
1374,-999.0,-999.0,4,4,1375,2.8,0.21999999999999975,0.20999999999999996,34.967,-117.036,3.19,2,2,4,4,1991-08-04T11:54:11.839969Z,322.69509300244823,0.8241388161172977
1375,-999.0,-999.0,0,0,1376,3.1,-999.0,0.5099999999999998,33.266999999999996,-116.115,3.13,0,0,1,1,2016-08-31T07:04:14.249996Z,-999.0,inf
1376,-999.0,-999.0,0,0,1377,3.0,0.08999999999999986,-999.0,36.113,-117.85700000000001,2.75,2,2,0,0,2019-12-16T07:16:43.499995Z,1.4626023254903113,-999.0
1377,-999.0,0.8479208920624807,4,4,1378,6.0,1.1399999999999997,0.1499999999999999,32.366,-115.36,4.09,4,4,32,32,1993-12-20T17:37:02.489980Z,0.9487767615520145,3.031083604382042
1378,-999.0,-999.0,0,0,1379,6.0,0.020000000000000018,-999.0,32.391,-115.117,2.64,1,1,0,0,1997-01-31T14:03:47.449956Z,inf,-999.0
1379,-999.0,-999.0,4,4,1380,20.6,0.2799999999999998,0.33999999999999986,32.205,-115.229,3.09,1,1,2,2,2015-02-12T16:14:08.929973Z,inf,0.1949347975352631
1380,-999.0,-999.0,1,1,1381,0.6,1.4099999999999997,2.15,34.971,-116.819,5.26,7,7,1,2,1997-03-18T15:24:47.720044Z,2.0628737866844027,inf
1381,-999.0,-999.0,0,0,1382,1.0,0.21999999999999975,-999.0,33.243,-115.616,2.84,1,1,0,0,1990-11-18T05:06:06.650036Z,inf,-999.0
1382,-999.0,-999.0,1,1,1383,7.0,0.5299999999999998,-999.0,32.181,-115.384,3.59,6,6,0,0,2002-09-23T08:13:16.609955Z,1.4230563010527797,-999.0
1383,-999.0,-999.0,0,0,1384,4.4,0.3600000000000003,-999.0,36.93,-118.074,2.97,1,1,0,0,1985-01-08T06:59:38.670028Z,inf,-999.0
1384,-999.0,-999.0,1,1,1385,4.8,-999.0,0.6800000000000002,35.735,-117.62700000000001,3.41,0,0,3,3,1996-05-13T03:33:48.180037Z,-999.0,0.5480530341794246
1385,-999.0,-999.0,0,0,1386,5.3,0.020000000000000018,-999.0,36.111999999999995,-117.809,2.63,1,1,0,0,1996-01-27T17:45:07.970026Z,inf,-999.0
1386,-999.0,-999.0,0,0,1387,6.0,-999.0,0.26000000000000023,32.324,-115.346,2.87,0,0,1,1,1998-06-24T17:24:02.889994Z,-999.0,inf
1387,-999.0,-999.0,0,0,1388,4.4,-999.0,0.13000000000000034,35.005,-118.507,2.74,0,0,1,1,1997-06-08T00:31:41.850014Z,-999.0,inf
1388,-999.0,-999.0,0,0,1389,8.3,-999.0,0.3500000000000001,33.746,-116.024,2.96,0,0,1,1,2002-10-12T15:29:23.359979Z,-999.0,inf
1389,-999.0,-999.0,1,1,1390,4.6,1.0699999999999998,-999.0,36.945,-117.525,4.75,17,17,0,0,1998-07-02T03:39:50.449969Z,3.350815076391,-999.0
1390,-999.0,-999.0,0,0,1391,5.8,0.22999999999999954,-999.0,32.681,-118.109,4.76,8,8,0,0,1997-06-20T04:35:40.520030Z,3.35297693320642,-999.0
1391,-999.0,-999.0,0,0,1392,2.5,0.040000000000000036,-999.0,33.813,-118.536,2.65,1,1,0,0,1985-03-09T09:55:46.660021Z,inf,-999.0
1392,-999.0,-999.0,1,1,1393,8.3,0.5100000000000002,0.56,36.663000000000004,-117.186,3.47,5,5,3,3,2003-03-21T18:46:34.489982Z,0.5521483754755641,2.161070990156492
1393,-999.0,-999.0,1,1,1394,12.8,1.6799999999999997,1.7699999999999996,34.394,-118.669,5.02,2,2,6,7,1995-06-26T08:40:28.940017Z,0.8523427217622118,0.14923164615485465
1394,-999.0,-999.0,0,0,1395,18.5,0.38000000000000034,1.2200000000000002,32.791,-115.54700000000001,3.99,8,8,1,1,2019-11-12T02:13:52.179970Z,24.476527395326453,inf
1395,-999.0,-999.0,4,4,1396,5.8,0.04999999999999982,0.1499999999999999,32.149,-115.785,2.98,7,7,2,2,1997-08-16T01:14:27.979950Z,0.5509056595467022,1.1336508035152668
1396,-999.0,-999.0,0,0,1397,4.2,-999.0,0.03000000000000025,33.875,-117.831,2.64,0,0,1,1,1997-07-29T20:17:29.630027Z,-999.0,inf
1397,-999.0,-999.0,0,0,1398,5.8,0.010000000000000231,-999.0,32.183,-115.835,2.62,1,1,0,0,1985-04-18T06:08:44.829974Z,inf,-999.0
1398,-999.0,-999.0,0,0,1399,14.6,-999.0,0.14000000000000012,34.008,-118.368,2.75,0,0,1,1,2003-01-11T07:54:32.930001Z,-999.0,inf
1399,-999.0,-999.0,0,0,1400,10.3,0.2200000000000002,0.6300000000000003,33.192,-115.60799999999999,4.07,14,14,5,5,1997-12-31T12:22:45.050019Z,1.1185019323867929,0.20886233137758156
1400,-999.0,-999.0,4,4,1401,-1.0,0.6299999999999999,0.08000000000000007,34.941,-116.885,3.44,1,1,6,6,1995-06-19T10:40:39.100014Z,inf,0.3489041995353864
