,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
28,1333,15,1590,18.0,-15.49,-172.1,8.1,28,25,3,245,3,3,3,0,93,0,2009-09-29T17:48:11.519997Z,2009-09-29T17:48:11.519997Z,2009-09-29T17:48:09.999998,1,1,1,0,1
29,1188,49,486,33.0,54.84,162.04,7.8,20,20,20,60,25,0,2,2,0,2,1997-12-05T11:26:52.800006Z,1997-12-05T11:26:52.800006Z,1997-12-05T11:26:51.000001,1,1,1,1,1
30,1000,13,2389,47.0,15.02,-93.9,8.2,21,20,20,59,33,1,3,0,4,0,2017-09-08T04:49:17.760005Z,2017-09-08T04:49:17.760005Z,2017-09-08T04:49:16.000002,1,1,1,1,1
31,1054,91,903,24.0,18.77,-104.1,7.5,3,3,3,12,6,0,1,0,0,0,2003-01-22T02:06:34.560004Z,2003-01-22T02:06:34.560004Z,2003-01-22T02:06:33.000002,1,1,1,1,1
32,981,71,1905,35.0,10.1,-85.31,7.6,6,4,4,40,8,3,0,0,3,0,2012-09-05T14:42:08.639999Z,2012-09-05T14:42:08.639999Z,2012-09-05T14:42:07.000002,2,1,1,5,1
33,962,70,1902,28.0,10.81,126.64,7.6,18,18,18,58,25,0,1,0,6,0,2012-08-31T12:47:31.199995Z,2012-08-31T12:47:31.199995Z,2012-08-31T12:47:30.000002,1,1,1,1,1
34,1180,124,854,60.0,16.06,-96.93,7.4,0,0,0,8,3,0,0,0,0,0,1999-09-30T16:31:17.759999Z,1999-09-30T16:31:17.759999Z,1999-09-30T16:31:15.999997,-1,-1,-1,1,1
35,1177,63,743,60.0,13.05,-88.66,7.7,12,12,12,51,26,0,0,0,0,0,2001-01-13T17:33:30.240005Z,2001-01-13T17:33:30.240005Z,2001-01-13T17:33:28.999996,1,1,1,1,1
36,509,114,1058,10.0,33.18,137.07,7.4,6,6,6,7,7,1,1,1,1,1,2004-09-05T14:57:15.839997Z,2004-09-05T14:57:15.839997Z,2004-09-05T14:57:13.999999,2,2,2,2,2
37,1172,85,616,33.0,23.77,120.98,7.6,13,13,13,62,28,0,1,0,0,0,1999-09-20T17:47:19.680004Z,1999-09-20T17:47:19.680004Z,1999-09-20T17:47:17.999997,1,1,1,1,1
38,1375,101,25,33.0,1.17,122.76,7.5,4,4,4,23,17,1,2,1,1,1,1991-06-20T05:18:48.960003Z,1991-06-20T05:18:48.960003Z,1991-06-20T05:18:47.000003,1,1,1,1,1
