,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
32,-999.0,-999.0,1,1,252,8.72,1.7399999999999998,-999.0,9.8756,-83.9315,4.43,4,4,4,4,0,0,0,0,2014-07-26T05:49:50.000019Z,0.0949020361645272,-999.0
33,-999.0,-999.0,1,1,255,37.29,1.6799999999999997,-999.0,9.5641,-84.1768,5.47,7,13,1,1,0,0,0,0,2018-03-23T07:37:12.999995Z,0.13312407965460593,-999.0
34,-999.0,-999.0,1,1,273,11.58,0.9899999999999998,-999.0,10.1538,-83.9873,4.68,3,4,3,2,0,0,0,0,2015-10-31T15:10:13.999949Z,915.9010473872045,-999.0
35,-999.0,-999.0,1,1,275,25.05,1.0499999999999994,-999.0,9.639,-84.8783,4.77,4,6,2,2,0,0,0,0,2020-12-08T03:33:27.000027Z,0.10460365023239375,-999.0
36,-999.0,-999.0,1,1,276,18.71,0.6499999999999995,-999.0,8.6755,-82.8594,5.39,4,7,2,2,0,0,0,0,2016-01-31T11:38:35.000019Z,0.29905222250704305,-999.0
37,-999.0,-999.0,1,1,277,22.18,0.6600000000000001,-999.0,8.4706,-83.1165,5.13,10,11,4,4,0,0,0,0,2015-07-10T11:46:05.999987Z,0.6968191496188297,-999.0
38,-999.0,-999.0,-1,-1,278,48.03,1.98,-999.0,8.724,-83.0893,4.5,2,2,1,1,0,0,0,0,2014-11-17T19:28:56.999970Z,9.941318630791155,-999.0
39,-999.0,-999.0,5,5,293,4.52,1.4,0.41999999999999993,9.343,-83.2595,4.54,6,6,5,5,6,6,5,5,2019-05-03T21:30:39.999967Z,0.19441725453358868,0.2614120689340177
40,-999.0,-999.0,1,1,299,31.6,1.1999999999999997,-999.0,9.4688,-83.7837,4.55,4,4,3,3,0,0,0,0,2016-01-18T00:46:21.000003Z,0.18372932247957577,-999.0
41,-999.0,-999.0,1,-1,302,18.73,2.58,-999.0,8.1889,-82.7173,5.04,1,3,2,0,0,0,0,0,2014-04-19T13:36:03.999997Z,inf,-999.0
42,-999.0,-999.0,-1,-1,305,8.87,1.4099999999999997,-999.0,10.1621,-84.1545,4.43,2,2,2,2,0,0,0,0,2015-03-31T09:09:23.000034Z,53.0875576510777,-999.0
43,-999.0,-999.0,1,1,307,27.11,1.0899999999999999,-999.0,8.9081,-82.9123,4.88,4,4,1,1,0,0,0,0,2015-02-18T16:59:34.999958Z,0.07898350785087051,-999.0
44,-999.0,-999.0,1,1,325,13.13,1.4900000000000002,0.7800000000000002,9.799,-84.0963,4.45,5,5,5,5,1,1,1,1,2018-07-27T17:50:45.999997Z,0.12759366615664058,inf
45,-999.0,-999.0,1,1,329,22.64,2.0400000000000005,-999.0,9.652000000000001,-84.1985,4.86,5,8,0,0,0,0,0,0,2014-08-07T08:50:03.000019Z,0.09301828842979439,-999.0
46,-999.0,-999.0,1,1,335,21.25,2.2900000000000005,2.66,9.908999999999999,-85.6577,5.9,6,16,0,0,1,1,0,0,2017-09-01T07:42:40.999966Z,0.5560758039076248,inf
47,-999.0,-999.0,1,1,336,17.56,1.65,0.6600000000000001,9.5214,-84.8718,5.05,2,4,2,1,1,1,1,1,2017-09-02T10:38:15.000031Z,69.84640063531273,inf
48,-999.0,-999.0,1,1,338,58.9,1.9100000000000001,-999.0,9.6023,-84.0221,4.92,4,5,2,2,0,0,0,0,2015-04-18T23:33:03.999964Z,0.14458411984147185,-999.0
49,-999.0,-999.0,-1,-1,342,15.94,2.3400000000000003,-999.0,9.307,-84.6356,4.78,1,1,0,0,0,0,0,0,2018-07-25T09:43:42.999965Z,inf,-999.0
50,-999.0,-999.0,1,1,343,18.0,2.7900000000000005,-999.0,9.8168,-82.8831,5.36,3,4,0,0,0,0,0,0,2019-09-18T04:58:51.999970Z,0.1903110248910118,-999.0
51,-999.0,-999.0,1,1,345,17.53,0.4800000000000004,2.13,9.4201,-84.667,4.62,4,6,5,4,1,1,0,0,2017-11-22T13:26:11.999990Z,0.08067515016276687,inf
52,-999.0,-999.0,1,1,351,2.74,1.1400000000000001,-999.0,9.9539,-83.7872,4.91,27,27,8,8,0,0,0,0,2016-12-01T00:25:19.000049Z,4.755527016448656,-999.0
53,-999.0,-999.0,1,1,353,27.6,1.1300000000000003,-999.0,9.4744,-83.791,4.82,6,6,3,3,0,0,0,0,2018-04-27T15:33:41.000032Z,0.14762102061657598,-999.0
54,-999.0,-999.0,1,-1,355,13.38,1.4300000000000002,-999.0,8.9855,-83.9944,5.0,2,6,1,1,0,0,0,0,2014-10-14T03:31:08.999971Z,0.075466688093148,-999.0
55,-999.0,-999.0,1,1,357,16.0,1.2699999999999996,-999.0,8.9772,-84.1204,4.51,3,3,2,2,0,0,0,0,2015-12-04T02:56:24.999999Z,0.20529359678219694,-999.0
56,-999.0,-999.0,2,2,359,13.33,0.34999999999999964,-999.0,10.7792,-85.0617,5.25,5,5,4,4,0,0,0,0,2016-07-03T01:58:29.000034Z,0.2898015999527787,-999.0
57,-999.0,-999.0,2,2,362,22.6,0.8599999999999994,0.09999999999999964,8.4678,-83.319,5.22,26,28,11,11,7,7,2,2,2018-03-03T01:02:50.999964Z,0.4404312948581808,1.6336232509317594
58,-999.0,-999.0,1,-1,364,38.34,2.0500000000000003,-999.0,9.4926,-84.4803,4.99,2,4,0,0,0,0,0,0,2018-03-12T21:42:20.999987Z,0.21154149849723866,-999.0
