,Cid_G,Cid_M,Cid_Z,Cid_Zb,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_Zb,N_AS_allG,N_AS_allZ,N_AS_allZb,N_FS_G,N_FS_M,N_FS_Z,N_FS_Zb,N_FS_allG,N_FS_allZ,N_FS_allZb,T0G,T0M,T0Z,T0Zb,c_typeG,c_typeM,c_typeZ,c_typeZb,c_typeallG,c_typeallZ,c_typeallZb
225,6775,329,6387,10157,25.0,25.93,128.425,7.0,9,10,10,10,9,25,10,0,0,0,0,3,0,5,2010-02-26T20:31:26.970014Z,2010-02-26T20:31:26.970014Z,2010-02-26T20:31:25.000001,2010-02-26T20:31:25.000001,1,1,1,1,1,1,1
226,6785,3,6388,10407,22.0,-36.122,-72.898,8.8,430,539,529,477,564,826,515,3,9,0,5,7,0,57,2010-02-27T06:34:11.529981Z,2010-02-27T06:34:11.529981Z,2010-02-27T06:34:10.000000,2010-02-27T06:34:10.000000,1,1,1,1,1,1,1
227,6737,208,1840,2861,23.0,-9.094,158.442,7.2,9,10,10,8,9,15,8,1,1,0,1,1,0,1,1991-10-14T15:58:12.789987Z,1991-10-14T15:58:12.789987Z,1991-10-14T15:58:11.000000,1991-10-14T15:58:11.000000,1,1,1,1,1,1,1
228,4774,286,6896,11390,18.0,38.721,43.508,7.1,27,28,30,27,27,31,27,0,0,0,0,0,0,0,2011-10-23T10:41:23.249986Z,2011-10-23T10:41:23.249986Z,2011-10-23T10:41:21.999998,2011-10-23T10:41:21.999998,1,1,1,1,1,1,1
229,4499,101,616,661,62.0,-24.388,-70.161,7.6,13,14,21,18,32,85,24,1,1,0,4,1,0,19,1987-03-05T09:17:05.280035Z,1987-03-05T09:17:05.280035Z,1987-03-05T09:17:03.999997,1987-03-05T09:17:03.999997,1,1,1,1,0,0,1
230,4572,122,8795,9399,20.0,-0.256,119.846,7.5,17,32,33,26,17,33,26,4,5,4,5,6,4,7,2018-09-28T10:02:45.249965Z,2018-09-28T10:02:45.249965Z,2018-09-28T10:02:43.999997,2018-09-28T10:02:43.999997,1,1,1,1,1,1,1
231,7364,88,7598,12500,22.0,-11.27,162.148,7.6,59,65,65,44,67,72,44,0,2,0,1,1,0,6,2014-04-12T20:14:39.300032Z,2014-04-12T20:14:39.300032Z,2014-04-12T20:14:38.000002,2014-04-12T20:14:38.000002,2,2,2,2,2,2,2
232,7264,116,7597,12525,43.0,-6.755,155.024,7.5,82,85,86,56,154,104,56,37,41,36,32,72,36,61,2014-04-19T13:28:00.809981Z,2014-04-19T13:28:00.809981Z,2014-04-19T13:27:59.999998,2014-04-19T13:27:59.999998,2,2,2,2,0,2,0
233,6420,314,6042,9378,25.0,-27.424,-176.33,7.0,9,9,9,2,9,9,2,6,10,6,10,7,6,11,2009-02-18T21:53:45.160016Z,2009-02-18T21:53:45.160016Z,2009-02-18T21:53:44.000000,2009-02-18T21:53:44.000000,1,1,1,1,1,1,1
234,7174,264,2627,4142,21.0,-37.759,178.752,7.1,22,25,25,24,22,29,24,0,0,0,0,0,0,0,1995-02-05T22:51:05.140000Z,1995-02-05T22:51:05.140000Z,1995-02-05T22:51:03.999998,1995-02-05T22:51:03.999998,1,1,1,1,1,1,1
235,7137,246,5751,9213,16.0,-55.663999999999994,158.453,7.1,8,8,8,6,8,9,6,0,0,0,0,0,0,0,2008-04-12T00:30:12.600036Z,2008-04-12T00:30:12.600036Z,2008-04-12T00:30:10.999999,2008-04-12T00:30:10.999999,1,1,1,1,1,1,1
236,4990,371,7437,12245,29.0,51.537,-175.23,7.0,40,40,42,41,42,48,41,0,0,0,1,3,0,7,2013-08-30T16:25:02.299985Z,2013-08-30T16:25:02.299985Z,2013-08-30T16:25:01.000003,2013-08-30T16:25:01.000003,1,1,1,1,1,1,1
237,6746,2,6674,11044,29.0,38.297,142.373,9.1,1115,1172,1166,332,1578,1988,410,49,110,46,45,73,46,284,2011-03-11T05:46:24.119965Z,2011-03-11T05:46:24.119965Z,2011-03-11T05:46:23.000002,2011-03-11T05:46:23.000002,1,1,1,1,1,1,1
238,6725,187,1868,1677,21.0,4.553999999999999,-77.442,7.2,4,4,5,1,4,5,7,0,0,0,2,0,0,4,1991-11-19T22:28:51.090034Z,1991-11-19T22:28:51.090034Z,1991-11-19T22:28:50.000001,1991-11-19T22:28:50.000001,1,1,1,1,1,1,2
239,5146,211,4931,7753,16.0,7.92,92.19,7.2,11,15,16,2,13,22,2,2,3,0,0,8,0,0,2005-07-24T15:42:06.210035Z,2005-07-24T15:42:06.210035Z,2005-07-24T15:42:04.999997,2005-07-23T08:51:42.000000,1,1,1,0,1,1,0
240,5443,92,5117,8121,22.0,60.949,167.08900000000003,7.6,24,50,50,50,25,60,50,0,0,0,0,0,0,0,2006-04-20T23:25:02.150033Z,2006-04-20T23:25:02.150033Z,2006-04-20T23:25:00.999997,2006-04-20T23:25:00.999997,1,1,1,1,1,1,1
241,7005,334,8223,13437,19.0,-37.359,179.146,7.0,51,53,55,40,56,61,41,1,1,1,1,1,1,1,2016-09-01T16:37:57.300036Z,2016-09-01T16:37:57.300036Z,2016-09-01T16:37:56.000003,2016-09-01T16:37:56.000003,1,1,1,1,1,1,1
242,6279,72,8228,8476,10.0,54.443000000000005,168.857,7.7,8,19,21,13,8,23,13,2,5,3,5,6,7,20,2017-07-17T23:34:13.739980Z,2017-07-17T23:34:13.739980Z,2017-07-17T23:34:12.000000,2017-07-17T23:34:12.000000,1,1,1,1,1,1,1
243,7288,233,7603,1684,24.0,17.397000000000002,-100.97200000000001,7.2,3,5,5,4,4,9,4,0,0,0,0,1,0,6,2014-04-18T14:27:24.919979Z,2014-04-18T14:27:24.919979Z,2014-04-18T14:27:23.000001,2014-04-18T14:27:23.000001,1,1,1,1,1,1,1
244,296,175,7410,5394,11.0,-60.857,-25.07,7.3,0,2,8,0,1,13,0,0,0,0,3,0,0,20,2013-07-15T14:03:39.880022Z,2013-07-15T14:03:39.880022Z,2013-07-15T14:03:38.000001,2013-07-15T14:03:38.000001,0,0,1,1,0,1,1
245,6432,363,2347,148,34.0,51.934,158.64700000000002,7.0,7,8,11,3,8,15,3,0,1,0,6,1,0,16,1993-11-13T01:18:04.179974Z,1993-11-13T01:18:04.179974Z,1993-11-13T01:18:03.000000,1993-11-13T01:18:03.000000,1,1,1,1,1,1,1
246,3218,155,2346,1192,23.0,16.779,-98.59700000000001,7.4,2,5,5,3,3,33,3,1,1,1,1,5,3,10,1995-09-14T14:04:31.429983Z,1995-09-14T14:04:31.429983Z,1995-09-14T14:04:30.000002,1995-09-14T14:04:30.000002,1,1,1,1,1,0,1
247,5935,35,3702,5683,33.0,-4.721,102.087,7.9,100,109,111,1,136,231,1,0,1,1,0,4,1,0,2000-06-04T16:28:26.170032Z,2000-06-04T16:28:26.170032Z,2000-06-04T16:28:25.000003,2000-06-04T11:33:08.999999,1,1,1,0,1,1,0
248,7442,313,5924,9453,36.0,-29.756,-177.683,7.0,19,19,23,11,37,35,15,0,0,0,1,28,0,7,2008-09-29T15:19:31.589964Z,2008-09-29T15:19:31.589964Z,2008-09-29T15:19:29.999997,2008-09-29T15:19:29.999997,1,1,1,1,1,1,1
249,6250,219,6838,5188,32.0,-18.365,168.143,7.2,35,55,51,16,44,58,16,1,6,1,2,11,1,13,2011-08-20T16:55:02.809984Z,2011-08-20T16:55:02.809984Z,2011-08-20T16:55:01.000002,2011-08-20T16:55:01.000002,2,2,2,2,2,2,2
250,5246,337,8807,14267,39.0,-5.7010000000000005,151.205,7.0,14,15,20,8,20,27,8,3,4,1,11,35,1,50,2018-10-10T20:48:20.100035Z,2018-10-10T20:48:20.100035Z,2018-10-10T20:48:18.999997,2018-10-10T20:48:18.999997,1,1,1,1,0,1,4
251,6999,229,8209,11735,16.0,-22.476999999999997,173.11700000000002,7.2,16,24,23,12,19,26,12,0,0,0,0,5,0,4,2016-08-12T01:26:36.280033Z,2016-08-12T01:26:36.280033Z,2016-08-12T01:26:34.999998,2016-08-12T01:26:34.999998,1,1,1,1,1,1,1
252,357,179,3080,4874,10.0,33.825,59.809,7.3,2,6,6,2,2,6,2,0,0,0,0,0,0,0,1997-05-10T07:57:29.719949Z,1997-05-10T07:57:29.719949Z,1997-05-10T07:57:27.999997,1997-05-10T07:57:27.999997,0,1,1,0,0,1,0
253,2520,282,3572,5504,13.0,34.603,-116.265,7.1,5,6,8,1,5,8,1,0,0,0,0,0,0,0,1999-10-16T09:46:44.460015Z,1999-10-16T09:46:44.460015Z,1999-10-16T09:46:43.000000,1999-10-16T08:14:20.000000,1,1,1,0,1,1,0
254,7467,202,2662,4514,20.0,12.059000000000001,125.58,7.2,87,91,91,66,118,129,79,6,9,6,9,14,6,27,1995-04-21T00:34:46.089982Z,1995-04-21T00:34:46.089982Z,1995-04-21T00:34:44.999999,1995-04-21T00:34:44.999999,4,4,4,4,4,4,4
255,6853,290,5320,8474,10.0,21.799,120.54700000000001,7.1,6,7,11,6,7,14,6,0,1,0,2,0,0,4,2006-12-26T12:26:21.139955Z,2006-12-26T12:26:21.139955Z,2006-12-26T12:26:19.999998,2006-12-26T12:26:19.999998,2,2,2,2,2,2,2
256,7423,203,2400,3727,35.0,-29.211,-177.58900000000003,7.2,5,8,9,4,5,10,4,1,2,0,2,2,2,3,1995-07-03T19:50:50.620042Z,1995-07-03T19:50:50.620042Z,1995-07-03T19:50:48.999999,1995-07-03T19:50:48.999999,1,1,1,1,1,1,1
257,6596,178,6639,10649,16.0,-19.702,167.947,7.3,125,130,103,74,204,111,74,4,4,0,2,13,0,5,2010-12-25T13:16:37.000050Z,2010-12-25T13:16:37.000050Z,2010-12-25T13:16:35.999998,2010-12-25T13:16:35.999998,2,2,1,1,0,1,1
258,4818,149,6634,10674,14.0,26.901,143.69799999999998,7.4,182,141,186,165,195,212,165,0,0,0,0,0,0,2,2010-12-21T17:19:40.660035Z,2010-12-21T17:19:40.660035Z,2010-12-21T17:19:38.999998,2010-12-21T17:19:38.999998,1,1,1,1,1,1,1
259,1907,324,1741,2367,28.0,54.567,-161.606,7.0,4,6,6,5,4,10,5,0,0,0,1,1,0,2,1991-05-30T13:17:41.969986Z,1991-05-30T13:17:41.969986Z,1991-05-30T13:17:40.000003,1991-05-30T13:17:40.000003,1,1,1,1,1,1,1
260,7432,66,5631,6624,40.0,-22.247,-69.89,7.7,54,55,64,61,56,90,61,0,1,0,6,2,0,19,2007-11-14T15:40:50.530019Z,2007-11-14T15:40:50.530019Z,2007-11-14T15:40:49.000003,2007-11-14T15:40:49.000003,1,1,1,1,1,1,1
261,7195,13,8487,13824,47.0,15.022,-93.899,8.2,67,82,84,78,74,108,78,0,4,0,5,2,0,114,2017-09-08T04:49:19.179983Z,2017-09-08T04:49:19.179983Z,2017-09-08T04:49:18.000000,2017-09-08T04:49:18.000000,1,1,1,1,1,1,1
