,Cid_G,Cid_M,Cid_Z,Cid_Zb,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_Zb,N_AS_allG,N_AS_allZ,N_AS_allZb,N_FS_G,N_FS_M,N_FS_Z,N_FS_Zb,N_FS_allG,N_FS_allZ,N_FS_allZb,T0G,T0M,T0Z,T0Zb,c_typeG,c_typeM,c_typeZ,c_typeZb,c_typeallG,c_typeallZ,c_typeallZb
154,6010,19,4771,7293,10.0,-49.312,161.345,8.1,9,16,16,12,9,26,12,0,0,0,0,0,0,0,2004-12-23T14:59:04.409988Z,2004-12-23T14:59:04.409988Z,2004-12-23T14:59:02.999997,2004-12-23T14:59:02.999997,1,1,1,1,1,1,1
155,4384,164,143,1,33.0,-4.439,152.828,7.3,17,23,20,10,21,31,13,1,5,0,6,1,0,7,1985-07-03T04:36:51.730044Z,1985-07-03T04:36:51.730044Z,1985-07-03T04:36:50.000003,1985-07-03T04:36:50.000003,1,1,1,1,1,1,1
156,7437,22,2716,4304,45.0,-23.34,-70.294,8.0,22,43,46,42,29,79,42,0,1,0,3,3,0,39,1995-07-30T05:11:23.630031Z,1995-07-30T05:11:23.630031Z,1995-07-30T05:11:21.999998,1995-07-30T05:11:21.999998,1,1,1,1,1,1,1
157,4820,141,7229,11883,24.0,13.988,-91.895,7.4,22,24,29,20,24,65,20,0,3,0,4,4,0,50,2012-11-07T16:35:46.930043Z,2012-11-07T16:35:46.930043Z,2012-11-07T16:35:44.999999,2012-11-07T16:35:44.999999,1,1,1,1,1,1,1
158,4246,176,8873,14356,16.0,55.1,164.699,7.3,22,24,24,22,22,24,22,0,0,0,2,3,0,8,2018-12-20T17:01:55.150002Z,2018-12-20T17:01:55.150002Z,2018-12-20T17:01:54.000000,2018-12-20T17:01:54.000000,1,1,1,1,1,1,1
159,5001,5,6976,11640,20.0,2.327,93.06299999999999,8.6,14,151,134,42,14,178,42,1,15,1,4,9,13,120,2012-04-11T08:38:36.719986Z,2012-04-11T08:38:36.719986Z,2012-04-11T08:38:34.999997,2012-04-11T08:38:34.999997,1,2,2,2,1,2,2
160,5707,87,4187,6510,10.0,-1.757,134.297,7.6,27,35,36,30,28,44,31,10,16,11,13,11,11,23,2002-10-10T10:50:20.570034Z,2002-10-10T10:50:20.570034Z,2002-10-10T10:50:18.999999,2002-10-10T10:50:18.999999,1,1,1,1,1,1,1
161,470,356,2526,3640,4.0,40.406,-126.303,7.0,0,0,1,0,0,7,1,0,0,0,0,1,1,1,1994-09-01T15:15:48.309984Z,1994-09-01T15:15:48.309984Z,1994-09-01T15:15:46.999998,1994-09-01T15:15:46.999998,0,0,0,0,0,2,0
162,4386,37,787,1361,10.0,58.678999999999995,-142.786,7.9,11,13,13,13,13,28,23,5,6,6,6,5,6,6,1987-11-30T19:23:19.590001Z,1987-11-30T19:23:19.590001Z,1987-11-30T19:23:17.999998,1987-11-30T19:23:17.999998,1,1,1,1,1,2,2
163,3990,214,1375,2054,9.0,40.335,-124.229,7.2,3,3,3,2,3,7,2,1,1,1,1,3,4,4,1992-04-25T18:06:05.179965Z,1992-04-25T18:06:05.179965Z,1992-04-25T18:06:04.000001,1992-04-25T18:06:04.000001,1,1,1,1,1,1,1
164,4741,84,7484,12325,10.0,-60.273999999999994,-46.401,7.7,8,35,49,34,9,53,34,13,14,14,14,13,14,17,2013-11-17T09:04:55.529980Z,2013-11-17T09:04:55.529980Z,2013-11-17T09:04:53.999998,2013-11-17T09:04:53.999998,1,1,1,1,1,1,1
165,6536,354,1727,2729,17.0,42.453,43.673,7.0,14,14,14,14,15,17,15,0,0,0,0,0,0,0,1991-04-29T09:12:48.099968Z,1991-04-29T09:12:48.099968Z,1991-04-29T09:12:46.999999,1991-04-29T09:12:46.999999,1,1,1,1,1,1,1
166,7332,182,4796,9229,33.0,-20.070999999999998,168.892,7.3,41,46,45,37,45,48,37,10,10,5,9,65,7,14,2008-04-09T12:46:12.720034Z,2008-04-09T12:46:12.720034Z,2008-04-09T12:46:10.999997,2008-04-09T12:46:10.999997,1,1,1,1,0,1,1
167,7309,10,7975,12873,22.0,-31.573,-71.67399999999999,8.3,129,159,158,155,183,273,155,1,10,1,7,4,1,201,2015-09-16T22:54:32.860016Z,2015-09-16T22:54:32.860016Z,2015-09-16T22:54:30.999998,2015-09-16T22:54:30.999998,1,1,1,1,1,1,1
168,2939,257,1598,2544,24.0,53.452,169.87099999999998,7.1,2,2,2,2,3,4,2,0,0,0,0,0,0,0,1990-11-06T20:14:29.739955Z,1990-11-06T20:14:29.739955Z,1990-11-06T20:14:28.000001,1990-11-06T20:14:28.000001,0,0,0,0,1,1,0
169,615,162,7741,3606,40.0,12.526,-88.12299999999999,7.3,0,1,2,0,1,18,0,0,3,0,6,0,0,32,2014-10-14T03:51:34.459981Z,2014-10-14T03:51:34.459981Z,2014-10-14T03:51:32.999999,2014-10-14T03:51:32.999999,0,1,0,1,0,1,1
170,2797,271,901,1516,33.0,-17.192,-72.305,7.1,10,12,13,0,10,17,0,0,0,0,1,0,0,1,1988-04-12T23:19:55.570002Z,1988-04-12T23:19:55.570002Z,1988-04-12T23:19:53.999998,1988-04-12T20:26:18.000001,1,1,1,0,1,1,0
