,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
30,853,50,182,9.0,34.949,-118.74,5.4,3,3,3,3,9,0,0,0,0,0,1988-06-10T23:06:42.510011Z,1988-06-10T23:06:42.510011Z,1988-06-10T23:06:40.999997,1,1,1,1,1
31,601,57,183,9.0,37.393,-121.742,5.3,3,2,3,3,9,2,2,0,3,0,1988-06-13T01:45:36.530034Z,1988-06-13T01:45:36.530034Z,1988-06-13T01:45:34.999999,1,1,1,1,1
32,1567,11,77,8.0,37.538000000000004,-118.443,6.4,382,385,426,423,513,68,69,66,133,66,1986-07-21T14:42:26.000004Z,1986-07-21T14:42:26.000004Z,1986-07-21T14:42:25.000002,1,1,1,1,1
33,1224,93,1045,8.0,35.385999999999996,-118.62899999999999,5.0,3,3,3,3,4,0,0,0,0,0,2004-09-29T22:54:53.929958Z,2004-09-29T22:54:53.929958Z,2004-09-29T22:54:51.999998,1,1,1,1,1
34,1466,8,1010,8.0,35.7,-121.1,6.5,366,366,408,399,511,0,0,0,0,0,2003-12-22T19:15:56.239982Z,2003-12-22T19:15:56.239982Z,2003-12-22T19:15:54.999999,1,1,1,1,1
35,16,34,1321,27.0,41.143,-123.79,5.6,1,1,2,1,2,0,0,0,0,0,2012-02-13T21:07:02.769966Z,2012-02-13T21:07:02.769966Z,2012-02-13T21:07:01.000004,0,0,0,0,0
36,1496,21,301,10.0,38.062,-119.119,5.8,15,14,17,15,23,0,0,0,0,0,1990-10-24T06:15:19.949969Z,1990-10-24T06:15:19.949969Z,1990-10-24T06:15:17.999997,1,1,1,1,1
37,1448,5,1403,16.0,40.829,-125.134,6.8,54,64,76,54,77,1,5,1,4,1,2014-03-10T05:18:13.429981Z,2014-03-10T05:18:13.429981Z,2014-03-10T05:18:12.000001,1,1,1,1,1
38,1393,56,691,7.0,37.879,-118.166,5.3,30,22,32,30,34,3,3,3,3,3,1997-11-02T08:51:52.780032Z,1997-11-02T08:51:52.780032Z,1997-11-02T08:51:50.999999,1,1,1,1,1
39,728,113,694,1.0,37.256,-117.831,4.9,3,1,4,3,4,2,2,2,2,2,1997-11-15T06:00:19.509983Z,1997-11-15T06:00:19.509983Z,1997-11-15T06:00:17.999998,1,1,1,1,1
40,1241,32,32,15.0,36.143,-120.156,5.6,44,22,51,44,54,6,4,3,13,3,1985-08-04T12:01:55.870001Z,1985-08-04T12:01:55.870001Z,1985-08-04T12:01:54.000002,1,1,1,1,1
41,1555,17,517,-1.0,38.808,-119.69200000000001,5.9,279,261,309,299,349,0,0,0,3,0,1994-09-12T12:23:43.030030Z,1994-09-12T12:23:43.030030Z,1994-09-12T12:23:42.000002,1,1,1,1,1
42,1116,79,735,24.0,40.626,-122.414,5.1,15,15,15,15,22,1,1,1,3,3,1998-11-26T19:49:53.600013Z,1998-11-26T19:49:53.600013Z,1998-11-26T19:49:52.000002,1,1,1,1,1
43,839,60,1359,11.0,38.052,-118.046,5.3,18,17,19,18,19,0,0,0,0,0,2013-02-13T00:10:13.959957Z,2013-02-13T00:10:13.959957Z,2013-02-13T00:10:11.999998,1,1,1,1,1
44,1362,58,113,15.0,36.172,-120.34100000000001,5.3,0,1,3,0,3,1,1,1,2,1,1987-02-14T07:26:50.289965Z,1987-02-14T07:26:50.289965Z,1987-02-14T07:26:49.000000,0,0,1,0,1
