,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,nf,nf_all,ot0,rate_a,rate_f
1171,-999.0,-999,0,0,1172,22.0,-999.0,-999.0,-14.9365,-75.7131,5.6,0,1,0,0,2020-10-28T09:02:33.507998Z,-999.0,-999.0
1172,-999.0,-999,0,0,1173,13.04,0.09999999999999964,-999.0,34.0702,141.6992,5.6,1,1,0,0,2018-12-24T00:18:07.020004Z,inf,-999.0
1173,-999.0,-999,0,0,1174,45.1,0.2999999999999998,-999.0,5.381,127.53399999999999,6.1,2,2,0,0,1987-06-05T21:25:11.230005Z,56.7664774678654,-999.0
1174,-999.0,-999,1,1,1175,11.4,1.2999999999999998,-999.0,15.125,147.596,7.6,4,4,0,0,1990-04-05T21:12:35.550036Z,5.460684408712678,-999.0
1175,-999.0,-999,4,0,1176,28.0,0.39999999999999947,-999.0,-2.7756,138.5675,6.1,4,6,0,1,2019-06-24T01:05:29.463971Z,7.499180758571433,-999.0
1176,-999.0,-999,1,1,1177,44.0,1.1999999999999993,-999.0,2.305,126.76,7.1,10,11,0,7,1989-02-10T11:15:24.679981Z,1.328707381201077,-999.0
1177,-999.0,-999,1,1,1178,25.21,0.7999999999999998,-999.0,-6.0699,142.7536,7.5,7,7,0,0,2018-02-25T17:44:44.140051Z,0.18359682686104037,-999.0
1178,-999.0,-999,0,0,1179,10.0,-999.0,0.09999999999999964,38.376999999999995,25.165,5.6,0,0,1,1,1986-03-29T18:36:37.850028Z,-999.0,inf
1179,-999.0,-999,0,0,1180,10.0,0.09999999999999964,-999.0,-37.1225,-17.2548,5.6,1,1,0,0,2021-01-15T10:45:21.875990Z,inf,-999.0
1180,-999.0,-999,0,0,1181,36.3,-999.0,0.0,15.536,147.463,5.5,0,0,1,1,1990-04-06T06:17:43.030002Z,-999.0,inf
1181,-999.0,-999,2,0,1182,33.0,-999.0,0.09999999999999964,37.034,72.942,6.3,0,0,2,3,1990-03-25T14:17:18.819997Z,-999.0,684.8991497857143
1182,-999.0,-999,0,0,1183,33.0,-999.0,0.5,-11.343,165.687,6.0,0,0,1,1,1985-04-12T06:12:45.089966Z,-999.0,inf
1183,-999.0,-999,2,2,1184,21.0,1.1000000000000005,0.0,-8.318999999999999,116.6272,6.9,3,5,5,5,2018-08-19T14:56:27.489948Z,173.26898545321495,0.23558103635936162
1184,-999.0,-999,0,0,1185,29.0,-999.0,0.0,52.4708,-169.1409,5.5,0,0,1,1,2017-08-09T05:48:27.009965Z,-999.0,inf
1185,-999.0,-999,0,0,1186,14.8,-999.0,0.09999999999999964,15.187999999999999,96.20100000000001,5.6,0,0,1,1,1986-06-29T12:31:16.150003Z,-999.0,inf
1186,-999.0,-999,0,0,1187,10.0,-999.0,0.20000000000000018,-42.713,-16.0205,5.7,0,0,1,1,2018-11-09T07:54:52.559999Z,-999.0,inf
