,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,nf,nf_all,ot0,rate_a,rate_f
1359,-999.0,-999.0,0,0,1360,64.41,-999.0,-999.0,41.4811666666667,141.976333333333,4.9,0,0,0,2,2005-09-03T01:24:43.150029Z,-999.0,-999.0
1360,-999.0,-999.0,4,4,1361,4.38,-999.0,0.0,35.5316666666667,141.068333333333,4.7,0,0,4,4,1993-07-02T16:24:20.500011Z,-999.0,0.08343881486848888
1361,-999.0,-999.0,0,0,1362,45.6,-999.0,0.6000000000000001,37.115,141.650333333333,3.6,0,0,1,1,2008-04-19T06:36:30.849986Z,-999.0,inf
1362,-999.0,-999.0,0,0,1363,7.91,-999.0,0.3000000000000007,35.981666666666705,140.08,4.4,0,0,2,2,1991-02-11T17:07:46.599967Z,-999.0,0.2878838868084621
1363,-999.0,-999.0,2,2,1364,35.58,0.20000000000000018,1.5,35.5821666666667,141.114666666667,4.7,1,1,2,3,1998-02-26T02:32:20.109979Z,inf,0.5138748744373338
1364,-999.0,-999.0,1,1,1365,36.88,1.9000000000000004,2.2,40.1783333333333,142.462666666667,5.2,2,2,2,4,1997-12-23T01:31:59.919999Z,0.13490162720954185,0.2179304716981336
1365,-999.0,-999.0,0,0,1366,46.07,-999.0,-999.0,38.3043333333333,141.88466666666702,4.8,0,0,0,2,2008-06-02T00:58:28.930022Z,-999.0,-999.0
1366,-999.0,-999.0,0,0,1367,55.22,-999.0,0.2999999999999998,40.899333333333296,142.059833333333,3.3,0,0,1,1,1996-11-03T16:05:40.249972Z,-999.0,inf
1367,-999.0,-999.0,0,0,1368,0.15,-999.0,0.20000000000000018,37.268333333333295,142.191666666667,3.2,0,0,1,1,1990-11-10T06:45:45.199986Z,-999.0,inf
1368,-999.0,-999.0,4,4,1369,35.97,0.3999999999999999,0.0,37.3773333333333,141.839166666667,3.5,1,1,3,3,1998-12-18T01:41:38.629966Z,inf,0.20642995708247755
1369,-999.0,-999.0,0,0,1370,0.22,0.2999999999999998,-999.0,39.876833333333295,143.821666666667,3.9,2,2,0,0,1996-09-05T03:55:44.300006Z,9.447501559712997,-999.0
1370,-999.0,-999.0,0,0,1371,4.79,0.2999999999999998,1.0999999999999996,36.51,141.123333333333,4.1,1,1,1,1,1993-01-02T16:13:44.200042Z,inf,inf
1371,-999.0,-999.0,2,2,1372,0.2,0.0,-999.0,37.8333333333333,142.591666666667,4.0,3,3,0,0,1990-10-20T22:00:51.199981Z,0.2150593840145038,-999.0
1372,-999.0,-999.0,0,0,1373,3.01,-999.0,0.2999999999999998,39.93,142.395,3.3,0,0,1,1,1992-05-31T07:48:54.299983Z,-999.0,inf
1373,-999.0,-999.0,3,0,1374,16.65,-999.0,0.2999999999999998,38.9983333333333,142.406166666667,4.3,0,0,1,3,1997-08-29T04:54:08.530043Z,-999.0,inf
1374,-999.0,-999.0,0,0,1375,7.6,0.20000000000000018,-999.0,35.6233333333333,140.091666666667,3.2,1,1,0,0,1992-11-29T11:17:34.300028Z,inf,-999.0
1375,-999.0,-999.0,0,0,1376,41.23,-999.0,0.2999999999999998,35.9998333333333,140.2435,3.3,0,0,1,1,1998-11-09T14:40:58.619971Z,-999.0,inf
1376,-999.0,-999.0,0,0,1377,40.05,-999.0,0.20000000000000018,40.3245,142.373333333333,3.2,0,0,1,1,1998-06-04T02:34:41.410017Z,-999.0,inf
1377,-999.0,-999.0,0,0,1378,0.0,-999.0,0.5,40.91,143.413333333333,3.5,0,0,1,1,1991-01-03T09:31:28.099978Z,-999.0,inf
1378,-999.0,-999.0,0,0,1379,40.83,-999.0,1.4000000000000004,38.1505,142.283166666667,4.4,0,0,1,1,1996-09-04T08:53:40.449987Z,-999.0,inf
1379,-999.0,-999.0,0,0,1380,39.85,0.10000000000000009,-999.0,36.67,141.373166666667,3.1,1,1,0,0,1998-05-30T22:58:01.720017Z,inf,-999.0
1380,-999.0,-999.0,0,0,1381,5.7,0.3999999999999999,-999.0,35.536666666666704,139.52,3.4,1,1,0,0,1990-12-29T03:25:28.499987Z,inf,-999.0
1381,-999.0,-999.0,0,0,1382,0.24,0.10000000000000009,-999.0,37.0683333333333,141.88333333333298,3.1,1,1,0,0,1990-11-06T00:38:19.300051Z,inf,-999.0
1382,-999.0,-999.0,0,0,1383,0.29,1.9000000000000004,1.7000000000000002,36.896333333333295,141.718833333333,4.9,1,1,1,1,1996-07-22T02:53:40.359955Z,inf,inf
1383,-999.0,-999.0,0,0,1384,0.44,-999.0,0.0,36.43,141.738333333333,3.0,0,0,1,1,1991-09-07T07:20:25.600018Z,-999.0,inf
1384,-999.0,-999.0,0,0,1385,0.0,0.7000000000000002,-999.0,40.272166666666706,143.2665,3.7,1,1,0,0,1996-06-27T18:29:54.930015Z,inf,-999.0
1385,-999.0,-999.0,1,1,1386,5.62,1.3999999999999995,2.4999999999999996,36.533333333333296,140.536666666667,5.6,2,2,1,12,1992-05-11T19:07:53.200045Z,0.17287400736325187,inf
1386,-999.0,-999.0,0,0,1387,0.24,-999.0,0.5,41.2433333333333,142.328333333333,3.5,0,0,1,1,1991-02-07T07:21:16.299964Z,-999.0,inf
1387,-999.0,-999.0,4,4,1388,0.41,0.5,0.10000000000000009,36.353,141.782833333333,3.9,1,1,3,3,1998-07-15T03:07:08.129965Z,inf,0.1615416639011695
1388,-999.0,-999.0,0,0,1389,0.47,0.5,-999.0,36.865,141.681666666667,3.5,1,1,0,0,1991-09-11T08:20:52.900017Z,inf,-999.0
1389,-999.0,-999.0,0,0,1390,28.53,-999.0,0.7000000000000002,39.251999999999995,142.4815,3.7,0,0,2,2,1997-12-14T07:51:47.530003Z,-999.0,4193.154363195833
1390,-999.0,-999.0,0,0,1391,0.54,-999.0,0.20000000000000018,36.0166666666667,143.185,4.2,0,0,6,6,1992-06-28T22:43:01.000018Z,-999.0,0.1330718683322184
1391,-999.0,-999.0,0,0,1392,30.93,-999.0,0.7999999999999998,37.4445,142.117666666667,3.9,0,0,2,2,1998-10-03T09:37:17.479978Z,-999.0,0.6049465725890548
1392,-999.0,-999.0,0,0,1393,0.26,0.10000000000000009,-999.0,37.286666666666704,142.078333333333,3.1,1,1,0,0,1990-10-03T00:51:51.100013Z,inf,-999.0
1393,-999.0,-999.0,1,1,1394,0.0,1.1,-999.0,39.581666666666706,143.11,5.0,9,9,0,1,1990-09-23T19:06:00.199984Z,0.739322325855556,-999.0
1394,-999.0,-999.0,1,1,1395,30.1,0.5999999999999996,0.7999999999999998,37.7016666666667,142.1625,3.8,2,2,1,1,1998-07-09T15:48:15.619971Z,0.4821251002983105,inf
1395,-999.0,-999.0,0,0,1396,34.28,-999.0,0.0,35.8655,140.4865,3.0,0,0,1,1,2008-06-09T20:43:07.590032Z,-999.0,inf
1396,-999.0,-999.0,1,1,1397,69.59,-999.0,0.7999999999999998,35.6281666666667,140.138833333333,3.9,0,0,3,3,2005-10-01T12:00:19.900003Z,-999.0,0.19706131103294106
1397,-999.0,-999.0,0,0,1398,41.22,0.5,-999.0,37.1086666666667,141.606833333333,3.5,1,1,0,0,1997-10-01T11:58:05.849965Z,inf,-999.0
