,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
61,1921,52,4556,20.0,0.382,-79.922,7.8,13,13,13,33,22,0,1,0,0,0,2016-04-16T23:58:36.979971Z,2016-04-16T23:58:36.979971Z,2016-04-16T23:58:35.000001,1,1,1,1,1
62,2472,95,904,10.0,9.685,-83.073,7.6,13,13,13,29,20,1,1,0,12,0,1991-04-22T21:56:51.819967Z,1991-04-22T21:56:51.819967Z,1991-04-22T21:56:50.000000,1,1,1,2,1
63,2541,118,2617,10.0,-8.152000000000001,124.868,7.5,21,21,22,40,24,1,1,1,1,1,2004-11-11T21:26:41.150036Z,2004-11-11T21:26:41.150036Z,2004-11-11T21:26:39.999997,1,1,1,1,1
64,1963,65,4220,10.0,-60.273999999999994,-46.401,7.7,18,18,18,29,22,8,8,8,8,8,2013-11-17T09:04:55.529980Z,2013-11-17T09:04:55.529980Z,2013-11-17T09:04:53.999998,1,1,1,1,1
65,2696,47,25,25.0,1.186,122.85700000000001,7.8,40,40,40,203,111,3,1,0,202,3,1990-04-18T13:39:19.009983Z,1990-04-18T13:39:19.009983Z,1990-04-18T13:39:18.000000,1,1,1,5,2
66,2470,29,20,33.0,-33.135,-71.87100000000001,8.0,64,64,64,137,122,6,11,7,6,7,1985-03-03T22:47:07.280014Z,1985-03-03T22:47:07.280014Z,1985-03-03T22:47:06.000004,1,1,1,1,1
67,2017,86,5268,10.0,-23.051,171.65599999999998,7.7,107,106,105,107,105,13,13,13,197,13,2021-02-10T13:19:55.530989Z,2021-02-10T13:19:55.530989Z,2021-02-10T13:19:53.999998,1,1,1,5,1
68,2313,237,946,9.0,40.335,-124.229,7.2,2,2,2,8,4,1,1,1,2,3,1992-04-25T18:06:05.179965Z,1992-04-25T18:06:05.179965Z,1992-04-25T18:06:04.000001,1,1,1,5,1
69,1112,220,977,21.0,4.553999999999999,-77.442,7.2,2,2,2,3,2,0,0,0,0,0,1991-11-19T22:28:51.090034Z,1991-11-19T22:28:51.090034Z,1991-11-19T22:28:50.000001,-1,-1,-1,1,-1
70,2318,78,2116,60.0,13.049000000000001,-88.66,7.7,14,14,14,71,36,0,0,0,0,0,2001-01-13T17:33:32.379955Z,2001-01-13T17:33:32.379955Z,2001-01-13T17:33:31.000002,1,1,1,1,1
