,c_type,c_type60,depth0,fstyle_m,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
51,1,1,21.0,1.0,0.35,-79.93,7.8,13,13,7,7,0,0,0,0,2016-04-16T23:58:33.600006Z
52,-1,-1,30.0,0.0,-5.23,153.1,7.8,0,0,0,0,0,0,0,0,2000-11-16T07:42:14.400000Z
53,-1,-1,33.0,0.0,-5.5,151.78,7.8,0,0,0,0,0,0,0,0,2000-11-17T21:01:52.320000Z
54,1,1,15.0,3.0,26.97,65.52,7.8,4,4,2,2,0,0,0,0,2013-09-24T11:29:45.600004Z
55,1,1,61.0,3.0,12.96,144.78,7.7,6,6,2,2,0,0,0,0,1993-08-08T08:34:22.079997Z
56,1,1,33.0,0.0,-14.99,-75.68,7.7,8,8,4,4,1,1,0,0,1996-11-12T16:59:39.840004Z
57,2,2,17.0,0.0,-0.41,132.88,7.7,13,13,4,4,0,0,0,0,2009-01-03T19:43:49.439999Z
58,-1,-1,17.0,2.0,42.84,139.25,7.7,2,2,1,1,0,0,0,0,1993-07-12T13:17:11.039999Z
59,1,1,33.0,0.0,-12.58,166.68,7.7,9,9,3,3,3,3,0,0,1997-04-21T12:02:26.880002Z
60,-1,-1,33.0,3.0,40.45,143.49,7.7,0,0,0,0,1,1,0,0,1994-12-28T12:19:26.400000Z
61,1,1,35.0,1.0,-8.51,121.89,7.7,4,4,1,1,1,1,1,1,1992-12-12T05:29:28.320003Z
62,1,1,60.0,0.0,13.05,-88.66,7.7,12,12,4,4,0,0,0,0,2001-01-13T17:33:30.240005Z
63,1,1,34.0,0.0,-9.25,107.41,7.7,11,11,6,6,0,0,0,0,2006-07-17T08:19:32.160000Z
64,1,1,16.0,2.0,-5.81,154.21,7.7,16,16,8,8,2,2,1,1,1995-08-16T10:27:24.480003Z
65,1,1,40.0,1.0,-22.25,-69.89,7.7,17,17,9,9,0,0,0,0,2007-11-14T15:40:53.759996Z
66,-1,-1,10.0,3.0,-20.57,-70.5,7.7,0,0,0,0,0,0,0,0,2014-04-03T02:43:09.119997Z
67,1,1,33.0,1.0,-23.01,169.89,7.7,12,12,5,5,2,2,2,2,1995-05-16T20:12:46.079996Z
68,1,1,33.0,3.0,-2.07,124.89,7.7,3,3,1,1,3,3,0,0,1998-11-29T14:10:27.840000Z
69,1,1,28.0,0.0,10.81,126.64,7.6,18,18,1,1,1,1,0,0,2012-08-31T12:47:31.199995Z
70,1,1,35.0,0.0,10.1,-85.31,7.6,4,4,2,2,0,0,0,0,2012-09-05T14:42:08.639999Z
71,1,1,10.0,1.0,-4.05,152.6,7.6,4,4,2,2,1,1,1,1,2019-05-14T12:58:27.839996Z
72,1,1,10.0,0.0,9.68,-83.08,7.6,4,4,3,3,1,1,1,1,1991-04-22T21:56:52.799996Z
73,-1,-1,45.0,3.0,-13.01,166.51,7.6,0,0,0,0,0,0,0,0,2009-10-07T22:03:12.960004Z
74,1,1,26.0,3.0,45.47,151.05,7.6,5,5,1,1,12,12,8,8,1991-12-22T08:43:09.119997Z
75,-1,-1,33.0,3.0,-17.54,-72.08,7.6,0,0,0,0,0,0,0,0,2001-07-07T09:38:44.160005Z
76,-1,-1,38.0,1.0,-43.41,-73.94,7.6,1,1,0,0,0,0,0,0,2016-12-25T14:22:24.959999Z
77,1,1,13.0,1.0,-3.3,142.95,7.6,8,8,4,4,2,2,0,0,2002-09-08T18:44:21.119996Z
78,1,1,17.0,3.0,40.75,29.86,7.6,2,2,1,1,1,1,0,0,1999-08-17T00:01:35.039999Z
79,1,1,26.0,3.0,34.54,73.59,7.6,14,14,5,5,0,0,0,0,2005-10-08T03:50:41.280004Z
80,1,1,20.0,3.0,-0.25,119.84,7.6,3,3,0,0,2,2,1,1,2018-09-28T10:02:47.039998Z
81,1,1,10.0,1.0,11.76,-87.42,7.6,11,11,7,7,2,2,1,1,1992-09-02T00:15:59.040000Z
82,1,1,16.0,3.0,23.42,70.23,7.6,3,3,1,1,0,0,0,0,2001-01-26T03:16:42.239997Z
83,1,1,22.0,1.0,60.95,167.09,7.6,9,9,5,5,0,0,0,0,2006-04-20T23:25:00.479996Z
84,1,1,33.0,2.0,23.77,120.98,7.6,13,13,6,6,1,1,0,0,1999-09-20T17:47:19.680004Z
85,1,1,17.0,2.0,-29.54,-176.34,7.6,29,29,8,8,2,2,2,2,2011-07-06T19:03:21.600010Z
86,1,1,34.0,3.0,-23.05,-174.66,7.6,5,5,1,1,2,2,0,0,2009-03-19T18:17:42.719995Z
87,2,2,22.6,3.0,-11.27,162.15,7.6,16,16,5,5,1,1,1,1,2014-04-12T20:14:38.399996Z
88,1,1,10.0,2.0,-60.53,-43.41,7.6,3,3,0,0,0,0,0,0,2003-08-04T04:37:20.639996Z
89,-1,-1,19.7,0.0,38.11,144.55,7.6,0,0,0,0,0,0,0,0,2011-03-11T06:25:46.559998Z
90,1,1,24.0,0.0,18.77,-104.1,7.5,3,3,1,1,1,1,0,0,2003-01-22T02:06:34.560004Z
91,1,1,31.0,3.0,6.03,124.25,7.5,5,5,3,3,0,0,0,0,2002-03-05T21:16:07.679996Z
92,-1,-1,33.0,2.0,35.07,87.32,7.5,1,1,0,0,0,0,0,0,1997-11-08T10:02:55.680003Z
93,1,1,25.2,2.0,-6.07,142.75,7.5,15,15,10,10,0,0,0,0,2018-02-25T17:44:44.159997Z
94,-1,-1,19.0,2.0,17.48,-83.52,7.5,0,0,0,0,0,0,0,0,2018-01-10T02:51:30.240001Z
95,2,2,55.0,0.0,-5.46,151.88,7.5,11,11,4,4,18,18,11,11,2015-05-05T01:44:06.720000Z
96,-1,-1,10.0,1.0,55.39,-134.65,7.5,0,0,0,0,0,0,0,0,2013-01-05T08:58:16.319995Z
