,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
214,6420,314,9378,25.0,-27.424,-176.33,7.0,9,9,2,9,2,6,10,10,7,11,2009-02-18T21:53:45.160016Z,2009-02-18T21:53:45.160016Z,2009-02-18T21:53:44.000000,1,1,1,1,1
215,4230,80,2415,25.0,15.679,121.17200000000001,7.7,79,93,76,84,76,1,4,1,2,5,1990-07-16T07:26:34.610006Z,1990-07-16T07:26:34.610006Z,1990-07-16T07:26:32.999997,1,1,1,1,1
216,4853,247,505,43.0,-13.966,166.516,7.1,31,35,16,33,16,27,27,28,29,29,1985-12-21T01:13:22.409967Z,1985-12-21T01:13:22.409967Z,1985-12-21T01:13:20.999998,4,4,4,4,4
217,3324,364,5907,30.0,39.566,54.799,7.0,1,1,1,1,1,0,0,3,0,3,2000-12-06T17:11:06.399970Z,2000-12-06T17:11:06.399970Z,2000-12-06T17:11:04.999997,0,0,0,0,0
218,5001,5,11640,20.0,2.327,93.06299999999999,8.6,14,151,42,14,42,1,15,4,9,120,2012-04-11T08:38:36.719986Z,2012-04-11T08:38:36.719986Z,2012-04-11T08:38:34.999997,1,2,2,1,2
219,6473,79,9600,17.0,-0.414,132.885,7.7,74,80,71,85,75,0,0,0,0,27,2009-01-03T19:43:50.650031Z,2009-01-03T19:43:50.650031Z,2009-01-03T19:43:49.000003,2,2,2,2,2
220,7339,352,2605,24.0,1.2409999999999999,122.536,7.0,0,0,0,0,0,0,0,1,4,13,1997-11-25T12:14:33.629973Z,1997-11-25T12:14:33.629973Z,1997-11-25T12:14:32.000002,0,0,0,1,1
221,4741,84,12325,10.0,-60.273999999999994,-46.401,7.7,8,35,34,9,34,13,14,14,13,17,2013-11-17T09:04:55.529980Z,2013-11-17T09:04:55.529980Z,2013-11-17T09:04:53.999998,1,1,1,1,1
222,4636,276,1808,11.0,55.543,-156.835,7.1,0,0,0,0,0,0,0,0,1,1,1989-09-04T13:14:58.250033Z,1989-09-04T13:14:58.250033Z,1989-09-04T13:14:57.000001,0,0,0,0,0
223,7264,116,12525,43.0,-6.755,155.024,7.5,82,85,56,154,56,37,41,32,72,61,2014-04-19T13:28:00.809981Z,2014-04-19T13:28:00.809981Z,2014-04-19T13:27:59.999998,2,2,2,0,0
224,4750,145,617,54.0,-6.087999999999999,147.689,7.4,34,39,23,38,23,3,3,8,9,13,1987-02-08T18:33:58.390020Z,1987-02-08T18:33:58.390020Z,1987-02-08T18:33:57.000000,1,1,1,1,1
225,5355,52,5038,33.0,54.841,162.035,7.8,92,106,54,95,54,3,3,3,4,29,1997-12-05T11:26:54.689998Z,1997-12-05T11:26:54.689998Z,1997-12-05T11:26:52.999999,1,1,1,1,1
226,6088,159,4137,10.0,-4.003,135.023,7.3,13,16,14,42,14,11,11,12,17,24,2004-02-07T02:42:35.209982Z,2004-02-07T02:42:35.209982Z,2004-02-07T02:42:33.999997,0,0,0,0,0
227,7468,34,4543,33.0,51.56399999999999,-177.632,7.9,52,52,39,78,39,4,4,2,52,59,1996-06-10T04:03:35.479989Z,1996-06-10T04:03:35.479989Z,1996-06-10T04:03:33.999998,1,1,1,1,1
228,7005,334,13437,19.0,-37.359,179.146,7.0,51,53,40,56,41,1,1,1,1,1,2016-09-01T16:37:57.300036Z,2016-09-01T16:37:57.300036Z,2016-09-01T16:37:56.000003,1,1,1,1,1
229,4787,93,1070,33.0,-22.122,175.16299999999998,7.6,4,15,6,6,6,0,1,0,5,2,1990-03-03T12:16:27.959980Z,1990-03-03T12:16:27.959980Z,1990-03-03T12:16:26.000001,1,1,1,1,1
230,5336,238,778,10.0,-0.046,-17.826,7.1,3,4,3,3,3,0,1,2,1,13,2016-08-29T04:29:57.859949Z,2016-08-29T04:29:57.859949Z,2016-08-29T04:29:56.000002,1,1,1,1,1
231,7437,22,4304,45.0,-23.34,-70.294,8.0,22,43,42,29,42,0,1,3,3,39,1995-07-30T05:11:23.630031Z,1995-07-30T05:11:23.630031Z,1995-07-30T05:11:21.999998,1,1,1,1,1
232,4162,349,11054,10.0,-35.364000000000004,-17.16,7.0,0,0,0,0,0,0,0,0,1,3,2015-06-17T12:51:32.790034Z,2015-06-17T12:51:32.790034Z,2015-06-17T12:51:30.999999,0,0,0,0,1
233,7364,88,12500,22.0,-11.27,162.148,7.6,59,65,44,67,44,0,2,1,1,6,2014-04-12T20:14:39.300032Z,2014-04-12T20:14:39.300032Z,2014-04-12T20:14:38.000002,2,2,2,2,2
234,4370,148,2369,18.0,36.957,49.409,7.4,17,18,17,20,17,0,0,0,0,0,1990-06-20T21:00:09.979980Z,1990-06-20T21:00:09.979980Z,1990-06-20T21:00:07.999999,1,1,1,1,1
235,1907,324,2367,28.0,54.567,-161.606,7.0,4,6,5,4,5,0,0,1,1,2,1991-05-30T13:17:41.969986Z,1991-05-30T13:17:41.969986Z,1991-05-30T13:17:40.000003,1,1,1,1,1
236,7423,203,3727,35.0,-29.211,-177.58900000000003,7.2,5,8,4,5,4,1,2,2,2,3,1995-07-03T19:50:50.620042Z,1995-07-03T19:50:50.620042Z,1995-07-03T19:50:48.999999,1,1,1,1,1
237,6999,229,11735,16.0,-22.476999999999997,173.11700000000002,7.2,16,24,12,19,12,0,0,0,5,4,2016-08-12T01:26:36.280033Z,2016-08-12T01:26:36.280033Z,2016-08-12T01:26:34.999998,1,1,1,1,1
238,6559,341,10481,12.0,-43.522,171.83,7.0,9,10,8,41,8,0,0,0,0,0,2010-09-03T16:35:47.770021Z,2010-09-03T16:35:47.770021Z,2010-09-03T16:35:46.000003,1,1,1,1,1
239,5681,136,6879,10.0,33.184,137.071,7.4,11,11,11,11,11,3,3,3,3,5,2004-09-05T14:57:18.609988Z,2004-09-05T14:57:18.609988Z,2004-09-05T14:57:16.999996,2,2,2,2,2
240,5451,110,5941,33.0,6.898,126.579,7.5,15,24,24,15,24,0,3,5,3,21,2001-01-01T06:57:04.169981Z,2001-01-01T06:57:04.169981Z,2001-01-01T06:57:02.999998,1,1,1,1,1
241,1120,374,6028,37.0,12.686,144.98,7.0,0,0,0,0,0,0,0,0,1,1,2001-10-12T15:02:16.839974Z,2001-10-12T15:02:16.839974Z,2001-10-12T15:02:15.000001,0,0,0,0,0
242,7137,246,9213,16.0,-55.663999999999994,158.453,7.1,8,8,6,8,6,0,0,0,0,0,2008-04-12T00:30:12.600036Z,2008-04-12T00:30:12.600036Z,2008-04-12T00:30:10.999999,1,1,1,1,1
243,3128,124,3144,19.0,17.483,-83.52,7.5,0,0,0,1,1,0,0,0,0,3,2018-01-10T02:51:33.290004Z,2018-01-10T02:51:33.290004Z,2018-01-10T02:51:31.999997,0,0,0,0,1
244,7156,11,12569,25.0,-19.61,-70.76899999999999,8.2,96,101,86,115,92,37,40,45,44,112,2014-04-01T23:46:47.260043Z,2014-04-01T23:46:47.260043Z,2014-04-01T23:46:46.000001,1,1,1,1,1
245,4818,149,10674,14.0,26.901,143.69799999999998,7.4,182,141,165,195,165,0,0,0,0,2,2010-12-21T17:19:40.660035Z,2010-12-21T17:19:40.660035Z,2010-12-21T17:19:38.999998,1,1,1,1,1
246,654,301,9011,60.0,5.898,126.921,7.0,1,1,2,1,2,0,0,1,0,10,2018-12-29T03:39:09.740021Z,2018-12-29T03:39:09.740021Z,2018-12-29T03:39:07.999998,0,0,1,0,1
247,796,294,4914,19.0,10.597999999999999,-63.486000000000004,7.0,1,2,2,1,2,0,0,0,0,0,1997-07-09T19:24:13.170016Z,1997-07-09T19:24:13.170016Z,1997-07-09T19:24:12.000003,0,0,0,0,0
248,6060,128,7251,10.0,-8.152000000000001,124.868,7.5,33,34,24,35,26,1,2,3,2,12,2004-11-11T21:26:41.150036Z,2004-11-11T21:26:41.150036Z,2004-11-11T21:26:39.999997,1,1,1,1,1
249,4987,146,81,28.0,39.836999999999996,142.76,7.4,31,34,16,35,16,14,14,14,15,19,1989-11-01T18:25:34.939985Z,1989-11-01T18:25:34.939985Z,1989-11-01T18:25:33.000000,1,1,1,1,1
250,6326,120,9877,24.0,14.099,92.902,7.5,8,8,8,10,9,0,0,2,0,7,2009-08-10T19:55:38.729996Z,2009-08-10T19:55:38.729996Z,2009-08-10T19:55:36.999999,1,1,1,1,1
251,7282,38,9270,19.0,31.002,103.322,7.9,66,107,71,73,71,0,1,0,0,1,2008-05-12T06:28:01.570018Z,2008-05-12T06:28:01.570018Z,2008-05-12T06:28:00.000000,1,1,1,1,1
252,7261,228,3169,33.0,-16.62,167.518,7.2,48,53,24,62,24,1,3,2,21,4,1994-07-13T02:35:56.020043Z,1994-07-13T02:35:56.020043Z,1994-07-13T02:35:55.000003,1,1,1,1,1
253,5413,325,3769,33.0,-6.351,148.763,7.0,2,4,2,2,2,2,7,9,3,14,1999-11-19T13:56:46.449967Z,1999-11-19T13:56:46.449967Z,1999-11-19T13:56:44.999998,1,2,2,1,2
254,4999,173,11778,28.0,12.139000000000001,-88.59,7.3,8,12,8,10,8,1,3,5,3,13,2012-08-27T04:37:19.429964Z,2012-08-27T04:37:19.429964Z,2012-08-27T04:37:18.000000,1,1,1,1,1
255,4364,30,114,33.0,-33.135,-71.87100000000001,8.0,49,80,75,65,75,13,21,21,13,21,1985-03-03T22:47:07.280014Z,1985-03-03T22:47:07.280014Z,1985-03-03T22:47:06.000004,1,1,1,1,1
256,5752,183,6830,16.0,50.038000000000004,87.81299999999999,7.3,23,23,21,24,21,0,0,0,0,1,2003-09-27T11:33:25.080015Z,2003-09-27T11:33:25.080015Z,2003-09-27T11:33:24.000001,1,1,1,1,1
257,6856,25,8097,55.0,-20.187,-174.123,8.0,78,97,35,92,35,3,28,3,22,25,2006-05-03T15:26:40.290002Z,2006-05-03T15:26:40.290002Z,2006-05-03T15:26:38.999997,1,1,1,1,1
258,4880,91,7031,17.0,-29.539,-176.34,7.6,105,119,36,151,50,1,4,2,4,10,2011-07-06T19:03:18.260036Z,2011-07-06T19:03:18.260036Z,2011-07-06T19:03:16.999998,1,1,1,2,2
259,6596,178,10649,16.0,-19.702,167.947,7.3,125,130,74,204,74,4,4,2,13,5,2010-12-25T13:16:37.000050Z,2010-12-25T13:16:37.000050Z,2010-12-25T13:16:35.999998,2,2,1,0,1
260,7195,13,13824,47.0,15.022,-93.899,8.2,67,82,78,74,78,0,4,5,2,114,2017-09-08T04:49:19.179983Z,2017-09-08T04:49:19.179983Z,2017-09-08T04:49:18.000000,1,1,1,1,1
