,MAG,Time,Lat,Lon,Depth,clID,eType
6467,3.0,1993-07-17T11:51:38.379999Z,44.224,8.2248,11.3,214,1.0
6468,3.0,1993-07-18T20:34:42.450014Z,38.0615,14.1062,0.1,0,0.0
6469,3.0,2018-02-18T02:58:02.750012Z,37.7217,14.0707,34.3,0,0.0
6470,3.0,1993-07-20T06:10:38.250018Z,44.236,8.243,10.1,214,1.0
6471,3.0,2016-12-06T21:31:23.359992Z,42.5672,13.2727,10.5,283,1.0
6472,3.0,2018-02-18T03:00:11.979969Z,37.7285,14.052,35.7,0,0.0
6473,3.0,2018-02-25T14:36:24.710030Z,46.3768,12.5882,8.9,206,1.0
6474,3.0,2016-12-25T16:06:51.769992Z,42.9767,13.1473,8.8,283,1.0
6475,3.0,1993-06-29T03:09:04.379958Z,38.0205,14.1667,5.2,207,1.0
6476,3.0,1991-11-05T16:19:41.940015Z,39.1818,16.4625,7.1,0,0.0
6477,3.0,2016-12-06T08:46:56.559963Z,42.5658,13.2663,10.2,283,1.0
6478,3.0,1991-10-19T00:05:22.569996Z,40.5125,15.7615,1.7,208,1.0
6479,3.0,1993-07-24T15:59:02.889976Z,38.0712,14.132,2.6,0,0.0
6480,3.0,2016-12-26T00:19:31.110013Z,42.9472,13.136,8.4,283,1.0
6481,3.0,2016-12-05T07:16:03.909967Z,42.8908,13.1477,8.0,283,1.0
6482,3.0,2016-12-05T03:31:29.000003Z,42.9165,13.1457,8.5,283,1.0
6483,3.0,1991-10-16T04:41:10.160044Z,40.5185,15.7612,0.9,208,-1.0
6484,3.0,2016-12-09T12:12:56.929964Z,42.9097,13.2013,7.9,283,1.0
6485,3.0,1991-10-26T12:43:37.379999Z,44.1602,12.2212,0.9,0,0.0
6486,3.0,2017-11-15T15:13:37.509979Z,43.005,13.1292,7.1,283,1.0
6487,3.0,2018-02-02T23:47:12.640040Z,37.8348,14.9732,22.5,0,0.0
6488,3.0,2017-11-29T21:30:43.230034Z,41.7522,14.2603,10.6,0,0.0
6489,3.0,1993-07-01T20:41:23.969994Z,37.7287,14.6598,14.4,0,0.0
6490,3.0,2017-12-08T22:30:29.569966Z,44.7568,7.7617,35.9,0,0.0
6491,3.0,1993-07-14T23:29:31.260020Z,44.238,8.2193,10.1,214,-1.0
6492,3.0,2016-12-20T07:45:26.289997Z,42.7763,13.1878,10.2,283,1.0
6493,3.0,1993-07-15T00:05:47.660033Z,44.2425,8.2172,10.2,214,-1.0
6494,3.0,2016-12-19T08:48:02.000012Z,42.879,13.127,8.9,283,1.0
6495,3.0,1993-07-15T09:24:25.880029Z,39.9755,15.4923,15.5,0,0.0
6496,3.0,2016-12-21T14:01:18.579994Z,42.5443,13.212,10.5,283,1.0
