,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr
34,1312,4.69,35.043,-119.014,10.0,2005-09-22T20:24:48.620042Z,1,11,1,11,0.51,-999.0,1.54627755413,0.22,-999.0,inf,0,0,10,1,10,1
35,1321,4.77,33.317,-115.728,6.0,2009-03-24T11:55:43.930015Z,5,23,5,23,0.82,-999.0,0.970183112272,1.44,-999.0,3.34223409474,1,1,15,5,15,5
36,1326,4.82,34.028,-118.18,15.4,1989-06-12T16:57:18.490036Z,2,1,2,1,0.35,-999.0,inf,2.15,-999.0,0.129522736451,2,2,1,0,1,0
37,1332,5.6,34.24,-117.04,6.0,1999-10-16T09:59:37.999995Z,2,8,2,8,2.25,-999.0,0.512465390696,2.91,-999.0,0.285463207409,1,1,0,0,0,0
38,1349,4.8,34.406,-119.92,7.1,2013-05-29T14:38:03.410018Z,0,3,0,3,1.69,-999.0,4.94717667764,-999.0,-999.0,-999.0,1,1,1,0,1,0
39,1359,5.8,34.27,-117.993,8.0,1991-06-28T14:43:54.659974Z,0,10,0,10,1.5,-999.0,1.19923989843,-999.0,-999.0,-999.0,1,1,3,0,3,0
40,1368,4.87,35.542,-119.373,22.1,2016-02-24T00:02:23.629979Z,0,1,0,1,2.25,-999.0,inf,-999.0,-999.0,-999.0,0,0,0,0,0,0
41,1381,5.26,34.971,-116.819,0.6,1997-03-18T15:24:47.720044Z,1,7,2,7,1.41,-999.0,2.06287378676,2.15,-999.0,inf,1,1,3,0,3,0
42,1390,4.75,36.945,-117.525,4.6,1998-07-02T03:39:50.449969Z,0,17,0,17,1.07,-999.0,3.35081507631,-999.0,-999.0,-999.0,1,1,12,0,12,0
43,1391,4.76,32.681,-118.109,5.8,1997-06-20T04:35:40.520030Z,0,8,0,8,0.23,-999.0,3.35297693321,-999.0,-999.0,-999.0,0,0,6,0,6,0
44,1394,5.02,34.394,-118.669,12.8,1995-06-26T08:40:28.940017Z,6,2,7,2,1.68,-999.0,0.852342721804,1.77,-999.0,0.149231646154,1,1,1,3,1,3
45,1408,5.0,34.029,-116.321,8.2,1993-08-21T01:46:38.400036Z,7,1,30,1,2.31,-999.0,inf,0.99,-999.0,0.356947004639,1,1,0,3,0,13
46,1413,4.73,32.111,-115.119,6.0,2000-05-02T06:45:45.039979Z,10,24,10,24,0.55,-999.0,1.52117046959,0.23,-999.0,0.262831176177,0,0,18,7,18,7
47,1448,5.19,36.391,-117.861,-1.8,2009-10-03T01:16:00.310026Z,28,46,48,46,0.53,0.761049377811,1.5173227625,0.19,-999.0,0.829553365361,4,4,12,12,12,16
48,1488,4.68,32.213,-115.289,9.6,2012-07-01T06:36:06.349967Z,18,32,28,33,0.59,0.934594715595,0.623806576207,0.04,-999.0,0.340107674473,0,2,27,14,28,24
49,1492,5.03,33.979,-116.681,6.9,1988-12-16T05:53:04.999978Z,4,1,6,1,2.19,-999.0,inf,1.95,-999.0,0.10965049593,1,1,0,1,0,1
50,1502,5.2,33.532,-116.567,13.1,2005-06-12T15:41:46.519989Z,3,6,3,6,1.86,-999.0,1.29545814222,2.03,-999.0,0.118122563263,1,1,1,0,1,0
51,1514,4.97,34.268,-116.402,2.5,1994-06-16T16:24:27.520009Z,5,9,19,9,1.44,-999.0,0.544646420222,1.83,-999.0,0.100206352017,1,1,2,1,2,5
52,1522,4.93,34.062,-116.366,1.0,1999-05-14T07:54:03.189999Z,7,38,9,38,0.78,0.874109656373,1.19165081786,1.23,-999.0,0.173562963445,1,1,22,5,22,6
53,1528,4.83,33.507,-118.071,5.8,1988-11-20T05:39:28.669966Z,2,2,6,2,2.12,-999.0,1.70837723648,1.97,-999.0,928.832866877,1,1,0,2,0,4
54,1536,4.96,33.919,-118.627,11.6,1989-01-19T06:53:28.840008Z,1,40,1,40,1.03,1.37326318388,0.897812629162,2.23,-999.0,inf,1,1,9,0,9,0
55,1542,4.99,34.312,-116.845,5.6,2003-02-22T12:19:10.919969Z,0,49,2,49,0.38,0.692496895973,2.34406666255,-999.0,-999.0,-999.0,0,0,26,0,26,1
56,1543,5.37,32.307,-115.228,6.0,2006-05-24T04:20:26.009983Z,7,25,52,25,0.88,-999.0,5.79139989026,1.46,-999.0,0.237615224775,1,1,6,1,6,12
57,1568,5.3,36.075,-117.65,-0.0,1996-11-27T20:17:24.110021Z,0,72,0,84,1.33,0.958883860688,1.59467934906,-999.0,-999.0,-999.0,1,1,16,0,19,0
58,1569,5.9,34.061,-118.079,8.9,1987-10-01T14:42:20.020002Z,0,65,0,65,0.65,0.6851733331,3.49128396857,-999.0,-999.0,-999.0,1,1,6,0,6,0
59,1581,5.41,33.019,-115.54,8.3,2012-08-26T20:57:58.219983Z,29,56,33,56,0.48,0.697461743234,5.3700341902,0.09,-999.0,199.800327739,4,4,14,12,14,12
