,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
52,1,1,34.47,10.0028,-85.8362,5.4,4,4,0,0,0,0,0,0,2019-12-08T18:31:41.000019Z
53,5,5,4.52,9.343,-83.2595,4.54,6,6,5,5,28,30,26,24,2019-05-03T21:30:39.999967Z
54,-1,-1,23.79,10.71,-85.0037,4.47,0,0,0,0,1,1,0,0,2014-12-03T17:04:18.999956Z
55,1,1,22.64,9.652000000000001,-84.1985,4.86,2,2,0,0,4,25,10,0,2014-08-07T08:50:03.000019Z
56,1,1,22.18,8.4706,-83.1165,5.13,11,11,4,4,6,15,1,1,2015-07-10T11:46:05.999987Z
57,1,1,38.67,9.3864,-84.2052,4.52,4,4,4,4,15,16,14,13,2014-07-25T04:21:16.999980Z
58,1,1,2.74,9.9539,-83.7872,4.91,29,29,8,8,3,3,0,0,2016-12-01T00:25:19.000049Z
59,1,1,33.09,9.3987,-83.8692,5.42,27,28,11,10,17,52,9,5,2016-09-03T22:05:59.999965Z
60,1,1,21.25,9.908999999999999,-85.6577,5.9,6,6,0,0,1,23,2,0,2017-09-01T07:42:40.999966Z
61,1,1,21.08,9.5061,-84.8538,5.23,26,26,2,2,0,0,0,0,2014-01-17T21:02:41.000002Z
62,4,1,20.6,8.305,-82.8232,4.89,4,159,97,3,23,76,36,12,2015-06-25T02:53:11.000036Z
63,5,2,13.79,8.8842,-84.1267,5.42,67,138,14,7,14,76,9,2,2014-08-31T10:01:34.000030Z
64,1,1,17.47,8.9932,-83.965,5.33,4,4,3,3,18,45,7,4,2017-08-27T10:38:56.000030Z
65,1,1,35.88,9.6161,-84.3211,5.2,6,6,2,2,18,35,8,3,2019-05-13T01:01:52.000003Z
66,1,1,20.73,9.4963,-84.84700000000001,4.64,5,5,2,2,9,16,7,4,2019-10-10T03:22:58.999984Z
67,4,4,21.69,8.3562,-83.1276,5.06,51,51,20,20,22,99,51,11,2014-10-10T06:22:55.000015Z
68,1,1,18.55,8.6261,-83.2955,4.88,31,31,14,14,5,19,10,4,2021-02-16T01:31:27.999955Z
69,1,1,34.67,9.0142,-83.9751,4.99,3,3,1,1,4,93,37,4,2018-02-24T10:26:48.000016Z
70,5,5,31.76,8.9302,-84.2377,5.13,35,35,11,11,40,58,15,11,2016-01-16T16:57:59.999970Z
71,1,1,23.82,9.0037,-83.9478,4.78,5,5,1,1,22,24,11,11,2021-09-09T04:27:30.000019Z
72,4,2,11.48,8.9644,-84.0972,5.79,130,130,7,7,40,307,29,8,2020-01-21T11:25:33.000017Z
73,1,1,10.32,10.7474,-85.1484,5.17,40,41,14,14,1,2,0,0,2017-11-29T08:47:38.999986Z
74,5,1,45.83,9.326,-83.9755,4.92,9,19,9,1,19,64,19,7,2021-05-14T15:33:54.000032Z
75,3,1,31.63,8.6075,-83.27,5.99,33,34,2,2,28,262,22,4,2018-11-09T09:20:29.999987Z
76,1,1,23.65,8.8072,-83.2811,4.77,18,18,9,9,5,10,5,3,2021-04-20T11:22:48.000036Z
77,1,1,40.24,8.3224,-82.8194,6.94,436,1279,13,3,105,423,3,1,2019-06-26T05:23:46.999998Z
78,1,1,23.2,9.502,-84.6671,6.01,47,198,5,1,8,150,6,0,2020-08-24T21:51:07.999985Z
79,5,1,37.29,9.5641,-84.1768,5.47,56,111,12,6,40,591,58,4,2018-03-23T07:37:12.999995Z
