,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60,nf_all_apr,na_all_apr,nf_apr,na_apr
607,-999.000,-999.000,176,33.0,1.6,-999.0,1.6,-999.0, 8.263,-82.816,4.2,2,0,2,0,2015-05-06T15:30:11.000003,-999.000,-999.000,-1,-1, 0, 2,0,2
608,-999.000,-999.000,214,14.0,1.6,-999.0,1.6,-999.0, 9.895,-83.516,4.6,2,0,2,0,2015-09-26T14:45:00.999998,-999.000,-999.000,-1,-1, 0, 1,0,1
609,-999.000,-999.000,777,44.0,-999.0,0.4,-999.0,0.4, 9.082,-83.776,3.3,0,1,0,1,2020-02-21T20:42:00.000003,-999.000,-999.000,-1,-1, 1, 0,1,0
610,-999.000,-999.000,1010,16.0,0.2,-999.0,0.2,-999.0, 8.658,-83.339,2.8,1,0,1,0,2021-04-28T03:48:36.000002,-999.000,-999.000,-1,-1, 0, 1,0,1
611,-999.000,-999.000,563,20.0,1.5,-999.0,1.5,-999.0, 9.051,-84.084,3.9,1,0,1,0,2018-10-01T09:48:41.000001,-999.000,-999.000,-1,-1, 0, 1,0,1
612,-999.000,-999.000,1022,10.0,-999.0,0.1,-999.0,0.1, 8.971,-84.218,3.3,0,9,0,9,2021-05-12T03:31:54.000000,-999.000,-999.000,4,4, 9, 0,9,0
613,-999.000,-999.000,1011,14.0,0.3,-999.0,0.3,-999.0, 8.961,-84.217,2.7,1,0,1,0,2021-04-29T18:23:06.000001,-999.000,-999.000,-1,-1, 0, 1,0,1
614,-999.000,-999.000,928,22.0,-999.0,0.4,-999.0,0.4, 8.913,-84.253,2.8,0,1,0,1,2021-01-23T03:13:41.000001,-999.000,-999.000,-1,-1, 1, 0,1,0
615,-999.000,-999.000,929,19.0,-999.0,0.1,-999.0,0.1, 8.418,-83.096,4.0,0,1,0,1,2021-01-23T13:47:30.000000,-999.000,-999.000,-1,-1, 1, 0,1,0
616,-999.000,-999.000,416,15.0,0.2,0.7,0.2,0.7, 9.718,-85.609,3.3,2,1,2,1,2017-11-26T16:33:04.000003,-999.000,-999.000,5,5, 1, 2,1,2
617,-999.000,-999.000,417,19.0,0.7,-999.0,0.7,-999.0, 8.991,-82.844,3.6,1,0,1,0,2017-11-25T14:16:51.999998,-999.000,-999.000,-1,-1, 0, 1,0,1
618,-999.000,-999.000,410,10.0,0.5,-999.0,0.5,-999.0, 8.822,-84.176,3.6,1,0,1,0,2017-11-20T09:27:53.000001,-999.000,-999.000,-1,-1, 0, 1,0,1
619,-999.000,-999.000,411,19.0,0.4,0.5,0.4,0.5, 9.302,-84.523,3.1,1,1,1,1,2017-11-20T21:20:00.000001,-999.000,-999.000,-1,-1, 1, 1,1,1
620,-999.000,-999.000,412,7.0,-999.0,-999.0,-999.0,-999.0, 8.966,-84.091,2.4,1,0,1,0,2017-11-21T08:08:14.999999,-999.000,-999.000,-1,-1, 0, 1,0,1
621,-999.000,-999.000,413,0.0,-999.0,-999.0,-999.0,-999.0, 9.337,-84.537,3.4,3,0,3,0,2017-11-21T20:18:41.000001,-999.000,-999.000,2,2, 0, 3,0,3
622,-999.000,-999.000,920,25.0,1.6,-999.0,1.6,-999.0, 9.461,-83.640,4.0,1,0,1,0,2021-01-06T23:55:54.000003,-999.000,-999.000,-1,-1, 0, 1,0,1
623,-999.000,-999.000,498,17.0,0.2,0.1,0.2,0.1, 9.369,-84.588,3.1,1,1,1,1,2018-05-30T03:59:10.999998,-999.000,-999.000,-1,-1, 1, 1,1,1
624,-999.000,-999.000,922,29.0,-999.0,-999.0,0.1,-999.0, 8.293,-82.856,3.6,0,0,1,0,2020-06-05T20:21:30.999998,-999.000,-999.000,-1,-1, 0, 1,0,0
625,-999.000,-999.000,923,12.0,1.1,-999.0,1.1,-999.0, 9.336,-83.261,3.9,1,0,1,0,2021-01-13T18:29:43.000001,-999.000,-999.000,-1,-1, 0, 1,0,1
626,-999.000,-999.000,924,4.0,0.3,-999.0,0.3,-999.0, 9.604,-83.805,2.7,1,0,1,0,2021-01-17T21:49:12.999997,-999.000,-999.000,-1,-1, 0, 1,0,1
627,-999.000,-999.000,925,25.0,-999.0,1.4,-999.0,1.4, 8.341,-82.852,4.1,0,1,0,1,2021-01-20T07:17:44.999997,-999.000,-999.000,-1,-1, 1, 0,1,0
628,-999.000,-999.000,926,9.0,0.6,-999.0,0.6,-999.0, 9.824,-83.870,3.8,1,0,1,0,2021-01-21T13:06:29.999999,-999.000,-999.000,-1,-1, 0, 1,0,1
629,-999.000,-999.000,927,23.0,0.8,-999.0,0.8,-999.0, 8.182,-83.257,4.3,1,0,1,0,2021-01-21T17:08:12.000003,-999.000,-999.000,-1,-1, 0, 1,0,1
630,-999.000,-999.000,319,48.0,1.8,-999.0,1.8,-999.0, 9.447,-84.122,4.6,2,0,2,0,2016-10-25T22:35:45.000001,-999.000,-999.000,-1,-1, 0, 1,0,1
631,-999.000,-999.000,318,43.0,1.6,-999.0,1.6,-999.0, 8.504,-82.923,4.5,1,0,1,0,2016-10-23T09:56:59.999999,-999.000,-999.000,-1,-1, 0, 1,0,1
632,-999.000,-999.000,313,13.0,-999.0,0.7,-999.0,0.7, 9.007,-84.083,3.5,0,1,0,1,2016-10-05T16:51:36.999997,-999.000,-999.000,-1,-1, 1, 0,1,0
633,-999.000,-999.000,312,17.0,-999.0,0.3,-999.0,0.3, 8.615,-83.210,2.8,0,1,0,1,2016-10-05T01:46:04.999998,-999.000,-999.000,-1,-1, 1, 0,1,0
634,-999.000,-999.000,311,16.0,0.7,-999.0,0.7,-999.0, 9.327,-84.476,4.4,1,0,1,0,2016-10-04T11:08:24.999999,-999.000,-999.000,-1,-1, 0, 1,0,1
635,-999.000,-999.000,310,18.0,-999.0,-999.0,0.1,-999.0, 8.665,-83.239,2.6,0,0,1,0,2016-02-25T03:30:57.999998,-999.000,-999.000,-1,-1, 0, 1,0,0
636,-999.000,-999.000,317,29.0,0.4,-999.0,0.4,-999.0, 8.426,-82.874,3.3,1,0,1,0,2016-10-18T15:09:22.999998,-999.000,-999.000,-1,-1, 0, 1,0,1
637,-999.000,-999.000,316,21.0,1.5,1.2,1.5,1.2, 8.684,-83.329,3.9,1,1,1,1,2016-10-09T07:00:33.000000,-999.000,-999.000,-1,-1, 1, 1,1,1
638,-999.000,-999.000,315,7.0,1.5,-999.0,1.5,-999.0, 8.883,-84.165,4.0,1,0,1,0,2016-10-07T19:37:12.000003,-999.000,-999.000,-1,-1, 0, 1,0,1
639,-999.000,-999.000,864,19.0,1.5,-999.0,1.5,-999.0, 9.500,-84.842,4.5,2,0,2,0,2020-09-03T20:28:11.000003,-999.000,-999.000,-1,-1, 0, 1,0,1
640,-999.000,-999.000,921,12.0,1.2,1.3,1.2,1.3, 9.327,-83.355,3.9,1,1,1,1,2021-01-09T17:19:57.999998,-999.000,-999.000,-1,-1, 1, 1,1,1
641,-999.000,-999.000,496,14.0,0.3,-999.0,0.3,-999.0, 9.545,-84.689,3.3,1,0,1,0,2018-05-27T15:24:05.000000,-999.000,-999.000,-1,-1, 0, 1,0,1
642,-999.000,-999.000,670,15.0,0.3,-999.0,0.3,-999.0,10.606,-85.268,3.9,1,0,1,0,2019-07-11T15:22:27.999998,-999.000,-999.000,-1,-1, 0, 1,0,1
643,-999.000,-999.000,832,13.0,1.5,1.0,1.5,1.0, 9.155,-82.700,4.0,1,1,1,1,2020-06-21T04:51:15.999999,-999.000,-999.000,-1,-1, 1, 1,1,1
644,-999.000,-999.000,833,11.0,-999.0,0.5,-999.0,0.5, 8.866,-84.132,3.0,0,1,0,1,2020-06-26T07:26:47.999997,-999.000,-999.000,-1,-1, 1, 0,1,0
645,-999.000,-999.000,830,16.0,0.3,-999.0,0.3,-999.0, 9.544,-84.556,3.4,2,0,2,0,2020-06-19T10:58:49.999998,-999.000,-999.000,-1,-1, 0, 2,0,2
646,-999.000,-999.000,831,4.0,-999.0,-999.0,-999.0,-999.0, 9.768,-83.964,2.5,1,0,1,0,2020-06-19T13:10:28.999997,-999.000,-999.000,-1,-1, 0, 1,0,1
647,-999.000,-999.000,836,11.0,0.3,-999.0,0.3,-999.0, 9.506,-83.561,2.8,1,0,1,0,2020-07-09T18:57:21.999999,-999.000,-999.000,-1,-1, 0, 1,0,1
648,-999.000,-999.000,837,27.0,0.8,-999.0,0.8,-999.0, 8.296,-82.896,4.0,5,0,6,0,2020-07-12T02:14:23.000002,-999.000,-999.000,1,1, 0, 6,0,5
649,-999.000,-999.000,834,17.0,-999.0,0.2,-999.0,0.2, 9.348,-84.384,2.9,0,2,0,2,2020-06-29T11:02:19.999997,-999.000,-999.000,-1,-1, 2, 0,2,0
650,-999.000,-999.000,835,35.0,0.9,-999.0,0.9,-999.0, 9.527,-84.123,4.1,3,0,3,0,2020-07-03T02:06:13.999998,-999.000,-999.000,1,1, 0, 3,0,3
651,-999.000,-999.000,838,17.0,0.6,-999.0,0.6,-999.0,10.045,-83.300,3.0,1,0,1,0,2020-07-12T02:57:55.999997,-999.000,-999.000,-1,-1, 0, 1,0,1
652,-999.000,-999.000,839,7.0,0.6,-999.0,0.6,-999.0, 9.739,-84.075,3.5,2,0,2,0,2020-07-12T22:24:04.000001,-999.000,-999.000,-1,-1, 0, 2,0,2
