,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,fstyle_m,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
32,-999.0,-999,1,1,944,33.0,2.0999999999999996,-999.0,3.0,51.15,178.65,7.8,4,5,0,0,0,3,2,0,2003-11-17T06:43:03.359997Z,0.1927692263206219,-999.0
33,-999.0,-999,1,1,949,10.0,-999.0,2.3,0.0,-60.27,-46.4,7.8,0,0,0,0,3,3,0,0,2013-11-17T09:04:53.760004Z,-999.0,11.219147349201636
34,-999.0,-999,1,1,976,35.0,1.1999999999999993,-999.0,2.0,10.1,-85.31,7.6,3,3,2,2,0,0,0,0,2012-09-05T14:42:08.639999Z,0.06640429591532872,-999.0
35,-999.0,-999,-1,-1,987,33.0,-999.0,-999.0,3.0,-9.62,-79.57,7.5,0,1,0,0,0,0,0,0,1996-02-21T12:51:07.200000Z,-999.0,-999.0
36,-999.0,-999,1,1,1000,21.0,0.8999999999999995,-999.0,3.0,0.35,-79.93,7.8,6,12,6,4,0,0,0,0,2016-04-16T23:58:33.600006Z,0.2085730474960696,-999.0
37,-999.0,-999,1,-1,1003,35.0,2.3,-999.0,2.0,-8.51,121.89,7.7,2,3,0,0,0,0,0,0,1992-12-12T05:29:28.320003Z,0.40945010850509067,-999.0
38,-999.0,-999,1,1,1011,33.0,0.9000000000000004,0.5999999999999996,3.0,1.17,122.76,7.5,4,5,2,1,1,1,1,1,1991-06-20T05:18:48.960003Z,0.08203512744139091,inf
39,-999.0,-999,1,1,1013,33.0,1.8999999999999995,-999.0,3.0,54.84,162.04,7.8,3,3,1,1,0,0,0,0,1997-12-05T11:26:52.800006Z,9.655616349216123,-999.0
40,-999.0,-999,-1,-1,1046,40.0,-999.0,-999.0,1.0,12.53,-88.12,7.3,0,1,1,0,0,0,0,0,2014-10-14T03:51:33.119996Z,-999.0,-999.0
41,-999.0,-999,-1,-1,1073,21.0,-999.0,-999.0,2.0,16.84,-98.6,7.3,0,0,0,0,0,2,2,0,1995-09-14T14:04:33.599998Z,-999.0,-999.0
42,-999.0,-999,3,-1,1075,33.0,1.9000000000000004,0.10000000000000053,1.0,7.17,126.86,7.2,1,5,5,1,1,1,1,1,1992-05-17T10:15:27.360004Z,inf,inf
43,-999.0,-999,1,1,1083,47.0,1.7000000000000002,-999.0,0.0,-23.36,-70.31,8.0,8,13,3,3,0,0,0,0,1995-07-30T05:11:19.680002Z,0.8447551266093195,-999.0
44,-999.0,-999,1,-1,1123,10.0,-999.0,-999.0,1.0,28.82,34.86,7.2,0,1,1,0,0,2,2,0,1995-11-22T04:15:10.080003Z,-999.0,-999.0
45,-999.0,-999,-1,-1,1126,17.0,2.4000000000000004,-999.0,2.0,42.84,139.25,7.7,1,1,0,0,0,0,0,0,1993-07-12T13:17:11.039999Z,inf,-999.0
46,-999.0,-999,1,1,1129,33.0,1.799999999999999,-999.0,3.0,-0.95,137.03,8.2,7,8,2,2,0,0,0,0,1996-02-17T05:59:25.439998Z,0.35830368796783707,-999.0
47,-999.0,-999,-1,-1,1134,33.0,2.4000000000000004,-999.0,1.0,-2.07,124.89,7.7,1,1,0,0,0,1,0,0,1998-11-29T14:10:27.840000Z,inf,-999.0
48,-999.0,-999,1,1,1140,31.0,1.2999999999999998,-999.0,2.0,-15.19,-173.59,7.3,5,15,15,5,0,16,16,0,1995-04-07T22:06:57.600005Z,0.170414652933652,-999.0
49,-999.0,-999,-1,-1,1155,33.0,1.7000000000000002,-999.0,2.0,-9.05,158.49,7.2,2,2,2,2,0,0,0,0,1991-10-14T15:58:10.560005Z,0.06965316207951315,-999.0
50,-999.0,-999,-1,-1,1220,25.1,2.8999999999999995,-999.0,3.0,0.8,92.46,8.2,1,1,0,0,0,0,0,0,2012-04-11T10:43:14.879997Z,inf,-999.0
51,-999.0,-999,1,-1,1224,20.0,2.6999999999999993,-999.0,1.0,2.33,93.06,8.6,2,2,0,0,0,1,1,0,2012-04-11T08:38:32.640004Z,0.23753251226320973,-999.0
52,-999.0,-999,5,5,1225,10.0,0.20000000000000018,0.5999999999999996,3.0,-22.01,169.77,7.3,17,23,23,17,7,8,8,7,2003-12-27T16:01:03.360003Z,1.0775179058121311,4.834921950272585
53,-999.0,-999,-1,-1,1241,10.0,2.8,-999.0,1.0,-49.31,161.35,8.1,1,1,0,0,0,0,0,0,2004-12-23T14:59:08.159997Z,inf,-999.0
54,-999.0,-999,-1,-1,1252,39.2,1.9000000000000004,-999.0,3.0,6.91,92.96,7.2,1,1,1,1,0,0,0,0,2004-12-26T04:21:30.240001Z,inf,-999.0
55,-999.0,-999,1,1,1317,19.0,1.8000000000000007,-999.0,2.0,31.0,103.32,7.9,5,5,1,1,0,0,0,0,2008-05-12T06:28:04.800005Z,1.3297165043934325,-999.0
56,-999.0,-999,1,1,1318,39.0,2.0999999999999996,-999.0,3.0,-13.39,-76.6,8.0,5,7,1,0,0,2,2,0,2007-08-15T23:40:59.519996Z,0.9497397713035703,-999.0
57,-999.0,-999,1,1,1326,11.0,2.2,1.5,3.0,54.47,168.82,7.8,1,1,0,0,2,4,2,1,2017-07-17T23:34:13.440002Z,inf,161.29032249100172
58,-999.0,-999,1,-1,1336,36.0,-999.0,-999.0,3.0,38.28,142.04,7.2,0,3,3,0,0,1,1,0,2005-08-16T02:46:27.840002Z,-999.0,-999.0
59,-999.0,-999,-1,-1,1350,36.0,-999.0,-999.0,3.0,46.86,155.15,7.4,0,0,0,0,0,2,1,0,2009-01-15T17:49:37.920001Z,-999.0,-999.0
60,-999.0,-999,1,1,1440,60.0,1.9000000000000004,-999.0,1.0,13.05,-88.66,7.7,10,13,4,2,0,0,0,0,2001-01-13T17:33:30.240005Z,0.3020390657330949,-999.0
61,-999.0,-999,1,1,1442,16.0,1.8999999999999995,-999.0,3.0,23.42,70.23,7.6,3,3,1,1,0,0,0,0,2001-01-26T03:16:42.239997Z,0.13448693235289336,-999.0
62,-999.0,-999,-1,-1,1456,10.0,-999.0,-999.0,0.0,35.95,90.54,7.8,0,0,0,0,0,1,0,0,2001-11-14T09:26:12.480004Z,-999.0,-999.0
63,-999.0,-999,-1,-1,1494,33.0,-999.0,-999.0,2.0,-10.49,160.77,7.3,0,1,1,0,0,0,0,0,2003-01-20T08:43:09.119997Z,-999.0,-999.0
64,-999.0,-999,-1,-1,1536,31.0,1.7000000000000002,-999.0,1.0,6.03,124.25,7.5,2,2,1,1,0,0,0,0,2002-03-05T21:16:07.679996Z,71.17437723457864,-999.0
65,-999.0,-999,1,1,1553,15.0,0.6000000000000005,1.7999999999999998,3.0,40.37,-124.32,7.2,3,3,3,3,1,2,2,1,1992-04-25T18:06:02.879997Z,0.07391565730721403,inf
66,-999.0,-999,-1,-1,1576,21.0,2.0,-999.0,2.0,4.56,-77.49,7.2,1,1,1,1,0,0,0,0,1991-11-19T22:28:50.879997Z,inf,-999.0
67,-999.0,-999,1,1,1613,14.0,1.3999999999999995,-999.0,0.0,52.79,-132.1,7.8,10,10,3,3,0,0,0,0,2012-10-28T03:04:10.559997Z,0.6486051745724667,-999.0
68,-999.0,-999,2,2,1625,36.1,1.0,1.6000000000000005,3.0,37.89,144.09,7.2,3,3,3,3,1,13,13,1,2012-12-07T08:18:23.039997Z,1.712231037000673,inf
69,-999.0,-999,1,1,1630,24.0,1.0,-999.0,3.0,13.96,-91.85,7.4,8,8,4,4,0,4,3,0,2012-11-07T16:35:45.599996Z,0.22085354373347996,-999.0
70,-999.0,-999,1,1,1643,17.0,1.5999999999999996,-999.0,3.0,-29.54,-176.34,7.6,22,31,9,7,0,1,0,0,2011-07-06T19:03:21.600010Z,0.4761162762518748,-999.0
71,-999.0,-999,-1,-1,1644,33.0,2.1000000000000005,-999.0,3.0,-28.99,-176.24,7.4,2,2,0,0,0,0,0,0,2011-10-21T17:57:15.839997Z,0.32996221932898995,-999.0
72,-999.0,-999,1,1,1646,28.0,1.8999999999999995,-999.0,1.0,12.14,-88.59,7.3,3,3,2,2,0,0,0,0,2012-08-27T04:37:20.639996Z,0.30853087879993896,-999.0
73,-999.0,-999,1,1,1656,28.0,2.0,-999.0,0.0,10.81,126.64,7.6,11,13,1,1,0,0,0,0,2012-08-31T12:47:31.199995Z,0.1925480407363721,-999.0
74,-999.0,-999,1,-1,1659,16.4,1.7999999999999998,-999.0,3.0,-22.48,173.12,7.2,2,3,3,2,0,2,2,0,2016-08-12T01:26:32.640000Z,1.8871485185058259,-999.0
75,-999.0,-999,1,1,1660,15.2,1.3999999999999995,-999.0,2.0,-42.74,173.05,7.8,4,4,1,1,0,0,0,0,2016-11-13T11:02:58.559998Z,0.48264877648304105,-999.0
76,-999.0,-999,1,1,1722,10.0,1.4000000000000004,-999.0,3.0,-55.28,-31.88,7.5,8,8,3,3,0,0,0,0,2016-08-19T07:32:26.880002Z,0.23243786645246028,-999.0
77,-999.0,-999,-1,-1,1728,15.0,1.2000000000000002,-999.0,0.0,28.15,84.71,7.9,2,2,1,1,0,0,0,0,2015-04-25T06:11:22.559997Z,2.9065542802725406,-999.0
78,-999.0,-999,1,1,1729,15.0,1.1000000000000005,0.5,3.0,27.81,86.07,7.2,2,2,2,2,2,2,2,2,2015-05-12T07:05:22.559995Z,0.4802151363778987,5.170630815692294
79,-999.0,-999,1,1,1741,20.0,2.3,1.5,3.0,-0.25,119.84,7.6,1,1,0,0,2,2,1,1,2018-09-28T10:02:47.039998Z,inf,33.89830507992996
80,-999.0,-999,2,2,1743,22.6,0.1999999999999993,-999.0,0.0,-11.27,162.15,7.6,11,15,6,5,0,0,0,0,2014-04-12T20:14:38.399996Z,11.898323418519292,-999.0
81,-999.0,-999,1,1,1768,16.6,1.1000000000000005,-999.0,2.0,55.1,164.7,7.2,3,4,4,3,0,2,2,0,2018-12-20T17:01:58.080001Z,1.0849517196182914,-999.0
82,-999.0,-999,-1,-1,1776,14.1,2.6000000000000005,-999.0,1.0,56.0,-149.17,7.9,1,2,0,0,0,0,0,0,2018-01-23T09:31:40.800000Z,inf,-999.0
83,-999.0,-999,1,1,1793,47.4,2.3999999999999995,-999.0,0.0,15.02,-93.9,8.2,9,10,0,0,0,0,0,0,2017-09-08T04:49:17.760005Z,0.19793139697761372,-999.0
84,-999.0,-999,1,1,1812,25.2,0.7999999999999998,-999.0,3.0,-6.07,142.75,7.5,11,11,6,6,0,0,0,0,2018-02-25T17:44:44.159997Z,0.27867432092149524,-999.0
85,0.6996492635769496,-999,1,1,1818,24.0,0.8000000000000007,1.5,3.0,-10.8,165.11,7.9,41,50,16,13,13,21,7,5,2013-02-06T01:12:25.920000Z,0.9897835029654525,2.2349826359411384
86,-999.0,-999,1,1,1830,22.0,1.2000000000000002,-999.0,3.0,16.42,-97.96,7.2,3,3,3,3,0,2,2,0,2018-02-16T23:39:41.759997Z,1.3250883392422381,-999.0
87,-999.0,-999,2,2,1893,25.0,0.39999999999999947,1.3999999999999995,3.0,-19.61,-70.77,8.1,23,32,6,6,14,19,4,4,2014-04-01T23:46:45.120003Z,0.5067854160387987,1.7232678081231594
88,-999.0,-999,1,1,1898,10.0,0.7999999999999998,0.7999999999999998,1.0,-21.95,169.43,7.5,7,12,7,3,8,17,10,5,2018-12-05T04:18:11.519997Z,0.1496135695232223,7.706386667912348
