,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,fstyle_m,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
30,-999.0,-999,1,1,31,33.0,1.2000000000000002,-999.0,3.0,-4.72,102.09,7.9,21,21,13,13,0,0,0,0,2000-06-04T16:28:24.960001Z,0.370591287221749,-999.0
31,-999.0,-999,0,0,32,35.0,-999.0,-999.0,0.0,-2.62,100.84,7.9,0,0,0,0,0,0,0,0,2007-09-12T23:49:03.359999Z,-999.0,-999.0
32,-999.0,-999,1,1,33,15.0,0.7000000000000002,-999.0,3.0,28.15,84.71,7.9,8,8,5,5,0,0,0,0,2015-04-25T06:11:22.559997Z,0.3773478109113335,-999.0
33,0.7558713120148206,-999,1,1,34,24.0,0.8000000000000007,1.5,1.0,-10.8,165.11,7.9,57,57,44,44,18,18,14,14,2013-02-06T01:12:25.920000Z,1.2175012602223658,2.978061612783884
34,-999.0,-999,0,0,35,10.0,2.2,-999.0,1.0,-13.8,97.45,7.9,1,1,1,1,0,0,0,0,2000-06-18T14:44:09.600005Z,inf,-999.0
35,-999.0,-999,1,1,36,14.1,2.4000000000000004,-999.0,1.0,56.0,-149.17,7.9,3,3,1,1,0,0,0,0,2018-01-23T09:31:40.800000Z,1.4457134595808891,-999.0
36,-999.0,-999,1,1,37,33.0,1.9000000000000004,2.0,3.0,0.72,119.98,7.9,6,6,5,5,1,1,1,1,1996-01-01T08:05:08.160000Z,0.16489994695725463,inf
37,0.9296823771629262,-999,3,3,38,35.0,0.39999999999999947,0.20000000000000018,3.0,-12.52,166.38,7.8,35,35,26,26,3,3,3,3,2009-10-07T22:18:54.720004Z,0.7474831175596682,0.051065828960055654
38,-999.0,-999,1,1,39,14.0,1.3999999999999995,-999.0,3.0,52.79,-132.1,7.8,11,11,9,9,0,0,0,0,2012-10-28T03:04:10.559997Z,0.7134656920297133,-999.0
39,-999.0,-999,1,1,40,10.0,2.2,-999.0,1.0,35.95,90.54,7.8,4,4,2,2,0,0,0,0,2001-11-14T09:26:12.480004Z,0.20769618202476922,-999.0
40,-999.0,-999,1,1,41,31.0,0.5,2.0,0.0,2.38,97.05,7.8,2,2,2,2,1,1,1,1,2010-04-06T22:15:01.439998Z,0.8839388314264612,inf
41,-999.0,-999,1,1,42,20.1,1.5,-999.0,1.0,-3.49,100.08,7.8,5,5,4,4,0,0,0,0,2010-10-25T14:42:25.920000Z,0.3412433542866557,-999.0
42,-999.0,-999,1,1,43,15.2,1.3999999999999995,-999.0,3.0,-42.74,173.05,7.8,13,13,9,9,0,0,0,0,2016-11-13T11:02:58.559998Z,0.24687278645300448,-999.0
43,-999.0,-999,1,1,44,11.0,2.2,1.0999999999999996,1.0,54.47,168.82,7.8,2,2,1,1,3,3,3,3,2017-07-17T23:34:13.440002Z,0.4051125200047692,0.06735458145854575
44,-999.0,-999,1,1,45,12.0,1.7000000000000002,-999.0,3.0,-45.76,166.56,7.8,7,7,4,4,0,0,0,0,2009-07-15T09:22:27.840004Z,0.1742359752487557,-999.0
45,-999.0,-999,1,1,46,39.0,1.2000000000000002,2.0999999999999996,3.0,-10.47,112.98,7.8,19,19,16,16,1,1,1,1,1994-06-02T18:17:34.080000Z,0.3674323441025213,inf
46,-999.0,-999,1,1,47,24.0,2.0999999999999996,-999.0,3.0,-4.95,94.33,7.8,3,3,3,3,0,0,0,0,2016-03-02T12:49:49.440001Z,0.05904268195474918,-999.0
47,-999.0,-999,1,1,48,40.0,0.8999999999999995,-999.0,3.0,-10.68,161.32,7.8,28,28,24,24,0,0,0,0,2016-12-08T17:38:49.919995Z,0.6659151338739429,-999.0
48,-999.0,-999,1,1,49,33.0,1.3999999999999995,2.3,0.0,54.84,162.04,7.8,20,20,16,16,2,2,2,2,1997-12-05T11:26:52.800006Z,0.37726168379389247,5.078720163013898
49,-999.0,-999,1,1,50,10.0,-999.0,0.8999999999999995,0.0,-60.27,-46.4,7.8,0,0,0,0,5,5,5,5,2013-11-17T09:04:53.760004Z,-999.0,1.8975332069082467
50,-999.0,-999,1,1,51,33.0,2.0999999999999996,2.2,0.0,51.15,178.65,7.8,4,4,4,4,1,1,1,1,2003-11-17T06:43:03.359997Z,0.1927692263206219,inf
51,-999.0,-999,1,1,52,21.0,0.8999999999999995,-999.0,1.0,0.35,-79.93,7.8,13,13,13,13,0,0,0,0,2016-04-16T23:58:33.600006Z,0.4140430668492116,-999.0
