,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60
456,-999.000,-999.000,287,-1.0,0.8,-999.0,0.8,-999.0,39.738,-120.650,4.3,2,0,3,0,1998-10-21T08:31:00.000001,-999.000,-999.000,1,0
457,-999.000,-999.000,286,24.0,0.5,1.9,0.5,0.6,40.626,-122.414,5.1,7,1,9,2,1998-11-26T19:49:52.000002,-999.000,-999.000,1,1
458,-999.000,-999.000,263,5.0,-999.0,-999.0,-999.0,-999.0,37.636,-118.936,4.9,51,7,55,7,1997-11-22T17:20:34.000001,-999.000,-999.000,4,4
459,-999.000,-999.000,262,9.0,-999.0,-999.0,0.6,-999.0,35.450,-118.430,4.1,0,0,2,0,1997-05-06T19:12:51.999999,-999.000,-999.000,0,0
460,-999.000,-999.000,261,7.0,0.1,0.6,0.1,0.6,38.654,-118.490,4.5,1,1,1,1,1997-08-21T16:11:21.999998,-999.000,-999.000,0,0
461,-999.000,-999.000,260,3.0,-999.0,0.1,-999.0,0.1,37.634,-118.857,3.5,0,1,0,1,1997-07-30T01:31:19.000001,-999.000,-999.000,0,0
462,-999.000,-999.000,267,7.0,1.1,1.1,1.1,1.1,37.879,-118.166,5.3,15,2,15,2,1997-11-02T08:51:50.999999,-999.000,-999.000,1,1
463,-999.000,-999.000,266,7.0,-999.0,-999.0,-999.0,-999.0,35.967,-120.517,3.5,1,0,1,0,1997-10-05T23:28:13.000002,-999.000,-999.000,0,0
464,-999.000,-999.000,265,2.0,-999.0,-999.0,0.3,-999.0,38.786,-122.772,3.5,0,0,2,0,1988-10-01T03:05:23.000000,-999.000,-999.000,0,0
465,-999.000,-999.000,264,6.0,0.3,-999.0,0.3,-999.0,41.053,-125.343,5.5,4,0,4,0,1997-10-04T10:57:33.000001,-999.000,-999.000,2,2
466,-999.000,-999.000,269,3.0,0.6,-999.0,0.6,-999.0,37.648,-118.897,3.9,2,0,2,0,1997-11-13T19:42:20.999998,-999.000,-999.000,0,0
467,-999.000,-999.000,268,1.0,1.1,0.6,1.1,0.6,37.256,-117.831,4.9,1,1,1,1,1997-11-15T06:00:17.999998,-999.000,-999.000,0,0
468,-999.000,-999.000,59,5.0,-999.0,-999.0,0.1,-999.0,37.289,-121.667,3.3,0,0,2,0,1985-03-12T04:03:58.000003,-999.000,-999.000,0,0
469,-999.000,-999.000,58,15.0,-999.0,0.2,-999.0,0.2,37.491,-119.366,3.5,0,1,0,1,1987-10-14T23:00:20.999998,-999.000,-999.000,0,0
470,-999.000,-999.000,55,26.0,0.1,-999.0,0.1,-999.0,40.371,-124.571,3.9,1,0,1,0,1987-08-27T00:36:51.999997,-999.000,-999.000,0,0
471,-999.000,-999.000,54,9.0,-999.0,-999.0,-999.0,-999.0,38.232,-119.357,3.6,2,0,2,0,1987-08-26T08:51:20.000001,-999.000,-999.000,0,0
472,-999.000,-999.000,57,0.0,-999.0,0.5,-999.0,0.5,36.206,-118.215,4.3,0,1,0,1,1987-09-09T08:57:20.000002,-999.000,-999.000,0,0
473,-999.000,-999.000,56,4.0,0.1,-999.0,0.1,-999.0,40.904,-122.352,3.6,2,0,2,0,1987-08-31T11:20:23.000002,-999.000,-999.000,0,0
474,-999.000,-999.000,51,2.0,0.1,1.4,0.1,1.4,38.327,-118.124,4.6,2,1,2,1,1987-07-28T18:55:10.000000,-999.000,-999.000,3,3
475,-999.000,-999.000,258,7.0,0.1,-999.0,0.1,-999.0,37.117,-121.520,3.6,1,0,1,0,1997-05-29T10:21:04.999999,-999.000,-999.000,0,0
476,-999.000,-999.000,53,14.0,-999.0,-999.0,-999.0,-999.0,35.593,-118.327,3.5,2,0,2,0,1987-08-09T03:12:41.999998,-999.000,-999.000,0,0
477,-999.000,-999.000,52,16.0,1.6,-999.0,1.6,-999.0,40.416,-124.383,5.6,23,0,26,0,1987-07-31T23:56:55.999997,-999.000,-999.000,1,1
478,-999.000,-999.000,537,-1.0,-999.0,0.3,-999.0,0.3,38.695,-118.724,4.2,0,1,0,1,2016-07-07T23:40:43.000002,-999.000,-999.000,0,0
479,-999.000,-999.000,536,13.0,0.9,-999.0,0.9,-999.0,38.484,-118.367,4.2,2,0,2,0,2016-03-21T07:37:09.000001,-999.000,-999.000,0,0
480,-999.000,-999.000,535,18.0,-999.0,0.7,-999.0,0.7,34.523,-119.077,4.1,0,1,0,1,2016-03-12T08:42:38.999998,-999.000,-999.000,0,0
481,-999.000,-999.000,63,15.0,0.5,-999.0,0.5,-999.0,40.343,-124.409,3.8,1,0,1,0,1987-12-06T10:37:49.999998,-999.000,-999.000,0,0
482,-999.000,-999.000,533,5.0,0.3,-999.0,0.3,-999.0,37.571,-118.857,3.7,1,0,1,0,2016-02-15T15:42:50.999998,-999.000,-999.000,0,0
483,-999.000,-999.000,532,8.0,-999.0,0.3,-999.0,0.3,35.459,-120.000,3.6,0,1,0,1,2016-02-08T06:20:40.999998,-999.000,-999.000,0,0
484,-999.000,-999.000,531,0.0,0.7,-999.0,0.7,-999.0,35.402,-117.808,3.9,1,0,1,0,2016-01-14T04:23:57.000000,-999.000,-999.000,0,0
485,-999.000,-999.000,530,16.0,0.6,-999.0,0.6,-999.0,40.273,-124.340,4.3,1,0,1,0,2016-01-07T05:49:50.999998,-999.000,-999.000,0,0
486,-999.000,-999.000,539,5.0,0.3,0.4,0.3,0.4,36.693,-121.330,4.2,3,2,3,2,2016-07-19T21:38:37.000001,-999.000,-999.000,0,0
487,-999.000,-999.000,538,5.0,-999.0,-999.0,0.1,-999.0,36.697,-121.331,3.4,0,0,1,0,1996-09-25T19:07:11.999997,-999.000,-999.000,0,0
488,-999.000,-999.000,50,4.0,-999.0,0.6,-999.0,0.6,41.821,-125.896,4.1,0,1,0,1,1987-07-04T01:25:10.000002,-999.000,-999.000,0,0
