,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60
575,-999.000,-999.000,482,6.0,-999.0,-999.0,1.2,-999.0,36.640,-121.251,4.6,0,0,1,0,2001-12-28T21:14:00.000000,-999.000,-999.000,0,0
576,-999.000,-999.000,481,27.0,1.9,-999.0,1.9,-999.0,41.143,-123.790,5.6,1,0,1,0,2012-02-13T21:07:01.000004,-999.000,-999.000,0,0
577,-999.000,-999.000,480,8.0,-999.0,-999.0,-999.0,-999.0,38.077,-122.233,3.5,1,0,1,0,2012-02-16T02:09:12.999998,-999.000,-999.000,0,0
578,-999.000,-999.000,472,-1.0,0.6,-999.0,0.6,-999.0,36.403,-117.866,4.2,1,0,1,0,2011-05-03T21:41:48.000002,-999.000,-999.000,0,0
579,-999.000,-999.000,473,14.0,0.2,-999.0,0.2,-999.0,39.462,-122.937,3.4,1,0,1,0,2011-05-02T10:53:01.000003,-999.000,-999.000,0,0
580,-999.000,-999.000,470,6.0,0.5,0.3,0.5,0.3,38.394,-118.733,4.8,9,10,10,10,2011-04-17T00:45:36.000003,-999.000,-999.000,4,4
581,-999.000,-999.000,471,2.0,0.5,-999.0,0.5,-999.0,38.815,-122.820,4.4,1,0,6,0,2011-03-01T02:19:45.999997,-999.000,-999.000,1,0
582,-999.000,-999.000,476,6.0,-999.0,-999.0,-999.0,-999.0,35.732,-121.111,3.6,1,0,1,0,2011-08-31T01:22:21.999998,-999.000,-999.000,0,0
583,-999.000,-999.000,477,7.0,1.0,-999.0,1.0,-999.0,37.546,-118.872,4.2,1,0,1,0,2011-08-24T11:59:50.000001,-999.000,-999.000,0,0
584,-999.000,-999.000,474,1.0,0.2,-999.0,0.2,-999.0,38.832,-122.794,3.4,1,0,1,0,2011-04-23T19:42:55.999997,-999.000,-999.000,0,0
585,-999.000,-999.000,475,8.0,0.2,-999.0,0.2,-999.0,37.744,-122.149,3.6,2,0,2,0,2011-08-24T06:36:52.999999,-999.000,-999.000,0,0
586,-999.000,-999.000,478,7.0,0.2,-999.0,0.2,-999.0,37.857,-122.253,4.0,2,0,2,0,2011-10-20T21:41:02.999999,-999.000,-999.000,0,0
587,-999.000,-999.000,479,11.0,0.9,-999.0,0.9,-999.0,39.605,-120.472,4.7,2,0,2,0,2011-10-27T06:37:07.999997,-999.000,-999.000,0,0
